"item#","item name","base"
"c4017","men's 4.8 oz. ringspun garment...","$5.29"
"c4056","women's 5.4 oz. ringspun garme...","$6.06"
"c3014","women's 5.4 oz. ringspun garme...","$7.67"
"c9018","youth ringspun garment-dyed t-...","$4.52"
"c1717","men's ringspun garment-dyed t-...","$5.17"
"c4100","women's 4.8 oz. ringspun garme...","$5.51"
"c6014","6.1 oz. garment-dyed long-slee...","$8.23"
"c1598","women's garment-dyed full-zip ...","$20.84"
"c1562","garment-dyed pullover hoodie","$21.66"
"c1595","women's garment-dyed front-sli...","$19.70"
