"aou number","listed common name","current common name","code","listed scientific name","current scientific name"
"7","common loon","common loon","colo","gavia immer","gavia immer"
"8","yellow-billed loon","yellow-billed loon","yblo","gavia adamsii","gavia adamsii"
"10","pacific loon","pacific loon","palo","gavia pacifica","gavia pacifica"
"11","red-throated loon","red-throated loon","rtlo","gavia stellata","gavia stellata"
"2","red-necked grebe","red-necked grebe","rngr","podiceps grisegena","podiceps grisegena"
"3","horned grebe","horned grebe","hogr","colymbus auritus","podiceps auritus"
"4","eared grebe","eared grebe","eagr","colymbus nigricollis","podiceps nigricollis"
"5","least grebe","least grebe","legr","colymbus dominicus","tachybaptus dominicus"
"1","western grebe","western grebe","wegr","aechmophorus occidentalis","aechmophorus occidentalis"
"6","pied-billed grebe","pied-billed grebe","pbgr","podilymbus podiceps","podilymbus podiceps"
"82","short-tailed albatross","short-tailed albatross","stal","diomedea albatrus","phoebastria albatrus"
"81","black-footed albatross","black-footed albatross","bfal","diomedea nigripes","phoebastria nigripes"
"82.1","laysan albatross","laysan albatross","laal","diomedea immutabilis","phoebastria immutabilis"
"82.2","black-browed albatross","black-browed albatross","bbal","diomedea melanophris","thalassarche melanophris"
"82.3","white-capped albatross","shy albatross","shal","diomedea cauta","thalassarche cauta"
"83","yellow-nosed albatross","yellow-nosed albatross","ynal","thalassogero culminatus","thalassarche chlororhynchus"
"81.1","wandering albatross","wandering albatross","waal","diomedea exulans","diomedea exulans"
"852.3","light mantled sooty albatross","sooty albatross","soal","phoebetria palpebrata","phoebetria palpebrata"
"102","cape petrel","cape petrel","cape","daption capense","daption capense"
"86","fulmar","northern fulmar","nofu","fulmarus glacialis","fulmarus glacialis"
"85","giant fulmar","southern giant petrel","sgpe","macronectes giganteus","macronectes giganteus"
"852.6","slender-billed fulmar","southern fulmar","sofu","priocella glacialoides","fulmarus glacialoides"
"&nbsp;","black-tailed shearwater","grey petrel","grpt","priofinus cinereus","procellaria cinerea"
"88","cory's shearwater","cory's shearwater","cosh","puffinus borealis","calonectris diomedea"
"91","pink-footed shearwater","pink-footed shearwater","pfsh","puffinus creatopus","puffinus creatopus"
"89","greater shearwater","greater shearwater","grsh","puffinis gravis","puffinus gravis"
"95.1","pale-footed shearwater","flesh-footed shearwater","ffsh","puffinus carneipes","puffinus carneipes"
"96.1","wedge-tailed shearwater","wedge-tailed shearwater","wtsh","puffinus cuneata","puffinus pacificus"
"96.2","new zealand shearwater","buller's shearwater","buls","puffinus bulleri","puffinus bulleri"
"95","sooty shearwater","sooty shearwater","sosh","puffinus griseus","puffinus griseus"
"96","slender-billed shearwater","short-tailed shearwater","shos","puffinus tenuirostris","puffinus tenuirostris"
"90","manx shearwater","manx shearwater","mash","puffinus puffinus","puffinus puffinus"
"93","black-vented shearwater","black-vented shearwater","bvsh","puffinus opisthomelas","puffinus opisthomelas"
"93.1","townsend's shearwater","townsend's shearwater","tosh","puffinus auricularis","puffinus auricularis"
"92.1","little shearwater","little shearwater","lish","puffinus assimilis","puffinus assimilis"
"92","audubon's shearwater","audubon's shearwater","aush","puffinus lherminieri","puffinus lherminieri"
"98","black-capped petrel","black-capped petrel","bcpe","aestrelata hasitata","pterodroma hasitata"
"98.1","bermuda petrel","bermuda petrel","bepe","pterodroma cahow","pterodroma cahow"
"98.3","cook's petrel","cook's petrel","cope","pterodroma cookii","pterodroma cookii"
"111","white-faced petrel","white-faced storm-petrel","wfsp","pelagodroma marina","pelagodroma marina"
"99","fisher's petrel","mottled petrel","mope","aestrelata fisheri","pterodorma inexpectata"
"98.6","south trinidad petrel","herald petrel","hepe","pterodroma arminjoniana","pterodroma arminjoniana"
"101","bulwer's petrel","bulwer's petrel","bupe","bulweria bulweri","bulweria bulwerii"
"104","storm petrel","european storm-petrel","eusp","thalassidroma pelagica","hydrobates pelagicus"
"105","forked-tailed petrel","fork-tailed storm-petrel","ftsp","oceanodroma furcata","oceanodroma furcata"
"106","leach's petrel","leach's storm-petrel","lhsp","oceanodroma leucorhoa","oceanodroma leucorhoa"
"106","kaeding's petrel","leach's storm-petrel","lhsp","oceanodroma kaeding","oceanodroma leucorhoa"
"106","socorro petrel","leach's storm-petrel","lhsp","oceanodroma socorroensis","oceanodroma leucorhoa"
"108","ashy petrel","ashy storm-petrel","assp","oceanodroma homochroa","oceanodroma homochroa"
"106.1","guadalupe petrel","guadalupe storm-petrel","gusp","oceanodroma macrodactyla","oceanodroma macrodactyla"
"106.2","harcourt's petrel","band-rumped storm-petrel","bstp","oceanodroma castro","oceanodroma castro"
"106.3","galapagos petrel","wedge-rumped storm-petrel","wrsp","oceanodroma melania","oceanodroma tethys"
"106.2","hawaiian petrel","band-rumped storm-petrel","bstp","pterodroma sandwichensis","oceanodroma castro"
"107","black petrel","black storm-petrel","blsp","oceanodroma melania","oceanodroma melania"
"103","least petrel","least storm-petrel","ltsp","haloyptena microsoma","oceanodroma microsoma"
"109","wilson's petrel","wilson's storm-petrel","wisp","oceanites oceanicus","oceanites oceanicus"
"110","white-bellied petrel","white-bellied petrel","wbpe","fregetta grallaria","fregetta grallaria"
"&nbsp;","black-bellied petrel","black-bellied storm-petrel","bbsp","fregetta tropica","fregetta tropica"
"113","red-billed tropic-bird","red-billed tropicbird","rbtr","phaethon aethereus","phaethon aethereus"
"113.1","red-tailed tropic-bird","red-tailed tropic-bird","rttr","phaethon rubricaudus","phaethon rubricauda"
"112","white-tailed tropic-bird","white-tailed tropic-bird","wttr","phaethon lepturus","phaethon lepturus"
"125","white pelican","american white pelican","awpe","pelecanus erythrorrhynchos","pelecanus erythrorrhynchos"
"126","brown pelican","brown pelican","brpe","pelecanus occidentalis","pelecanus occidentalis"
"126","california brown pelican","brown pelican","brpe","pelecanus californicus","pelecanus occidentalis"
"114","blue-faced booby","masked booby","mabo","sula cyanops","sula dactylatra"
"114.1","blue-footed booby","blue-footed booby","bfbo","sula nebouxii","sula nebouxii"
"115","brown-booby/ booby","brown booby","brbo","sula leucogaster lastra","sula leucogaster"
"116","red-footed booby","red-footed booby","rfbo","sula piscator","sula sula"
"117","gannet","northern gannet","noga","sula bassana","morus bassanus"
"119","great cormorant","great cormorant","grco","phalacrocorax carbo","phalacrocorax carbo"
"120","double-crested cormorant","double-crested cormorant","dcco","phalacrocorax auritus","phalacrocorax auritus"
"121","olivaceous cormorant","neotropic cormorant","neco","phalacrocorax olivaceus","phalacrocorax brasilianus"
"122","brant's cormorant","brant's cormorant","brac","phalacrocorax penicillatus","phalacrocorax penicillatus"
"123","pelagic cormorant","pelagic cormorant","peco","phalacrocorax pelagicus","phalacrocorax pelagicus"
"124","red-faced cormorant","red-faced cormorant","rfco","phalacrocorax urile","phalacrocorax urile"
"118","anhinga","anhinga","anhi","anhinga anhinga","anhinga anhinga"
"128","magnificent frigatebird","magnificent frigatebird","mafr","fregata aquila","fregata magnificens"
"n/a","intermediate egret","intermediate egret","ineg","egretta intermedia","mesophoyx intermedia"
"192","great white heron","great white heron","gwhe","ardea occidentalis","ardea occidentalis"
"194","great blue heron","great blue heron","gbhe","ardea herodias","ardea herodias"
"195","gray heron","gray heron","grah","ardea cinerea","ardea cinerea"
"201","green heron","green heron","grhe","butorides virescens","butorides virescens"
