"Date","Opponent","Result"
"{09/03|7:00 PM}","{Bloomington Christian (Bloomington CA)|Preview Game|Box Score}","45 - 0 Loss"
"{09/09|7:00 PM}","{Immanuel Christian (Ridgecrest CA)|Preview Game|Box Score}","24 - 12 Win"
"{09/16|TBA}","{Big Pine (Big Pine CA)|Preview Game|Box Score}","48 - 6 Win"
"{09/23|7:00 PM}","{@ Capistrano Valley Christian (San Juan Capistrano CA)|Details: San Clemente|Preview Game|Box Score}","60 - 34 Win"
"{10/01|TBA}","{@ Laguna Blanca (Santa Barbara CA)|Preview Game|Box Score}","46 - 40 Win"
"{10/07|7:00 PM}","{California Lutheran (Wildomar CA) *|Preview Game|Box Score}","30 - 14 Loss"
"{10/14|7:00 PM}","{@ Upland Christian Academy (Rancho Cucamonga CA) *|Preview Game|Box Score}","12 - 7 Win"
"{10/21|TBA}","{Excelsior Education Center (Victorville CA) *|Preview Game|Box Score}","58 - 12 Loss"
"{10/28|TBA}","{@ Victor Valley Christian (Victorville CA) *|Preview Game|Box Score}","2 - 0 Forfeit Win"
"{11/11|TBA}","{Hope Centre (Compton CA) ***|Preview Game|Box Score}","24 - 16 Loss"
