"PORT","CURRENCY","PTA SERVICE FEE"
"Australia","AUD","110.00"
"Bangladesh","USD","35.00"
"Cambodia","USD","25.00"
"Canada","CAD","54.00 (International)  100.00 (Transborder)"
"France","EUR","35.00"
"Germany","EUR","35.00 &lt;Except seamen&gt;"
"Hong Kong","HKD","280.00"
"India","INR","1700.00"
"Indonesia","USD","20.00"
"Italy","EUR","35.00"
"Japan","JPY","4500.00"
"Korea","KRW","20000.00"
"Malaysia","MYR","50.00"
"Nepal","USD","35.00"
"New Zealand","NZD","30.00"
"Papua New Guinea","PGK","2.00"
"People's Rep. of China","CNY","300.00"
"Philippines","USD","35.00"
"Portugal","EUR","35.00"
"Singapore","SGD","35.00"
"Spain","EUR","35.00"
"Sri Lanka","USD","35.00"
"Switzerland","CHF","50.00"
"Taiwan","TWD","1200"
"Thailand","THB","880.00"
"Turkey","TRL","150000.00"
"USA","USD","75.00"
"Vietnam","USD","10.00"
