"agriculture","1813"
"apparel & accessories","227"
"arts & humanities","14304"
"auto","19774"
"beauty care","3098"
"business to business","10428"
"computers & internet","229"
"construction","21269"
"education","10856"
"finance & legal","23389"
"food & restaurants","13107"
"government & organization","13391"
"health","46210"
"home","26311"
"industry","8041"
"manufacturers & engineers","9184"
"news & media","3265"
"real estate","19334"
"services & professionals","14013"
"shopping","16125"
"sports","7748"
"travel","12617"
