"&bull;&nbsp;                                  2007 honda metropolitan","","&bull;&nbsp;                                  2007 honda ruckus",""
"&bull;&nbsp;                                  2007 honda vtx 1800r","","&bull;&nbsp;                                  2007 honda helix",""
"&bull;&nbsp;                                  2007 honda rebel","","&bull;&nbsp;                                  2007 honda st1300",""
"&bull;&nbsp;                                  2007 honda vtx 1300","","&bull;&nbsp;                                  2007 honda vtx 1800t",""
"&bull;&nbsp;                                  2007 honda cr","","&bull;&nbsp;                                  2007 honda vtx 1800n",""
"&bull;&nbsp;                                  2007 honda reflex","","&bull;&nbsp;                                  2007 honda shadow",""
"&bull;&nbsp;                                  2007 honda crf","","&bull;&nbsp;                                  2007 honda interceptor",""
"&bull;&nbsp;                                  2007 honda xr","","&bull;&nbsp;                                  2007 honda vtx 1800c",""
"&bull;&nbsp;                                  2007 honda nighthawk","","&bull;&nbsp;                                  2007 honda elite 80",""
"&bull;&nbsp;                                  2007 honda silver wing","","&bull;&nbsp;                                  2007 honda gold wing",""
"&bull;&nbsp;                                  2007 honda vtx 1800f","","&bull;&nbsp;                                  2007 honda 919","NULL"
"&bull;&nbsp;                                  2007 honda cbr","","NULL","NULL"
