"country","currency","exam price","5% discountquantities 10+"
"afghanistan","usd","210.00","199.50"
"albania","usd","210.00","199.50"
"algeria","eur","155.00","147.25"
"american samoa","usd","210.00","199.50"
"andora","usd","210.00","199.50"
"angola","usd","210.00","199.50"
"anguilla","usd","210.00","199.50"
"antarctica","usd","210.00","199.50"
"antigua and barbuda","usd","210.00","199.50"
"argentina","usd","210.00","199.50"
"armenia","usd","210.00","199.50"
"aruba","usd","210.00","199.50"
"australia","aud","200.00","190.00"
"austria","eur","155.00","147.25"
"azerbaijan","usd","210.00","199.50"
"bahamas","usd","210.00","199.50"
"bahrain","gbp","130.00","123.50"
"bangladesh","usd","210.00","199.50"
"barbados","usd","210.00","199.50"
"belarus","usd","210.00","199.50"
"belgium","eur","155.00","147.25"
"belize","usd","200.00","190.00"
"benin","usd","210.00","199.50"
"bermuda","usd","200.00","190.00"
"bhutan","usd","210.00","199.50"
"bolivia","usd","210.00","199.50"
"bosnia and herzegowina","usd","210.00","199.50"
"botswana","gbp","130.00","123.50"
"bouvet island","usd","210.00","199.50"
"brazil","usd","210.00","199.50"
"british indian ocean territory","usd","210.00","199.50"
"brunei darussalam","usd","210.00","199.50"
"bulgaria","usd","210.00","199.50"
"burkina faso","usd","210.00","199.50"
"burundi","usd","210.00","199.50"
"cambodia","usd","210.00","199.50"
"cameroon","eur","155.00","147.25"
"canada","usd","200.00","190.00"
"cape verde","usd","210.00","199.50"
"cayman islands","usd","210.00","199.50"
"central african republic","usd","210.00","199.50"
"chad","usd","210.00","199.50"
"chile","usd","210.00","199.50"
"china","usd","210.00","199.50"
"christmas island","usd","210.00","199.50"
"cocos (keeling) islands","usd","210.00","199.50"
"colombia","usd","210.00","199.50"
"comoros","usd","210.00","199.50"
"congo","usd","210.00","199.50"
"cook islands","usd","210.00","199.50"
"costa rica","usd","210.00","199.50"
"cote d&#8217;ivoire (ivory coast)","eur","155.00","147.25"
"croatia","usd","210.00","199.50"
"cyprus","gbp","130.00","123.5"
"czech republic","usd","210.00","199.50"
"denmark","dkk","1160.00","1102.00"
"djibouti","usd","210.00","199.50"
"dominica","usd","210.00","199.50"
"dominican republic","usd","210.00","199.50"
"east timor","usd","210.00","199.50"
"ecuador","usd","210.00","199.50"
"egypt","gbp","130.00","123.5"
"el salvador","usd","210.00","199.50"
"equatorial guinea","usd","210.00","199.50"
"eritrea","usd","210.00","199.50"
"estonia","usd","210.00","199.50"
"ethiopia","gbp","130.00","123.5"
"falkland islands","usd","210.00","199.50"
"faroe islands","usd","210.00","199.50"
"fiji","aud","210.00","199.50"
"finland","eur","155.00","147.25"
"france","eur","155.00","147.25"
"french guiana","usd","210.00","199.50"
"french polynesia","usd","210.00","199.50"
"french southern territories","usd","210.00","199.50"
"gabon","eur","155.00","147.25"
"gambia","usd","210.00","199.50"
"georgia","usd","210.00","199.50"
"germany","eur","155.00","147.25"
"ghana","gbp","130.00","123.50"
"gibraltar","usd","210.00","199.50"
"greece","eur","155.00","147.25"
"greenland","usd","210.00","199.50"
"grenada","usd","210.00","199.50"
"guadeloupe","usd","210.00","199.50"
"guam","usd","210.00","199.50"
"guatemala","usd","210.00","199.50"
"guinea","usd","210.00","199.50"
"guinea-bissau","usd","210.00","199.50"
"guyana","usd","210.00","199.50"
"haiti","usd","210.00","199.50"
"heard","usd","210.00","199.50"
"honduras","usd","210.00","199.50"
"hong kong","hkd","1630.00","1548.50"
"hungary","usd","210.00","199.50"
"iceland","gbp","130.00","123.50"
"india","usd","210.00","199.50"
"indonesia","usd","210.00","199.50"
"iraq","usd","210.00","199.50"
"ireland","eur","150.00","142.50"
"israel","usd","210.00","199.50"
"italy","eur","155.00","147.25"
"jamaica","usd","210.00","199.50"
"japan","jpy","17500.00","16625.00"
"jordan","gbp","130.00","123.50"
"kazakhstan","usd","210.00","199.50"
"kenya","gbp","130.00","123.5"
