"1","ostrich","struthio camelus","ostrich","struthio camelus","1","1"
"2","king penguin","aptenodytes patagonicus","king penguin","aptenodytes patagonica","7","1"
"3","jackass penguin","spheniscus demersus","jackass penguin","spheniscus demersus","7","15"
"4","rockhopper penguin","eudyptes chrysocome","rockhopper penguin","eudyptes crestatus","7","9"
"5","macaroni penguin","eudyptes chrysolophus","macaroni penguin","eudyptes chrysolophus","7","11"
"6","great crested grebe","podiceps cristatus","great crested grebe","podiceps cristatus","9","14"
"7","black-necked grebe","podiceps nigricollis","black-necked grebe","podiceps nigricollis","9","16"
"8","dabchick","tachybaptus ruficollis","little grebe","tachybaptus ruficollis","9","1"
"9","royal albatross","diomedea epomophora","royal albatross","diomedea epomophora","10","2"
"10","wandering albatross","diomedea exulans","wandering albatross","diomedea exulans","10","1"
"11","shy albatross","diomedea cauta","shy albatross","diomedea cauta","10","9"
"12","black-browed albatross","diomedea melanophris","black-browed albatross","diomedea melanophrys","10","7"
"13","grey-headed albatross","diomedea chrysostoma","grey-headed albatross","diomedea chrysostoma","10","11"
"14","yellow-nosed albatross","diomedea chlororhynchos","yellow-nosed albatross","diomedea chlororhynchos","10","10"
"15","dark-mantled sooty albatross","phoebetria fusca","sooty albatross","phoebetria fusca","10","13"
"16","light-mantled sooty albatross","phoebetria palpebrata","light-mantled sooty albatross","phoebetria palpebrata","10","14"
"17","southern giant petrel","macronectes giganteus","giant petrel","macronectes giganteus","11","1"
"18","northern giant petrel","macronectes halli","hall's giant petrel","macronectes halli","11","2"
"19","antarctic fulmar","fulmarus glacialoides","southern fulmar","fulmarus glacialoides","11","4"
"20","antarctic petrel","thalassoica antartica","antarctic petrel","thalassoica antartica","11","5"
"21","pintado petrel","daption capense","pintado petrel","daption capense","11","6"
"22","bulwer's petrel","bulweria bulwerii","bulwer's petrel","bulweria bulwerii","11","43"
"23","great-winged petrel","pterodroma macroptera","great-winged petrel","pterodroma macroptera","11","8"
"24","soft-plumaged petrel","pterodroma mollis","soft-plumaged petrel","pterodroma mollis","11","23"
"25","white-headed petrel","pterodroma lessonii","white-headed petrel","pterodroma lessonii","11","10"
"26","atlantic petrel","pterodroma incerta","schlegel's petrel","pterodroma incerta","11","13"
"27","kerguelen petrel","pterodroma brevirostris","kerguelen petrel","pterodroma brevirostris","11","18"
"28","blue petrel","halobaena caerulea","blue petrel","halobaena caerulea","11","36"
"29","broad-billed prion","pachyptila vittata","broad-billed prion","pachyptila vittata","11","37"
"30","slender-billed prion","pachyptila belcheri","slender-billed prion","pachyptila belcheri","11","40"
"31","fairy prion","pachyptila turtur","fairy prion","pachyptila turtur","11","41"
"32","white-chinned petrel","procellaria aequinoctialis","white-chinned petrel","procellaria aequinoctialis","11","46"
"33","grey petrel","procellaria cinerea","brown petrel","procellaria cinerea","11","45"
"34","cory's shearwater","calonectris diomedea","cory's shearwater","calonectris diomedea","11","50"
"35","great shearwater","puffinus gravis","greater shearwater","puffinus gravis","11","53"
"36","flesh-footed shearwater","puffinus carneipes","pale-footed shearwater","puffinus carneipes","11","52"
"37","sooty shearwater","puffinus griseus","sooty shearwater","puffinus griseus","11","56"
"38","manx shearwater","puffinus puffinus","manx shearwater","puffinus puffinus","11","60"
"39","little shearwater","puffinus assimilis","little shearwater","puffinus assimilis","11","65"
"40","audubon's shearwater","puffinus lherminieri","audubon's shearwater","puffinus lherminieri","11","66"
"41","wedge-tailed shearwater","puffinus pacificus","wedge-tailed shearwater","puffinus pacificus","11","54"
"42","european storm petrel","hydrobates pelagicus","british storm petrel","hydrobates pelagicus","12","8"
"43","leach's storm petrel","oceanodroma leucorhoa","leach's storm petrel","oceanodroma leucorhoa","12","12"
"44","wilson's storm petrel","oceanites oceanicus","wilson's petrel","oceanites oceanicus","12","1"
"45","white-bellied storm petrel","fregatta grallaria","white-bellied storm petrel","fregatta grallaria","12","5"
"46","black-bellied storm petrel","fregatta tropica","black-bellied storm petrel","fregatta tropica","12","6"
"47","red-tailed tropic bird","phaethon rubricauda","red-tailed tropic bird","phaethon rubricauda","14","2"
"48","white-tailed tropic bird","phaethon lepturus","white-tailed tropic bird","phaethon lepturus","14","3"
"49","white pelican","pelecanus onocrotalus","eastern white pelican","pelecanus onocrotalus","15","1"
"50","pink-backed pelican","pelecanus rufescens","pink-backed pelican","pelecanus rufescens","15","3"
"51","masked booby","sula dactylatra","blue-faced booby","sula dactylatra","16","7"
"52","brown booby","sula leucogaster","brown booby","sula leucogaster","16","9"
"53","cape gannet","morus capensis","cape gannet","morus capensis","16","2"
"54","australian gannet","morus serrator","australian gannet","morus serrator","16","3"
"55","white-breasted cormorant","phalacrocorax carbo","white-breasted cormorant","phalacrocorax lucidus","17","5"
"56","cape cormorant","phalacrocorax capensis","cape cormorant","phalacrocorax capensis","17","7"
"57","bank cormorant","phalacrocorax neglectus","bank cormorant","phalacrocorax neglectus","17","9"
"58","reed cormorant","phalacrocorax africanus","reed cormorant","halietor africanus","17","29"
"59","crowned cormorant","phalacrocorax coronatus","reed cormorant","halietor africanus (coronatus)","17","29"
"60","darter","anhinga melanogaster","african darter","anhinga rufa","18","1"
"61","greater frigatebird","fregata minor","great frigate bird","fregata minor","19","4"
"62","grey heron","ardea cinerea","grey heron","ardea cinerea","20","53"
"63","black-headed heron","ardea melanocephala","black-headed heron","ardea melanocephala","20","56"
"64","goliath heron","ardea goliath","goliath heron","ardea goliath","20","58"
"65","purple heron","ardea purpura","purple heron","ardea purpurea","20","50"
"66","great white egret","egretta alba","great egret","egretta alba","20","49"
"67","little egret","egretta garzetta","little egret","egretta garzetta","20","47"
"68","yellow-billed egret","egretta intermedia","intermediate egret","egretta intermedia","20","48"
"69","black egret","egretta ardesiaca","black heron","egretta ardesiaca","20","38"
"70","slaty egret","egretta vinaceigula","red-throated heron","egretta vinaceigula","20","39"
"71","cattle egret","bubulcus ibis","cattle egret","bubulcus ibis","20","34"
"72","squacco heron","ardeola ralloides","squacco heron","ardeola ralloides","20","28"
"73","madagascar squacco heron","ardeola idae","madagascar squacco heron","ardeola idea","20","29"
"74","green-backed heron","butorides striatus","green heron","butorides striatus","20","36"
"75","rufous-bellied heron","butorides rufiventris","rufous-bellied heron","ardeola rufiventris","20","33"
"76","black-crowned night heron","nycticorax nycticorax","black-crowned night heron","nycticorax nycticorax","20","23"
"77","white-backed night heron","gorsachius leuconotus","white-backed night heron","gorsachius leuconotus","20","22"
"78","little bittern","ixobrychus minutus","little bittern","ixobrychus minutus","20","6"
"79","dwarf bittern","ixobrychus sturmii","dwarf bittern","ixobrychus sturmii","20","11"
"80","bittern","botaurus stellaris","eurasian bittern","botaurus stellaris","20","1"
"81","hamerkop","scopus umbretta","hamerkop","scopus umbretta","22","1"
"82","shoebill","balaeniceps rex","whale-headed stork","balaeniceps rex","21","1"
"83","white stork","ciconia ciconia","white stork","ciconia ciconia","23","11"
"84","black stork","ciconia nigra","black stork","ciconia nigra","23","7"
"85","abdim's stork","ciconia abdimii","abdim's stork","ciconia abdimii","23","8"
"86","woolly-necked stork","ciconia episcopus","woolly-necked stork","ciconia episcopus","23","9"
"87","open-billed stork","anastomus lamelligerus","african open-bill stork","anastomus lamelligerus","23","6"
"88","saddle-billed stork","ephippiorhynchus senegalensis","saddle bill stork","ephippiorhynchus senegalensis","23","13"
"89","marabou stork","leptoptilos crumeniferus","marabou stork","leptoptilos crumeniferus","23","17"
"90","yellow-billed stork","mycteria ibis","yellow-billed stork","mycteria ibis","23","3"
"91","sacred ibis","threskiornis aethiopicus","sacred ibis","threskiornis aethiopicus","24","1"
"92","bald ibis","geronticus calvus","bald ibis","geronticus calvus","24","9"
"93","glossy ibis","plegadis falcinellus","glossy ibis","plegadis falcinellus","24","24"
"94","hadeda ibis","bostrychia hagedash","hadeda ibis","hagedashia hagedash","24","13"
"95","african spoonbill","platalea alba","african spoonbill","platalea alba","24","30"
"96","greater flamingo","phoenicopterus ruber","greater flamingo","phoenicopterus ruber","25","1"
"97","lesser flamingo","phoenicopterus minor","lesser flamingo","phoeniconaias minor","25","3"
"98","mute swan","cygnus olor","mute swan","cygnus olor","27","10"
"99","white-faced duck","dendrocygna viduata","white-faced whistling duck","dendrocygna viduata","27","7"
"100","fulvous duck","dendrocygna bicolor","fulvous whistling duck","dendrocygna bicolor","27","4"
"101","white-backed duck","thalassornis leuconotus","white-backed duck","thalassornis leuconotus","27","144"
"102","egyptian goose","alopochen aegyptiacus","egyptian goose","alopochen aegyptiacus","27","39"
"103","south african shelduck","tadorna cana","south african shelduck","tadorna cana","27","41"
"104","yellow-billed duck","anas undulata","african yellow-bill","anas undulata","27","82"
"105","african black duck","anas sparsa","african black duck","anas sparsa","27","65"
"106","cape teal","anas capensis","cape teal","anas capensis","27","74"
"107","hottentot teal","anas hottentota","hottentot teal","anas punctata","27","92"
"108","red-billed teal","anas erythrorhyncha","red-billed pintail","anas erythrorhyncha","27","90"
"109","pintail","anas acuta","pintail","anas acuta","27","87"
"110","garganey","anas querquedula","garganey","anas querquedula","27","93"
"111","european shoveller","anas clypeata","common shoveller","anas clypeata","27","99"
"112","cape shoveller","anas smithii","cape shoveller","anas smithii","27","97"
"113","southern pochard","netta erythropthalma","southern pochard","netta erythropthalma","27","104"
"114","pygmy goose","nettapus auritus","african pygmy goose","nettapus auritus","27","56"
"115","knob-billed duck","sarkidiornis melanotos","comb duck","sarkidiornis melanotos","27","52"
"116","spur-winged goose","plectropterus gambensis","spur-winged goose","plectropterus gambensis","27","49"
"117","maccoa duck","oxyura maccoa","maccoa duck","oxyura maccoa","27","140"
"118","secretary bird","sagittarius serpentarius","secretary bird","sagittarius serpentarius","31","1"
"119","lammergeier","gypaetus barbatus","lammergeier","gypaetus barbatus","30","45"
"120","egyptian vulture","neophron percnopterus","egyptian vulture","neophron percnopterus","30","44"
"121","hooded vulture","necrosyrtes monachus","hooded vulture","necrosyrtes monachus","30","46"
"122","cape vulture","gyps copcotheres","cape vulture","gyps coprotheres","30","53"
"123","white-backed vulture","gyps africanus","african white-backed vulture","gyps africanus","30","48"
"124","lappet-faced vulture","torgos tracheliotus","lappet-faced vulture","aegypius tracheliotus","30","54"
"125","white-headed vulture","trigonoceps occipitalis","white-headed vulture","aegypius occipitalis","30","56"
"126","black kite","milvus migrans","black kite","milvus migrans","30","29"
"127","black-shouldered kite","elanus caeruleus","black-shouldered kite","elanus caeruleus","30","17"
"128","cuckoo hawk","avecida cuculoides","african cuckoo hawk","avecida cuculoides","30","1"
"129","bat hawk","machaeramphus alcinus","bat hawk","machaeramphus alcinus","30","14"
"130","honey buzzard","pernis apivorus","honey buzzard","pernis apivorus","30","10"
"131","black eagle","aquila verreauxii","verreaux's eagle","aquila verreauxii","30","198"
"132","tawny eagle","aquila rapax","tawny eagle","aquila rapax","30","192"
"133","steppe eagle","aquila nipalensis","tawny eagle","aquila rapax (nipalensis)","30","192"
"134","lesser spotted eagle","aquila pomarina","lesser spotted eagle","aquila pomarina","30","190"
