"COUNTRY","LANGUAGE","HELP DESK LINE1","COUNTRY","LANGUAGE","HELP DESK LINE1"
"Albania","English","+420 221 456 426","Mauritania","French","+20 2 27916 360"
"Austria","German","0800 295 245","Macedonia","English","+420 221 456 426"
"Bahrain","Arabic or English","+20 2 2791 6360","Nigeria","English","+20 2791 6360"
"Belarus","Russian","+420 221 456 431","Netherlands","Dutch","0800 020 0202"
"Belgium","French","0800 80938","Norway","Norwegian","800 36926"
"Belgium","Dutch","0800 80978","Oman","Arabic or English","+20 2 2791 6360"
"Bosnia Herzegovina","English","+420 221 456 449","Poland","Polish","00800 441 1603 2 2"
"Bulgaria","English","00800 110 4441 2","Portugal","Portuguese","800 844 447"
"Croatia","English","+420 221 456 448","Qatar","Arabic or English","+20 2 2791 6360"
"Cyprus","English","+20 2 2791 6360","Rumania","English","0800 894 479"
"Cyprus","Turkish","+90 269 682 280","Russia","Russian","495 258 5432"
"Denmark","Danish","8060 1110","Saudi Arabia","Arabic or English","+20 2 2791 6360"
"Egypt","Arabic","02 2791 6360","Serbia","English","+420 221 456 447"
"Finland","Finnish","0800 114 181","Slovenia","English","0800 80028"
"France","French","0800 970 215","Spain","Spanish","900 810 356"
"Germany","German","0800 752 2584","Sweden","Swedish","0200 810 378"
"Greece","English","+420 221 456 426","Switzerland","German","0800 561 576"
"Iraq","Arabic or English","+20 2 2791 6360","Switzerland","French","0800 561 577"
"Ireland","English","1800 882 024","Switzerland","Italian","0800 561 578"
"Italy","Italian","800 929 014","Turkey","Turkish","0 216 468 9696"
"Jordan","Arabic or English","+20 2 2791 6360","Ukraine","Ukrainian","8 100 11 - 800 494 2813"
"Kuwait","Arabic or English","+20 2 2791 6360","United Arab Emirates","Arabic or English","+20 2 2791 6360"
"Lebanon","Arabic or English","+20 2 2791 6360","United Kingdom","English","0800 028 2851"
"Luxembourg","French","800 24980","&nbsp;","&nbsp;","&nbsp;"
