"&nbsp;","Name","Artist","Time","Price","&nbsp;"
"1","ExplicitEverything You Need","Slightly Stoopid","3:32","$0.99","View In iTunes"
"2","ExplicitOfficer","Slightly Stoopid","3:51","$0.99","View In iTunes"
"3","ExplicitQuestionable","Slightly Stoopid","2:06","$0.99","View In iTunes"
"4","ExplicitRunnin' With a Gun","Slightly Stoopid","3:30","$0.99","View In iTunes"
"5","ExplicitKillin' Me Deep Inside","Slightly Stoopid","4:53","$0.99","View In iTunes"
"6","ExplicitPerfect Gentleman","Slightly Stoopid","1:40","$0.99","View In iTunes"
"7","ExplicitWicked Rebel","Slightly Stoopid","4:03","$0.99","View In iTunes"
"8","ExplicitSweet Honey","Slightly Stoopid","3:50","$0.99","View In iTunes"
"9","ExplicitPunk Rock Billy","Slightly Stoopid","1:37","$0.99","View In iTunes"
"10","ExplicitWorld Goes Round (feat. I-Man)","Slightly Stoopid","3:54","$0.99","View In iTunes"
"11","ExplicitWiseman","Slightly Stoopid","3:20","$0.99","View In iTunes"
"12","ExplicitLeaving On a Jet Plane","Slightly Stoopid","3:15","$0.99","View In iTunes"
"13","ExplicitMellow Mood (feat. G. Love)","Slightly Stoopid","4:40","$0.99","View In iTunes"
"14","ExplicitCollie Man","Slightly Stoopid","2:13","$0.99","View In iTunes"
