"Name","Country    &nbsp;","Language       &nbsp;","Published","File Size (KB)"
"Terms and Conditions of Sale for Belgium (French Language Version)","Belgium&nbsp;","French &nbsp;","Aug 2009&nbsp;","&nbsp;89.2"
"Terms and Conditions of Sale for Canada (English Language Version)","Canada&nbsp;","English &nbsp;","May 2012&nbsp;","&nbsp;149.4"
"Terms and Conditions of Sale for China (Chinese Language Version)","China&nbsp;","Chinese &nbsp;","Oct 2010&nbsp;","&nbsp;127.6"
"Terms and Conditions of Sale for the Czech Republic (Czech Language Version)","Czech Republic&nbsp;","Czech &nbsp;","Aug 2009&nbsp;","&nbsp;122.7"
"Terms and Conditions of Sale for Denmark (Englilsh Language Version)","Denmark&nbsp;","English &nbsp;","Sep 2009&nbsp;","&nbsp;112.5"
"Terms and Conditions of Sale for France (French Language Version)","France&nbsp;","French &nbsp;","Jan 2010&nbsp;","&nbsp;90.2"
"Terms and Conditions of Sale for Germany (German Language Version)","Germany&nbsp;","German &nbsp;","Aug 2009&nbsp;","&nbsp;100.4"
"Terms and Conditions of Sale for Hungary (Hungarian Language Version)","Hungary&nbsp;","Hungarian &nbsp;","Sep 2009&nbsp;","&nbsp;118.6"
"Terms and Conditions of Sale for Italy (Italian Language Version)","Italy&nbsp;","Italian &nbsp;","Sep 2009&nbsp;","&nbsp;93.9"
"Terms and Conditions of Sale for Poland (Polish Language Version)","Poland&nbsp;","Polish &nbsp;","Aug 2009&nbsp;","&nbsp;135.0"
"Terms and Conditions of Sale for Russia (Russian Language Version)","Russia&nbsp;","Russian &nbsp;","Feb 2010&nbsp;","&nbsp;269.4"
"Terms and Conditions of Sale for Slovakia (Slovak Language Version)","Slovakia&nbsp;","Slovak &nbsp;","Jan 2010&nbsp;","&nbsp;94.2"
"Terms and Conditions of Sale for Spain (Spanish Language Version)","Spain&nbsp;","Spanish &nbsp;","Aug 2009&nbsp;","&nbsp;93.0"
"Terms and Conditions of Sale for Sweden (English Language Version)","Sweden&nbsp;","English &nbsp;","Aug 2009&nbsp;","&nbsp;112.5"
"Terms and Conditions of Sale for Turkey (Turkish Language Version)","Turkey&nbsp;","Turkish &nbsp;","Sep 2009&nbsp;","&nbsp;28.0"
"Terms and Conditions of Sale for the United Kingdom (English Language Version)","United Kingdom&nbsp;","English &nbsp;","Aug 2009&nbsp;","&nbsp;112.5"
"Terms and Conditions of Sale for the U.S. (English Language Version)","United States&nbsp;","English &nbsp;","Aug 2009&nbsp;","&nbsp;121.7"
"Terms and Conditions Regarding Resale of PolyOne Products","United States&nbsp;","English &nbsp;","Oct 2011&nbsp;","&nbsp;52.2"
