"country","currency symbol","currency name","thousand format","decimal format"
"united states","usd","dollar","(comma)",". (period)"
"afghanistan","afa","afghani","NULL","NULL"
"albania","all","lek",". (period)","(comma)"
"algeria","dzd","dinar",". (period)","(comma)"
"american samoa","esp","peseta","NULL","NULL"
"andorra","eur","euro",". (period)","(comma)"
"angola","aon","kwanza","NULL","NULL"
"anguilla","xcd","dollar","(comma)",". (period)"
"antigua and barbuda","xcd","dollar","(comma)",". (period)"
"argentina","ars","peso",". (period)","(comma)"
"armenia","amd","dram","NULL","NULL"
"aruba","ang","guilder","(comma)",". (period)"
"austria","eur","euro",". (period)","(comma)"
"australia","aud","dollar","(comma)",". (period)"
"azerbaijan","azm","manat","NULL","NULL"
"bahamas","bsd","dollar","(comma)",". (period)"
"bahrain","bhd","dinar",". (period)","(comma)"
"bangladesh","bdt","taka","NULL","NULL"
"barbados","bbd","dollar","(comma)",". (period)"
"belarus","byr","ruble","n/a","(comma)"
"belgium","eur","euro",". (period)","(comma)"
"belize","bzd","dollar","NULL","NULL"
"benin","xof","franc","NULL","NULL"
"bermuda","bmd","dollar","(comma)",". (period)"
"bhutan","btr","rupee","NULL","NULL"
"bolivia","bob","boliviano",". (period)","(comma)"
"bosnia and herzegovina","bak","mark","NULL","NULL"
"botswana","bwp","pula","NULL","NULL"
"brazil","brl","real",". (period)","(comma)"
"brunei","bnd","dollar","NULL","NULL"
"bulgaria","eur","euro",". (period)","(comma)"
"burkina faso","xof","franc","NULL","NULL"
"burundi","bif","franc","NULL","NULL"
"cambodia","khr","riel","NULL","NULL"
"cameroon","xof","franc","NULL","NULL"
"canada","cad","dollar","{(comma)|n/a (french-canada)}","{. (period)|. (comma) (french-canada)}"
"cape verde","cve","escudo","NULL","NULL"
"cayman islands","kyd","dollar","(comma)",". (period)"
"central african republic","xaf","franc","NULL","NULL"
"chad","xaf","franc","NULL","NULL"
"chile","clp","new peso",". (period)","(comma)"
"china","cny","yuan renminbi","(comma)",". (period)"
"christmas island","aud","dollar","(comma)",". (period)"
"cocos islands","aud","dollar","(comma)",". (period)"
"colombia","cop","peso",". (period)","(comma)"
"comoros","kmf","franc","NULL","NULL"
"cook islands","nzd","dollar","(comma)",". (period)"
"costa rica","crc","colon",". (period)","(comma)"
"cote 'ivoire","xof","franc","NULL","NULL"
"croatia","hrk","kuna",". (period)","(comma)"
"cuba","cup","peso","NULL","NULL"
"cyprus","eur","euro",". (period)","(comma)"
"czech republic","czk","koruna","n/a","(comma)"
"denmark","dkk","krone",". (period)","(comma)"
"dijbouti","djf","franc","NULL","NULL"
"dominica","xcd","dollar","NULL","NULL"
"dominican republic","dop","peso","(comma)",". (period)"
"ecuador","ecs","sucre",". (period)","(comma)"
"egypt","egp","pound",". (period)","(comma)"
"el salvador","svc","colon","NULL","NULL"
"equatorial guinea","xaf","franc","NULL","NULL"
"eritrea","etb","birr","NULL","NULL"
"estonia","eek","kroon","n/a","(comma)"
"ethiopia","etb","birr","NULL","NULL"
"falklands islands","fkp","pound","NULL","NULL"
"faroe islands","dkk","krone",". (period)","(comma)"
"fiji","fjd","dollar","(comma)",". (period)"
"finland","eur","euro",". (period)","(comma)"
"france","eur","euro",". (period)","(comma)"
"french guiana","frf","franc","NULL","NULL"
"french polynesia","xpf","franc","NULL","NULL"
"gabon","xaf","franc","NULL","NULL"
"gambia","gmd","dalasi","NULL","NULL"
"georgia","gel","lari","NULL","NULL"
"germany","eur","euro",". (period)","(comma)"
"ghana","ghc","cedi","NULL","NULL"
"gibraltar","gip","pound","NULL","NULL"
"greece","eur","euro",". (period)","(comma)"
"greenland","dkk","krone","NULL","NULL"
"grenada","xcd","dollar","NULL","NULL"
"guadeloupe","frf","franc","NULL","NULL"
"guam","usd","dollar","(comma)",". (period)"
"guatemala","gtq","quetzal","(comma)",". (period)"
"guinea","gnf","franc","NULL","NULL"
"guinea bissau","xof","franc","NULL","NULL"
"guyana","gyd","dollar","NULL","NULL"
"haiti","htd","gourde","NULL","NULL"
"honduras","hnl","lempira","NULL","NULL"
"hong kong","hkd","dollar","(comma)",". (period)"
"hungary","huf","forint","n/a","(comma)"
"iceland","isk","krona",". (period)","(comma)"
"india","inr","rupee","NULL","NULL"
"indonesia","idr","rupiah",". (period)","(comma)"
"iran","irr","rial",". (period)","(comma)"
"iraq","iqd","dinar",". (period)","(comma)"
"ireland","eur","euro",". (period)","(comma)"
"israel","ils","new shekel","(comma)",". (period)"
"italy","eur","euro",". (period)","(comma)"
"jamaica","jmd","dollar","(comma)",". (period)"
"japan","jpy","yen","(comma)",". (period)"
"jordan","jod","dinar",". (period)","(comma)"
"kazakhstan","kzt","tenge","NULL","NULL"
"kenya","kes","shilling","NULL","NULL"
"kiribati","aud","dollar","NULL","NULL"
"kosovo","eur","euro",". (period)","(comma)"
"kuwait","kwd","dinar",". (period)","(comma)"
"kyrgyzstan","kgs","som","NULL","NULL"
"laos","lak","kip","NULL","NULL"
"latvia","lvl","lat","n/a","(comma)"
"lebanon","lbo","pound",". (period)","(comma)"
"lesotho","lsl","loti","NULL","NULL"
"liberia","lrd","dollar","NULL","NULL"
"libya","lyd","dinar",". (period)","(comma)"
"liechtenstein","chf","franc","' (apostrophe)",". (period)"
"lithuania","ltl","litas",". (period)","(comma)"
"luxembourg","eur","euro","{n/a (french)|. (period) (german)}","{(comma) (french)|(comma) (german)}"
"macau","mop","pataca","NULL","NULL"
"macedonia","mkd","denar","NULL","NULL"
"madagascar","mgf","franc","NULL","NULL"
"malawi","mwk","kwacha","NULL","NULL"
"malaysia","myr","ringgit","NULL","NULL"
"mali","xof","franc","NULL","NULL"
"malta","eur","euro",". (period)","(comma)"
"marshall islands","usd","dollar","NULL","NULL"
"martinique","frf","franc","NULL","NULL"
"mauritania","mro","ouguiya","NULL","NULL"
"mauritius","mur","rupee","NULL","NULL"
"maldives","mvr","rufiyaa","NULL","NULL"
"mayotte","frf","franc","NULL","NULL"
"mexico","mxn","nuevo peso","(comma)",". (period)"
"micronesia","usd","dollar","NULL","NULL"
"moldova","mdl","leu","NULL","NULL"
"monaco","eur","euro",". (period)","(comma)"
"mongolia","tnt","tugrik","NULL","NULL"
"montenegro","eur","euro",". (period)","(comma)"
"montserrat","xcd","dollar","NULL","NULL"
"morocco","mad","dirham",". (period)","(comma)"
"mozambique","mzm","metical","NULL","NULL"
"myanmar (burma)","mmk","kyat","NULL","NULL"
"namibia","nad","dollar","NULL","NULL"
"nauru","aud","dollar","NULL","NULL"
"nepal","npr","rupee","NULL","NULL"
"netherlands","eur","euro",". (period)","(comma)"
"netherland antilles","ang","guilder","NULL","NULL"
"new caledonia","xpf","franc","NULL","NULL"
"new zealand","nzd","dollar","(comma)",". (period)"
"nicaragua","nic","cordoba oro","NULL","NULL"
"niger","xof","franc","NULL","NULL"
"nigeria","ngn","naira","NULL","NULL"
"niue","nzd","dollar","NULL","NULL"
"norfolk island","aud","dollar","NULL","NULL"
"norway","nok","krone","n/a","(comma)"
"oman","omr","rial",". (period)","(comma)"
"pakistan","pkr","rupee","NULL","NULL"
"palau","usd","dollar","NULL","NULL"
"panama","pab","balboa","(comma)",". (period)"
"papua new guinea","pgk","kina","NULL","NULL"
"paraguay","pyg","guarani",". (period)","(comma)"
"peru","pen","new sol","(comma)",". (period)"
"philippines","php","peso","NULL","NULL"
"poland","pln","new zloty","n/a","(comma)"
"portugal","eur","euro",". (period)","(comma)"
"puerto rico","usd","dollar","NULL","NULL"
