"Product               Number","Closure               Size","Material"
"WDH01-a","33/410","Plastic"
"WDG04-a","33/410","Plastic"
"WDG04-a","33/410","Plastic&nbsp;"
"WDG04-b","33/410","Plastic"
"WDG04-b","33/410","Plastic&nbsp;"
"WDG04-b","33/410","Plastic"
"WDG01-a","22/410","Plastic&nbsp;"
"WDG01-b","22/410","Plastic"
"WDG02-a","24/410","Plastic&nbsp;"
"WDG02-a","24/410","Plastic"
"WDG02-b","24/410","Plastic&nbsp;"
"WDG02-c","24/410","Plastic"
"WDG03-a","28/400","Plastic&nbsp;"
"WDG03-b","28/410","Plastic"
"WDG03-c","28/410","Plastic&nbsp;"
"WDG03-c","28/410","Plastic"
"WDG03-d","28/410","Plastic&nbsp;"
