"COUNTRY","CURRENCY","ABREVIATION","SUB-CURRENCY"
"Oman","rial","RO","1000 baizas"
"Pakistan","rupee","Rs","100 paisa"
"Palau","see United States","&nbsp;","&nbsp;"
"Panama","balboa","B","100 centesimos"
"Panama Canal Zone","see United States","&nbsp;","&nbsp;"
"Papua New Guinea","kina","K","100 toeas"
"Paraguay","guarani","slashed G","100 centimos"
"Peru","nuevo sol","S/","100 centimos"
"Philippines","peso","dashed P","100 centavos"
"Pitcairn Island","see New Zealand","&nbsp;","&nbsp;"
"Poland","zloty","z dashed l","100 groszy"
"Portugal","see European Union","&nbsp;","&nbsp;"
"Puerto Rico","U.S. dollar (See United States)","&nbsp;","&nbsp;"
"Qatar","riyal","QR","100 dirhams"
"Reunion Island","French franc (See France)","&nbsp;","&nbsp;"
"Romania","leu (pl. lei)","L","100 bani"
"Russia","ruble","R","100 kopecks"
"Rwanda","franc","RF","100 centimes"
"Samoa","tala","WS$","100 sene"
"Samoa (American)","U.S. dollar (See United States)","&nbsp;","&nbsp;"
"Samoa (Western)","see Western Samoa","&nbsp;","&nbsp;"
"San Marino","Italian lira (See Italy)","&nbsp;","&nbsp;"
"S?o Tom? &amp; Principe","dobra","Db","100 centimos"
"Saudi Arabia","riyal","SRls","100 halalat"
"Senegal","franc","CFAF","100 centimes"
"Serbia","see Yugoslavia","&nbsp;","&nbsp;"
"Seychelles","rupee","SR","100 cents"
"Sierra Leone","leone","Le","100 cents"
"Singapore","dollar","S$","100 cents"
"Slovakia","koruna","Sk","100 halierov"
"Slovenia","tolar","SlT","100 stotinov (stotins)"
"Solomon Island","dollar","SI$","100 cents"
"Somalia","shilling","So. Sh.","100 cesntesimi"
"South Africa","rand","R","100 cents"
"Spain","see European Union","&nbsp;","&nbsp;"
"Sri Lanka","rupee","SLRs","100 cents"
"St. Helena","pound","?","100 new pence"
"St. Kitts and Nevis","dollar","EC$","100 cents"
"St. Lucia","dollar","EC$","100 cents"
"St. Pierre","French franc (See France)","&nbsp;","&nbsp;"
"St. Vincent &amp; Grenadines","dollar","EC$","100 cents"
"Sudan","dinar","&nbsp;","100 piastres"
"Suriname","guilder (a.k.a. florin or gulden)","Sur.f. or Sf.","100 cents"
"Svalbard and Jan Mayen Islands","see Norway","&nbsp;","&nbsp;"
"Swaziland","lilangeni pl. emalangeni","L pl. E","100 cents"
"Sweden","krona (pl. kronor)","Sk","100 ?re"
"Switzerland","franc","CHF","100 Rappen/centimes"
"Syria","pound","S","100 piasters"
