"Rank","Company","Industry"
"1","National Australia Bank","Banking"
"2","BHP Billiton","Materials"
"3","Commonwealth Bank of Australia","Banking"
"4","Rio Tinto","Materials"
"5","Australia & New Zealand Banking","Banking"
"6","Westpac Banking","Banking"
"7","Telstra","Telecommunications services"
"8","Westfield Group","Diversified financials"
"9","Woolworths","Food markets"
"10","Coles Myer","Food markets"
"11","AMP","Insurance"
"12","QBE Insurance Group","Insurance"
"13","Macquarie Bank","Diversified financials"
"14","St George Bank","Banking"
"15","Suncorp-Metway","Diversified financials"
"16","Wesfarmers","Conglomerates"
"17","Foster's Group","Food drink & tobacco"
"18","Qantas Airways","Transportation"
"19","Insurance Australia Group","Insurance"
"20","Brambles Industries","Business services & supplies"
