"ngày gửi","tên công ty","địa chỉ"
"23/12/2011","công ty tnhh công nghệ thông tin và giải pháp trực tuyến ito","20 nguyễn gia thiều"
"21/12/2011","thuốc thủy sản 5way","1a phùng khắc khoan nha trang khánh hòa"
"19/12/2011","cty tnhh đầu tư & tmdv liên gia bảo","lô 1 khu biệt thự bắc sông hà thanh p.đống đa tp. quy nhơn bình định"
"18/12/2011","tnhh đt&pt đông tây","ss5 hồng lĩnh p15 q10 hcm"
"16/12/2011","tnhh tmth tuấn việt","cmt8-tp.đà nẵng"
"12/12/2011","feeling","lô 18-lê xuân trữ lô 08-võ xán lô 31 võ xán quy nhơn"
"02/12/2011","công ty cp cafe đại long","96 lê văn hiến quận ngũ hành sơn-tp đà nẵng"
"01/12/2011","công ty cổ phần nhất phong vận","142 nguyễn tri phương- tp đà nẵng"
"29/11/2011","công ty tnhh việt úc - bình định","xuân thạnh nam - mỹ an - phù mỹ - bình định"
"09/01/2012","công ty cổ phần chăn nuôi c.p. việt nam","số 2 đường 2a kcn biên hòa 2 biên hòa đồng nai"
"25/11/2011","chi nhánh cty tân từ điển","126 lê lợi - qui nhơn"
"21/11/2011","công ty tnhh olympus viet nam","đường số 08 kcn long thành đồng nai"
"20/11/2011","công ty truyền thông trio","quy nhon"
"14/11/2011","công ty cp cà phê đại long","96 lê văn hiến - q.ngũ hành sơn - tp.đà nẵng"
"12/11/2011","vpg vệt nam","1a lý thường kiệt - tp hcm"
