"mountain","height in meters","range","conquered on"
"mount everest","8848","himalayas","may 29 1953"
"k-2 (godwin austin)","8611","karakoram","july 31 1954"
"kanchenjunga","8597","himalayas","may 25 1955"
"lhotse","8511","himalayas","may 18 1956"
"makalu i","8481","himalayas","may 15 1955"
"dhaulagiri i","8167","himalayas","may 13 1960"
"manaslu","8156","himalayas","may 9 1956"
"cho uyo","8153","himalayas","oct 19 1954"
"nanga parbat","8124","himalayas","july 3 1953"
"annapurna i","8078","himalayas","june 3 1950"
"gasherbrum i","8068","karakoram","july 5 1958"
"broad peak i","8047","karakoram","june 9 1957"
"gasherbrum ii","8034","karakoram","july 7 1956"
"shisha pangma (gasainthan)","8013","himalayas","may 2 1964"
"gasherbrum iii","7952","karakoram","aug 11 1975"
"annapurna ii","7937","himalayas","may 17 1960"
"gasherbrum iv","7923","karakoram","aug 6 1958"
"cyachug kang","7921","himalayas","apr 10 1964"
"kangbachen","7902","himalayas","may 26 1974"
"disteghil sar i","7884","karakoram","june 9 1960"
"himal chuli","7864","himalayas","may 24 1960"
"khinyang chchish","7852","karakoram","aug 26 1971"
"nuptse","7841","himalayas","oct 1970"
"gasherbrum east","7821","karakoram","july 5 1960"
"nanda devi","7816","himalayas","aug 29 1936"
"chomo lonzo","7815","himalayas","oct 30 1954"
"ngojumba ri i","7805","himalayas","may 5 1965"
"rakaposhi","7788","karakoram","june 25 1988"
"batura muztagh i","7785","karakoram","july 30 1976"
"zemu gap peak","7780","himalayas","unclimbed"
"kanjut sar","7760","karakoram","july 19 1939"
"kamet","7756","himalayas","june 21 1931"
