"placing","driver","country","team","tyres","time"
"1","lewis hamilton","great-britain","vodafone mclaren - mercedes","","{+ 1h 56m 6.337s|&nbsp; &nbsp;&nbsp;&nbsp;}"
"2","timo glock","germany","panasonic toyota racing","","+ 9.634s"
"3","fernando alonso","spain","ing renault f1 team","","+ 16.624s&nbsp;"
"4","sebastian vettel","germany","red bull racing","","+ 20.261s &nbsp;"
"5","jenson button","great-britain","brawn gp formula 1 team - mercedes","","+ 30.015s &nbsp;"
"6","rubens barrichello","brazil","brawn gp formula 1 team - mercedes","","{+ 31.858s|&nbsp;&nbsp;}"
"7","heikki kovalainen","finland","vodafone mclaren - mercedes","","+ 36.157s"
"8","robert kubica","poland","bmw sauber f1 team","","{+ 55.054s|&nbsp;}"
"9","kazuki nakajima","japan","at&amp;t williams","","+ 56.054s"
"10","kimi r�ikk�nen","finland","scuderia ferrari marlboro","","+ 58.892s"
"11","nico rosberg","germany","at&amp;t williams","","+ 59.777s"
"12","jarno trulli","italy","panasonic toyota racing","","+ 1m 13.009s"
"13","giancarlo fisichella","italy","scuderia ferrari marlboro","","+ 1m 19.890s"
"14","vitantonio liuzzi","italy","force india f1 team","","{+ 1m 33.502s|&nbsp;}"
