"08-05-12","british national championship at the stonehaven circuit"
"24-04-12","ec-b 1/10: sabrina reports on wednesday"
"04-04-12","uk: �green with 747 wins opening round of british 200mm nationals�"
"25-03-12","italy:  serpent tq-s  italian 1/10 gp nats musolino"
"02-03-12","australia: aaron lee joins team serpent"
"29-11-11","italy: alessio mazzeo ( 733-te) report on casino race"
"18-11-11","italy: serpent trofeo 2011 in battipaglia mazzeo reports"
"11-11-11","germany:  pupke with 733 wins nitro-west 2011 series"
"11-11-11","swiss:  marco reiser joins team serpent 1/10"
"31-10-11","italy: mazzeo tq-s novarossi cup 7 with serpent 733"
"11-10-11","uk: kerry uk national champ 2011 with serpent 733"
"11-10-11","greece: gianni sotiropoulo greek 2011 national  champ with serpent  733"
"22-09-11","serpent dominates swedish-cup series 2011"
"22-09-11","usa nationals 2011 gas onroad: salven  in usa for support-act"
"22-09-11","turkey: serpent wins turkisch championships in onroad gp"
"15-09-11","uk: beal takes gt title with 733-gt and green wins in 200mm"
"05-09-11","germany: salven -733/xceed wins german 1/10 championship 2011"
"21-08-11","ec 1/10 nitro:  3 serpent drivers into semi finals"
"20-08-11","ec 1/10 nitro: sabrina leads ladies cup"
"18-08-11","serpent 733 team edition"
"13-07-11","hungary: gergely wins 4th round nats  with 733"
"22-06-11","serpent s733 evo tq/wins 1/10 gp touring class trcca  taipei taiwan"
"10-06-11","usa: morganti with 733 is region 4 champ"
"07-06-11","joe kerry wins round 3 of 200mm brca nationals"
"26-05-11","south-korea: new team driver for 1/10 and 1/8 kim young jun"
"09-05-11","ec-b 1/10 gp:  toni gruber 2011 junior european champion with 733"
"09-05-11","efra ec-b 1/10 gp:   pupke 3rd in final with 733 3x733 in the main !"
"26-04-11","taiwan:  1st huang yi-hao and 3rd place ji-chen for serpent 733"
"23-04-11","uk: kyle branson tq's and wins uk nats 1/10"
"21-04-11","ireland: gaffney wins irish season opener with 733"
"22-03-11","greece: victory for serpent team 733 on 1st national b� driver champion for 2011"
"15-03-11","brasil:  nicolas takes win with  serpent 733"
"02-03-11","usa: serpent wins 1/10 and 1/8 at the ko grand prix"
"20-01-11","new: serpent 733-evo  introduction"
"18-01-11","singapore: serpent open 2011 great event"
"02-12-10","allesio mazzeo wins sprint rc - serpent trophy 14/11/2010 battipaglia"
"02-11-10","italy: allesio mazzeo (733 ) wins safety car model trophy  2010"
"25-10-10","usa: serpent tq's  novarossi cup homestead florida"
"20-10-10","usa: jeremy cupps (s-966) and ron atomic (s-733) both victorious in texas!!!"
"19-10-10","uk: glynn beal  defends his 1/10 super barchetta / gt title with serpent 733"
"30-09-10","netherlands: tq and victory for jacobs with serpent 733"
"16-09-10","japan nats 1/10; report / images"
"14-09-10","scott kimbrow wins 4th annual mugen nitro sedan challenge cup"
"14-09-10","serpent 733 dominate 3rd round of the south african championships"
"14-09-10","swedish cup series 2010 final round eskilstuna"
"13-09-10","japan: 1/10 gp nats tq for matsuda with 733  serpent 733 2nd and 3 in final"
"10-09-10","england: nats tq and win for mark green wiht serpent 733"
"09-09-10","victor pel�ez reports the fourth round of the national championship capa track in madrid"
"07-09-10","spain: pelaez tq-s and tops podium with 733 in 1/10 nats again"
"06-09-10","austria: andreas stiebler junior champion with serpent 733"
"30-08-10","wc 1/10 nitro 2010: interview with finalist takumi matsuda"
"29-08-10","usa: glc race in toledo onroad gas"
"24-08-10","sweden: kyle branson  is the 2010 efra ec junior champion / 733"
"23-08-10","sweden: bengt wins 1/10 and 1/8 nitro nats 733 / 966"
"22-08-10","ec 1/10:  more images added to the gallery."
"21-08-10","ec 1/10 sweden: qualifying done rain spoils the action"
"19-08-10","equador: serpent 733 on podium in pacific cup"
"17-08-10","ec 1/10 gp  sweden:  practise started monday in gothenburg"
"05-08-10","serpent wins both classes at the malaysia shepherd cup round 3 at the niko racing circuit"
"01-08-10","world championships in houston report after the quarter finals."
"01-08-10","world championships in houston report after the semi finals."
"31-07-10","world championships in houston report after the first day off finals."
"30-07-10","world championships in houston report after 4 rounds"
"26-07-10","usa: wc 1/10  gp: serpent introduces  dls system"
"26-07-10","world championships in houston usa 200mm"
"19-07-10","agustin cutini dominates the 2nd of the argentinian nats"
"08-07-10","weekends race-reports  teamserpent.com"
"07-07-10","uk:  tq for branson with 733 and win for dobney with 733"
"07-07-10","brasil: s�o paulo championship have double victory for 733 and 966"
"06-07-10","novarossi challenge @ controlfreakz in chaplin...."
"06-07-10","danish nats. round 3 at nmrc"
"30-06-10","australia tour 2010; images and results online"
"28-06-10","usa: morganti wins with 733 the byrons challenge"
"22-06-10","swedish national cup r2 �rebro 19-20:th of june"
"22-06-10","portugal; team serpent at the nats"
"22-06-10","germany_west:  hepp takes tq and victory with 733 and 966"
"17-06-10","kyle branson-733 tq and wins rd4 of british nationals"
"17-06-10","733 tq�s and win�s all 3 classes at uk on road national"
"16-06-10","romenia: nitro-nationals  turn into serpent party"
"15-06-10","australia: ric bartolozzi is back in team serpent"
"14-06-10","serpent race-weekend"
"13-06-10","race results on teamserpent.com"
"12-06-10","brasil: win for elias / 966 and martinez / 733 sport"
"09-06-10","portugal: 1/10 win for duarte faria with 733"
"09-06-10","australia:  serpent 1 and 2"
"07-06-10","sweden: ec warm-up and nordic champs gothenborg"
"07-06-10","danmark: martin hansen  joins team serpent with 733"
"03-06-10","spain:  serpents  pelaez tops podium with 733 in 1/10 nats"
"03-06-10","brasil: win with serpent 733 in sao paolo abarc cup"
"02-06-10","germany-west: hepp tq-s with 733 rained out final."
"26-05-10","uk: serpent tq-s and takes top-4 with 733"
"20-05-10","brasil nats victory for 733 and 966"
"18-05-10","germany-west: serpent wins in 1/10 and 1/8"
"18-05-10","swiss: ec-b 1/10 sabrina reports"
"17-05-10","italy messina; regionals 1/10"
"17-05-10","swiss: stammler (733) vice-champion at euro-b in lostallo"
"12-05-10","rccm cup - tq and vitory for merlin depta with s733"
"11-05-10","peo reports 1:st swedish cup race 2010 in vaxjo"
"06-05-10","serpent  733 double victory in brazil"
"05-05-10","usa: dj reports from florida frt meyers"
"04-05-10","germany-west: salven and hepp do a  1 and 2 with serpent 733"
"04-05-10","bulgaria: serpent victories in nitro"
"29-04-10","leipzigd: gruber wins with 966 and 2nd with 733"
"29-04-10","italy: 1/10 nats gubbio: mazzeo reports"
"28-04-10","korea (mugen) race:  serpent takes all podium (966) and takes podium in 1/10 (733)"
"22-04-10","germany-west: salven tq hepp podium finish ( 733)"
"21-04-10","brasil: win by victor with serpent 733 in brasilia"
"19-04-10","korea:  serpent tour  2010 report"
"19-04-10","portugal:  malveiro reports wet 733 race"
"19-04-10","serpent australia / walter rc at melbourne show"
"12-04-10","uk; kyle wins  uk 200mm nats with serpent 733 all serpent podium"
"31-03-10","serpent italy tour - sabrina reports- fiorano"
"31-03-10","usa mid-west race 1 rocha wins with 733"
"26-03-10","spain 1/10 nats pelaez wins / 733 but dq ....report"
"25-03-10","serpent italy tour 2010; 27/28 march fiorano"
"19-03-10","south-korea: serpent korea tour  in april"
"16-03-10","victor pelaez joins team serpent spain"
"08-03-10","serpent italy tour cassino"
"08-03-10","pre-wc 1/10: final results: serpent win paolo"
"06-03-10","pre-wc 1/10: qualifying results"
"05-03-10","pre-wc 1/10 usa: more news from the serpent pit."
"04-03-10","pre-wc 1/10 first qualifier"
"04-03-10","wc 1/10 gas  warm-up houston"
"03-03-10","pacific cup lima peru"
"16-02-10","winternats: strong presence and podium for serpent"
"16-02-10","winternats 2010 by dj apolaro"
"12-02-10","usa winternats florida"
"11-02-10","julius kolff to compete in south african nationals"
"11-02-10","trofeo black tarmac in mesero 2010"
"27-01-10","scott kimbrow report on the novarossi challenge in califormia"
"20-01-10","serpent asia tour 2010: great party 150 drivers"
"19-01-10","scott kimbrow  and jim adkins join team serpent"
"06-01-10","serpent asia tour almost full house"
"29-12-09","daan jacobs joins team serpent 733"
"28-12-09","serpent 733 ready for 2010 season"
"16-12-09","chris lefebvre tq�s and wins  forgass race #4 with 733"
"01-12-09","jacky mouton (france) returns to serpent 733"
"26-11-09","sao paolo 733 win young racer fabio viegas"
"13-11-09","endurance-race 50 kilometer win for serpent"
"11-11-09","hong kong promo race"
"11-11-09","dj takes serpent win with 966 and 733"
"10-11-09","test race for 2010 wc sedan usa gp houston tx"
"03-11-09","promo / test race  houston usa serpent 733"
"26-10-09","200mm portugal cup; 733 on podium"
"22-10-09","serpent dominates in florida serpent 733"
"19-10-09","endurance race serpent wins 1/8 and 1/10 class gp"
"15-10-09","cristi ionescu sets new track record with serpent 733"
"15-10-09","flavio 2009 brasil champion with serpent 733 and serpent 966"
"09-10-09","mazzeo tq-s at italy efra gp with 733"
"09-10-09","dj tq's and wins with 733 in ct ( nr challenge)"
"08-10-09","kyle branson report halifax british nationals"
"08-10-09","kyle's year 2009 with his new 733"
"02-10-09","australia: nats 1/10 and 1/8"
"29-09-09","serpent dominates polish nationals"
"29-09-09","1/10 greece national championship"
"28-09-09","germany south:  win for stammler ( 733) and lechner ( 966)"
"23-09-09","usa: dj reports on his 733 win in the florida state series"
"23-09-09","hungary: 5th round gas-nats serpent wins and podiums"
"23-09-09","usa; kissimmee race  dec 2009 fuel open nats"
"23-09-09","spain: 1/10 nationals: rain"
"22-09-09","733  youtube presentation"
"22-09-09","733: scale 1/10 dm - 2009 mcc t�rkheim - driver salven michael"
"16-09-09","germany: toni gruber junior german champion with 733"
"15-09-09","tq winner and runner-up on uk debut for the serpent 733"
"14-09-09","japan nats 1/10:  takumi matsuda wins with serpent 733"
"14-09-09","italy nats 1/10 riccione; mazzeo 3rd with 733"
"10-09-09","peo report swedish nats �rebro 5-6/2009"
"09-09-09","serpent 733: editable set-up sheet"
"04-09-09","ireland 733 double victory"
"04-09-09","usa nats toledo:  qualifying started"
"28-08-09","serpentamerica team prepares for the nationals gas onroad"
"28-08-09","serpent 733: set-up sheets to download blank and default"
"12-08-09","ec 1/10 italy:  sabrina reports"
"10-08-09","china:  733 assembly report"
"31-07-09","sabrina report ec 1/10 gubbio"
"25-07-09","ec 1/10:  serpent driver buffet"
"24-07-09","ec 1/10: friday report 1"
"23-07-09","ec 1/10: thursday report serpent pit"
"22-07-09","ec 1/10: wednesday serpent pit report 2"
"21-07-09","ec 1/10: tuesday serpent pit-report"
"18-07-09","serpent 733 is shipping"
"18-07-09","team serpent prepared for the ec"
"12-07-09","serpent 733 full info online now"
"01-07-09","italy: 1/10 nats nitro"
"15-06-09","dj apolaro reports bumod grand prix 2009"
