"everest","8.848","nepal/tibet","asia"
"k-2","8.611","pakistan","asia"
"kangchenjunga","8.586","nepal/india","asia"
"lhotse","8.511","nepal","asia"
"makalu","8.463","nepal/tibet","asia"
"cho oyu","8.201","nepal/tibet","asia"
"dhaulagiri","8.167","nepal","asia"
"manaslu","8.163","nepal","asia"
"nanga parbat","8.125","pakistan","asia"
"annapurna","8.091","nepal","asia"
"gasherbrum i","8.068","pakistan","asia"
"broad peak","8.047","pakistan","asia"
"gasherbrum ii","8.035","pakistan","asia"
"xixabangma feng (gosainthan)","8.012","china/nepal","asia"
"distaghil sar","7.885","pakistan","asia"
"kunyang chhist","7.852","pakistan","asia"
"masherbrum","7.820","pakistan","asia"
"nanda devi","7.816","india","asia"
"aling kangri","7.815","tibet","asia"
"rakaposhi","7.788","pakistan","asia"
"batura","7.785","pakistan","asia"
"namjagbarwa feng","7.756","tibet","asia"
"kamet","7.756","india","asia"
"kamet","7.756","tibet/india","asia"
"muztagh ata","7.546","china","asia"
"saltoro kangri","7.742","pakistan","asia"
"muztag","7.723","china","asia"
"trivor","7.720","pakistan","asia"
"konkur","7.719","china","asia"
"tirich mir","7.690","pakistan","asia"
"chogolisa","7.654","pakistan","asia"
"shispar","7.619","pakistan","asia"
"gongga (minya konka)","7.555","china","asia"
"kula kangri","7.553","bhutan","asia"
"muztaghata","7.546","china","asia"
"qullai ismaili somoni/ qullai kommunizma","7.495","tajikistan","asia"
"nowshak","7.485","afghanistan","asia"
"jengish chokusu/ pik pobeda","7.439","china/kyrgyzstan","asia"
"haramosh","7.406","pakistan","asia"
"ultar","7.398","pakistan","asia"
"chomo lhari","7.313","bhutan/tibet","asia"
"malubiting","7.291","pakistan","asia"
"ogre (baintha brak)","7.285","pakistan","asia"
"minipin","7.273","pakistan","asia"
"langtang lirung","7.245","nepal","asia"
"ganesh himal","7.150","nepal","asia"
"kampire dior","7.142","pakistan","asia"
"nun kun","7.135","india","asia"
"pik lenina","7.134","tajikistan","asia"
"baruntse","7.129","tibet","asia"
"pik korzhenevskoj","7.105","tajikistan","asia"
"jugal himal","7.083","nepal","asia"
"urgend ii","7.060","afghanistan","asia"
"kinjiroba","7.045","nepal","asia"
"khan tengri","6.995","kyrgyzstan","asia"
"langtang himal (kyungka ri)","6.979","nepal","asia"
"aconcagua","6.962","argentina","south america"
"yamit","6.940","afghanistan","asia"
"ojos del salado","6.880","chile","south america"
"koyo zom","6.872","pakistan","asia"
"bonete","6.872","argentina","south america"
"ama dablam","6.856","nepal","asia"
"tirgaran","6.843","afghanistan","asia"
"mercedario","6.770","argentina/chile","south america"
"huascaran","6.768","peru","south america"
"tirgaran","6.755","afghanistan","asia"
"llullaillaco","6.723","argentina/chile","south america"
"el libertador","6.720","argentina","south america"
"mt kailash","6.714","tibet","asia"
"ghul laast","6.665","pakistan","asia"
"jaonli","6.632","india","asia"
"koheandaras","6.628","afghanistan","asia"
"yerupaja","6.617","peru","south america"
"gangotri - i","6.600","india","asia"
"bremeh","6.575","india","asia"
"tupungato","6.550","argentina/chile","south america"
"sajama","6.542","bolivia","south america"
"lasht","6.504","afghanistan","asia"
"illimani","6.439","bolivia","south america"
"east ridge of hiunchuli","6.441","nepal","asia"
"ancohuma","6.427","bolivia","south america"
"coropuna","6.400","peru","south america"
"huantsan","6.395","peru","south america"
"huandoy","6.395","peru","south america"
"el toro","6.380","argentina/chile","south america"
"ausangate","6.372","peru","south america"
"illampu","6.362","bolivia","south america"
"ampato","6.360","peru","south america"
"cerro palermo","6.350","argentina","south america"
"las tortolas","6.332","argentina/chile","south america"
"parinacota","6.330","bolivia","south america"
"chimborazo","6.310","ecuador","south america"
"chinchey (rurichichay)","6.309","peru","south america"
"juncal","6.300","chile/argentina","south america"
"marmolejo","6.300","chile/argentina","south america"
"general belgrano","6.300","argentina","south america"
"anyemaqen","6.282","china","asia"
"salcantay","6.271","peru","south america"
"olivares","6.252","argentina/chile","south america"
"sigunaiang","6.250","china","asia"
"pomerape","6.240","bolivia","south america"
"chani","6.200","argentina","south america"
"aucanquilcha","6.200","bolivia/chile","south america"
"huayna potosi","6.194","bolivia","south america"
"mckinley","6.194","alaska","north america"
"callaqui","6.164","argentina/chile","south america"
"ranrapallca","6.162","peru","south america"
"stok kangri","6.137","india","asia"
"queva","6.130","argentina","south america"
"chearoco","6.127","bolivia","south america"
"quemado","6.120","argentina","south america"
"chaupi orco","6.100","peru","south america"
"chachacumani","6.094","bolivia","south america"
"solimani","6.093","peru","south america"
"copiapo","6.080","argentina/chile","south america"
"pumasillo","6.070","peru","south america"
"guallatiri","6.060","bolivia","south america"
"chachani","6.057","peru","south america"
"acotango","6.050","bolivia","south america"
"cienaga","6.030","argentina","south america"
"nevado acay","6.000","argentina","south america"
"tacora","5.988","bolivia","south america"
"sairecabur","5.971","chile","south america"
"kilimanjaro","5.895","tanzania","africa"
"logan","5.951","canada","north america"
"alpamayo","5.947","peru","south america"
"licancabur","5.921","bolivia/chile","south america"
"ticlla","5.897","peru","south america"
"cotopaxi","5.896","ecuador","south america"
"hkakabo razi","5.881","burma","asia"
"mururata","5.868","bolivia","south america"
"volcan san jose","5.850","chile/argentina","south america"
"cayambe","5.840","ecuador","south america"
"el misti","5.822","peru","south america"
"champara","5.795","peru","south america"
"simon bolivar","5.776","colombia","south america"
"cristobal colon","5.776","colombia","south america"
"citlaltepetl (el pico de orizaba)","5.754","mexico","north america"
"antisana","5.753","ecuador","south america"
"huaycay huilque","5.750","peru","south america"
"gigante grande","5.748","bolivia","south america"
"urusa","5.735","peru","south america"
"tunshu","5.730","peru","south america"
"cashan","5.723","peru","south america"
"cayesh","5.721","peru","south america"
"santa rosa","5.706","peru","south america"
"murrorajo","5.688","peru","south america"
"machu sochi conchi","5.679","bolivia","south america"
"lascar","5.675","chile","south america"
"damavand","5.671","iran","asia"
"raujunte","5.650","peru","south america"
"condoriri","5.648","bolivia","south america"
"elbrus","5.633","russia","europe"
"soral oeste","5.640","bolivia","south america"
"katantica","5.592","bolivia","south america"
"jallacata","5.557","peru","south america"
"surihuiri","5.556","peru","south america"
"yankho huyo","5.512","bolivia","south america"
"ritacuba blanco","5.493","colombia","south america"
"mt st elias","5.490","canada","north america"
"castillo","5.485","argentina/chile","south america"
"yana cuchilla","5.472","peru","south america"
"el altar (obispo)","5.465","ecuador","south america"
"chinchina","5.463","peru","south america"
"popocatepetl","5.452","mexico","north america"
"cerro el plomo","5.450","chile","south america"
"cerro burro","5.450","peru","south america"
"bogda shan","5.447","china","asia"
"cunurana","5.420","peru","south america"
"pico mayor","5.365","colombia","south america"
"aricoma","5.350","peru","south america"
"nevado el ruiz","5.335","colombia","south america"
"iliniza sur","5.305","ecuador","south america"
"foraker","5.303","alaska","north america"
"cerro quenamari","5.294","peru","south america"
"volcan maipo","5.290","argentina/chile","south america"
"ixaccihuatl","5.286","mexico","north america"
"san julian","5.275","peru","south america"
"sangay","5.230","ecuador","south america"
"lucania","5.228","canada","north america"
"el altar","5.222","chile","south america"
"tolima","5.215","colombia","south america"
"rustaveli","5.201","georgia","europe"
"batian peak (mt kenya)","5.201","kenya","africa"
"san francisco","5.200","chile","south america"
"morado","5.200","chile","south america"
"kirinyaga","5.200","kenya","africa"
"dykh-tau","5.198","georgia","europe"
"nelion","5.190","kenya","africa"
"sosneado","5.189","argentina/chile","south america"
"mt ararat (buyukagri dagi)","5.165","turkey","asia"
"shah fuladi","5.143","afganistan","asia"
"vinson massif","5.140","antarctica","the poles"
"margherita peak","5.119","zaire/uganda","africa"
"iliniza norte","5.116","ecuador","south america"
"stanley","5.110","uganda/zaire","africa"
"cerro negro","5.100","chile","south america"
"cerro guane guane","5.097","chile","south america"
"tungurahua","5.087","ecuador","south america"
"steele","5.074","canada","north america"
"kazbek","5.047","georgia","europe"
"mt blackburn","5.037","alaska","north america"
"puncak jaya","5.030","indonesia/ new guinea","oceania"
"pico bolivar","5.007","venezuela","south america"
"mt bona","5.006","alaska","north america"
"la paloma","5.000","chile","south america"
"mt sanford","4.941","alaska","north america"
"mt speke","4.890","zaire/uganda","africa"
"naga pulu","4.862","indonesia","oceania"
"mt baker","4.844","zaire/uganda","africa"
"mt wood","4.843","canada","north america"
"alum kuh","4.840","iran","asia"
"sabalon kuh","4.821","iran","asia"
"monte bianco","4.807","france/italy","europe"
"mt emin","4.792","zaire/uganda","africa"
"mt vancouver","4.786","canada","north america"
"pico espejoe","4.765","venezuela","south america"
"volcan de purace","4.756","colombia","south america"
"trikora","4.751","indonesia/ new guinea","asia"
"klyuchevskaya","4.750","russia","europe"
"shakhak","4.750","iran","asia"
"mt gessi","4.717","zaire/uganda","africa"
"khersan","4.710","iran","asia"
"ushba","4.710","georgia","europe"
"mandala","4.701","indonesia/ new guinea","asia"
"mt fairweather","4.671","canada/alaska","north america"
"teyotl","4.660","mexico","north america"
"ras dashen","4.620","ethiopia","africa"
"takht-e-solaiman","4.659","iran","asia"
"monte rosa","4.634","italy/switzerland","europe"
"mt savoia","4.627","zaire/uganda","africa"
"siah sang","4.600","iran","asia"
"marjinkesh","4.580","iran","asia"
"meru","4.565","tanzania","africa"
"nevado de toluca","4.564","mexico","north america"
"mt hubbard","4.558","canada","north america"
"zardeh","4.548","iran","asia"
"dom","4.545","switzerland/italy","europe"
"haftkhan","4.537","iran","asia"
"kirkpatrick","4.528","antarctica","the poles"
"mt bear","4.527","canada","north america"
"chaloun","4.516","iran","asia"
"mt wilhelm","4.510","papua new guinea","oceania"
"karisimbi","4.507","rwanda/zaire","africa"
"mt belukha","4.506","russia","asia"
"mt walsh","4.506","canada","north america"
"weisshorn","4.505","switzerland","europe"
"siah kamaan","4.504","iran","asia"
"rostamnisht","4.500","iran","asia"
"siahgug","4.500","iran","asia"
"cervino (matterhorn)","4.478","italy/switzerland","europe"
"waynobar","4.472","ethiopia","africa"
"shanehkouh","4.465","iran","asia"
"dena","4.450","iran","asia"
"la malinche","4.461","mexico","north america"
"tliltepetl","4.453","mexico","north america"
"tzapotepetl","4.450","mexico","north america"
"hunter","4.445","alaska","north america"
"mikeno","4.437","rwanda/zaire","africa"
"buahit","4.437","ethiopia","africa"
"suphan dagi","4.434","turkey","europe"
"mt alverstone","4.421","canada","north america"
"hazar","4.420","iran","asia"
"mt whitney","4.421","california","north america"
"abba yared","4.416","ethiopia","africa"
"kalahoo","4.412","iran","asia"
"mt elbert","4.399","colorado","north america"
"mt massive","4.396","colorado","north america"
"mt harvard","4.395","colorado","north america"
"mt rainier","4.393","washington","north america"
"portal peaks","4.391","zaire/uganda","africa"
"williamson","4.384","california","north america"
"menareh","4.378","iran","asia"
"kholeno","4.375","iran","asia"
"azadkuh","4.375","iran","asia"
"paloun gardan","4.375","iran","asia"
"mt blanca","4.373","colorado","north america"
"la plata","4.370","colorado","north america"
"giluwe","4.368","papua new guinea","oceania"
"uncompahgre","4.362","colorado","north america"
"crestone peak","4.357","colorado","north america"
"dente blanche","4.357","switzerland/italy","europe"
"mt lincoln","4.355","colorado","north america"
"mischigu","4.352","ethiopia","africa"
"grays peak","4.351","colorado","north america"
"lalezaar","4.351","iran","asia"
"gardounkouh","4.350","iran","asia"
"torreys peak","4.350","colorado","north america"
"mt antero","4.350","colorado","north america"
"nazer","4.350","iran","asia"
"mt evans","4.349","colorado","north america"
"castle peak","4.349","colorado","north america"
"longs peak","4.345","colorado","north america"
"mt quandary","4.345","colorado","north america"
"mt wilson","4.343","colorado","north america"
"white mountain","4.342","california","north america"
"north palisade","4.341","california","north america"
"mt shavano","4.338","colorado","north america"
"mt princeton","4.328","colorado","north america"
"polemonium peak","4.328","california","north america"
"starlight","4.328","california","north america"
"nadelhorn","4.327","switzerland/italy","europe"
"crestone needle","4.326","colorado","north america"
"borj","4.325","iran","asia"
"elgon","4.321","kenya/uganda","africa"
"mt bross","4.320","colorado","north america"
"dokhaharaan","4.318","iran","asia"
"el diente","4.317","colorado","north america"
"mt shasta","4.317","california","north america"
"mt tabequache","4.316","colorado","north america"
"mt sill","4.314","california","north america"
"sneffels","4.314","colorado","north america"
"grand combin","4.314","switzerland/italy","europe"
"mt democrat","4.311","colorado","north america"
"pikes peak","4.302","colorado","north america"
"tres hermans","4.300","chile","south america"
"cerro arenas","4.300","chile","south america"
"kit carson peak","4.299","colorado","north america"
"snowmass mountain","4.296","colorado","north america"
"windom","4.295","colorado","north america"
"mt eolus","4.294","colorado","north america"
"lenspitze","4.294","switzerland/italy","europe"
"mt russell","4.293","california","north america"
"mt humbolt","4.291","colorado","north america"
"mt sunlight","4.286","colorado","north america"
"split mountain","4.286","california","north america"
"handies","4.283","colorado","north america"
"culebra peak","4.282","colorado","north america"
"mt lindsey","4.281","colorado","north america"
"mt sherman","4.279","colorado","north america"
"mt little bear","4.279","colorado","north america"
"redcloud","4.279","colorado","north america"
"mt pyramid","4.275","colorado","north america"
"finsteraarhorn","4.274","switzerland","europe"
"wetterhorn","4.273","colorado","north america"
"wilson peak","4.273","colorado","north america"
"north maroon bell","4.272","colorado","north america"
"mt san luis","4.272","colorado","north america"
"holy cross","4.269","colorado","north america"
"sunshine","4.268","colorado","north america"
"harzehkouh","4.265","iran","asia"
"mt humphreys","4.264","california","north america"
"mt stewart","4.263","colorado","north america"
"lashgarak","4.256","iran","asia"
"kherschal","4.253","iran","asia"
"mitionchal","4.253","iran","asia"
"ghareh dagh","4.250","iran","asia"
