"Trade name","Active ingredients","Pharmaceutical company"
"Lemocin Flexibels","Benzoxonium Chloride; Lidocaine Hydrochloride","Novartis"
"Lemocin Griotte","Cetrimonium Bromide; Lidocaine; Tyrothricin","Novartis; Gebro Pharma"
"Lemocin Lemon","Cetrimonium Bromide; Lidocaine; Tyrothricin","Novartis"
"Lemocin Sour Cherry","Cetrimonium Bromide; Lidocaine; Tyrothricin","Novartis"
"Lemon Time","Acetaminophen; Phenylephrine Hydrochloride; Pyrilamine Maleate; Vitamin C","Novartis"
"Lem-Plus Powder","Acetaminophen; Vitamin C (Ascorbic Acid)","Novartis"
"Lensan A","Hydrogen Peroxide","Novartis"
"Lensan B","Catalase","Novartis"
"Lentare","Formestane","Novartis"
"Lentaron","Formestane; Sodium Chloride","Novartis"
