"Country","University","Language"
"Austria","Karl Franzens    Universitat Graz","German"
"Canada","Universit&eacute; de    Montr&eacute;al","French"
"Canada","Universit&eacute; Laval","French"
"France","Universit&eacute;    Catholique de l'Ouest","French"
"France","Universit&eacute; de Sciences et    Technologies de Lille","French"
"France","Universit&eacute; de    Strasbourg","French"
"Germany","Ruhr University of    Bochum","German"
"Germany","University of Bonn","German"
"Mexico","Instituto Tecnol&oacute;gico y de Estudios Superiores de    Monterrey (ITESM)","Spanish"
"Mexico","Universidad de las Am&eacute;ricas-Puebla","Spanish"
"Portugal","University of Coimbra","Portuguese"
"Spain","Universidad Autonoma de Madrid","Spanish"
"Spain","Universidad Complutense de Madrid","Spanish"
"Switzerland","University of Basel","German"
