"Europe","Language","Distinction","Merit","Pass","Fail"
"Austria","German","6","?","?","?"
"Belgium","English","?","?","?","?"
"Channel Islands","English","?","?","?","?"
"Croatia","English","?","?","?","?"
"Czech Republic","English","?","?","?","?"
"Denmark","English","?","?","?","?"
"Finland","English","1","2","3","4"
"France","English","?","?","?","?"
"Germany","English","?","?","?","?"
"Germany","German","?","?","?","?"
"Hungary","English","?","?","?","?"
"Ireland","English","?","?","?","?"
"Luxemborg","English","?","?","?","?"
"Macedonia","English","?","?","?","?"
"Norway","English","?","?","?","?"
"Poland","English","?","?","?","?"
"Romania","English","?","?","?","?"
"Slovenia","English","?","?","?","?"
"Sweden","English","?","?","?","?"
"Switzerland","English","?","?","?","?"
"Switzerland","German","?","?","?","?"
"The Netherlands","English","?","?","?","?"
"United Kingdom","English","?","?","?","?"
"Yugoslavia","English","?","?","?","?"
"Total Europe","?","7","2","3","4"
