"NULL","01&nbsp;-&nbsp;egg dye red"
"NULL","02&nbsp;-&nbsp;pita bread 10 count"
"NULL","03&nbsp;-&nbsp;liver pate (podravka) 100g"
"NULL","04&nbsp;-&nbsp;gyro meat (sliced) 12 oz (340g)"
"NULL","05&nbsp;-&nbsp;cucumber sauce (gyro sauce) 1lb"
"NULL","06&nbsp;-&nbsp;knorr pot roast sauerbraten mix 2oz"
"NULL","07&nbsp;-&nbsp;schweppes original bitter lemon 1.5l"
"NULL","08&nbsp;-&nbsp;california grape leaves -orlando 2lb jar dr.wt. 16oz"
"NULL","09&nbsp;-&nbsp;cavenders all purpose greek seasoning 8oz"
"NULL","10&nbsp;-&nbsp;smoked riga sprats in oil 160g"
"NULL","11&nbsp;-&nbsp;pork pate (gavrilovic) 3.53oz(100g)"
"NULL","12&nbsp;-&nbsp;macaroni pastitsio no. 2 (misko) 500g"
"NULL","13&nbsp;-&nbsp;animal kingdom milk chocolate with sticker  15g"
"NULL","14&nbsp;-&nbsp;smoki peanut flavored snacks 50g"
"NULL","15&nbsp;-&nbsp;nutella - hazelnut spread 18g (0.6oz)"
"NULL","16&nbsp;-&nbsp;gyro meat (sliced) 4 lbs (1.8kg)"
"NULL","17&nbsp;-&nbsp;sugar cubes heart shaped 800g"
"NULL","18&nbsp;-&nbsp;greek ground coffee (loumidis) 16oz (454g)"
"NULL","19&nbsp;-&nbsp;kinder chocolate 100g"
"NULL","20&nbsp;-&nbsp;vanillina pura (rebecchi) 5g"
"NULL","21&nbsp;-&nbsp;bananko - chocolate covered banana flavored dessert  20g"
"NULL","22&nbsp;-&nbsp;borsec natural sparkling mineral water 1.5l"
"NULL","23&nbsp;-&nbsp;green cracked olives (krinos) 1lb dr.wt. 10oz"
"NULL","24&nbsp;-&nbsp;vegeta gourmet seasoning no msg 17.5oz (500g) bag"
"NULL","25&nbsp;-&nbsp;chicken noodle soup (podravka) 2.2oz"
"NULL","26&nbsp;-&nbsp;kinder bueno 43g"
"NULL","27&nbsp;-&nbsp;armenian string cheese (sunni) approx. 0.8lb"
"NULL","28&nbsp;-&nbsp;tea time pate 100g(3.5oz)"
"NULL","29&nbsp;-&nbsp;cereal flakes with chocolate- cokolino 7oz (200g)"
"NULL","30&nbsp;-&nbsp;nescafe instant coffee  200g"
