"inverted common name","scientific name","where listed","lead region","listing status"
"abalone black","haliotis cracherodii","entire","nmfs","e"
"abalone white","haliotis sorenseni","north america (west coast from point conception ca u.s.a. to punta abreojos baja california mexico)","nmfs","e"
"acacia emory","acacia emoryana","NULL","2","not listed"
"acornshell","epioblasma haysiana","entire","4","not listed"
"acornshell southern","epioblasma othcaloogensis","entire","4","e"
"addax","addax nasomaculatus","entire","foreign","e"
"adder's-mouth","malaxis brachypoda","NULL","1","not listed"
"adder's-tongue california","ophioglossum lusitanicum","NULL","1","not listed"
"adder's-tongue [unnamed]","ophioglossum concinnum","NULL","1","not listed"
"adjutant greater","leptoptilos dubius","entire","9","e"
"admiral nevada","limenitus weidemeyerii nevadae","entire","1","not listed"
"adobe-lily greenhorn","fritillaria striata","NULL","1","not listed"
"adobe-lily [unnamed]","fritillaria pluriflora","NULL","1","not listed"
"adolphia california","adolphia californica","NULL","8","not listed"
"a`e","zanthoxylum dipetalum var. tomentosum","NULL","1","e"
"a`e","zanthoxylum hawaiiense","NULL","1","e"
"a`e","zanthoxylum oahuense","NULL","1","pe"
"a`e","zanthoxylum semiarticulatum","NULL","1","not listed"
"a`e","zanthoxylum skottsbergii","NULL","1","not listed"
"agastache small-leaved","agastache parvifolia","NULL","1","not listed"
"agave arizona","agave arizonica","NULL","2","do"
"agave chisos","agave glomeruliflora","NULL","2","not listed"
"agave clark mountains","agave utahensis nevadensis","NULL","1","not listed"
"agave ivory-spined","agave utahensis eborispina","NULL","1","not listed"
"agave santa cruz striped","agave parviflora parviflora","NULL","2","not listed"
"agave shaw's","agave shawii","NULL","1","not listed"
"agave sp. nov. ined. (tonto basin)","agave sp.","NULL","2","not listed"
"`ahakea","bobea sandwicensis","NULL","1","not listed"
"`ahakea","bobea timonioides","NULL","1","not listed"
"`ahinahina","argyroxiphium sandwicense ssp. macrocephalum","NULL","1","t"
"`ahinahina","argyroxiphium sandwicense ssp. sandwicense","NULL","1","e"
"`aiakeakua popolo","solanum sandwicense","NULL","1","e"
"`aiea","nothocestrum breviflorum","NULL","1","e"
"`aiea","nothocestrum latifolium","NULL","1","c"
"`aiea","nothocestrum longifolium rufipilosum","NULL","1","not listed"
"`aiea","nothocestrum peltatum","NULL","1","e"
"akekee","loxops caeruleirostris","entire","1","e"
"akepa hawaii (honeycreeper)","loxops coccineus coccineus","entire","1","e"
"akepa maui (honeycreeper)","loxops coccineus ochraceus","entire","1","e"
"akialoa kauai (honeycreeper)","hemignathus procerus","entire","1","e"
"akiapola`au (honeycreeper)","hemignathus munroi","entire","1","e"
"akikiki","oreomystis bairdi","entire","1","e"
"`akoko","chamaesyce arnottiana","NULL","1","not listed"
"`akoko","chamaesyce atrococca","NULL","1","not listed"
"`akoko","chamaesyce celastroides tomentella","NULL","1","not listed"
"`akoko","chamaesyce celastroides var. kaenana","NULL","1","e"
"`akoko","chamaesyce deppeana","NULL","1","e"
"`akoko","chamaesyce eleanoriae","NULL","1","e"
"`akoko","chamaesyce herbstii","NULL","1","e"
"`akoko","chamaesyce kuwaleana","NULL","1","e"
"`akoko","chamaesyce olowaluana","NULL","1","not listed"
"`akoko","chamaesyce remyi hanaleiensis","NULL","1","not listed"
"`akoko","chamaesyce remyi var. kauaiensis","NULL","1","e"
"`akoko","chamaesyce remyi var. remyi","NULL","1","e"
"`akoko","chamaesyce rockii","NULL","1","e"
"`akoko","chamaesyce skottsbergii vaccinioides","NULL","1","not listed"
"`akoko","chamaesyce sparsiflora","NULL","1","not listed"
