"code","airport name","city","country"
"aal","aalborg airport","aalborg","denmark"
"aar","aarhus airport","aarhus","denmark"
"abj","felix houphouet-boigny airport","abidjan","ivory coast"
"abv","nnamdi azikiwe airport","abuja","nigeria"
"abz","dyce airport","aberdeen","united kingdom"
"aca","juan n alvarez international airport","acapulco","mexico"
"acc","kotoka international airport","accra","ghana"
"add","bole international airport","addis ababa","ethiopia"
"adj","marka international airport","amman","jordan"
"adl","adelaide international airport","adelaide","australia"
"aga","al-massira airport","agadir","morocco"
"agp","malaga international airport","malaga","spain"
"agu","jesus teran international airport","aguascalientes","mexico"
"akj","asahikawa airport","asahikawa","japan"
"akl","auckland international airport","auckland","new zealand"
"ala","almaty airport","almaty","kazahkstan"
"alc","alicante","alicante","spain"
"alp","aleppo international airport","aleppo","syria"
"amd","ahmedabad international airport","ahmedabad","india"
"amm","queen alia international airport","amman","jordan"
"ams","schipol airport","amsterdam","netherlands"
"anf","cerro moreno international airport","antofagasta","chile"
"anu","vc bird international airport","saint johns","antigua and barbuda"
"aoi","falconara airport","ancona","italy"
"aoj","aomori airport","aomori","japan"
"apw","faleolo international airport","apia","western samoa"
"arn","arlanda international airport","stockholm","sweden"
"asd","andros town international airport","andros island","bahamas"
"ath","athens international airport","athens","greece"
"aua","queen beatrix international airport","aruba island","aruba"
"auh","abu dhabi international airport","abu dhabi","united arab emirates"
"axa","wallblake airport","anguilla island","anguilla"
"axt","akita airport","akita","japan"
"bah","bahrain international airport","bahrain","bahrain"
"bak","baku airport","baku","azerbaijan"
"baq","ernesto cortissoz airport","barranquilla","colombia"
"bcn","barcelona airport","barcelona","spain"
"bda","bermuda international airport","bermuda island","bermuda"
"bds","brindisi p casale airport","brindisi","italy"
"beg","belgrade airport","belgrade","serbia"
"bes","guipavas airport","brest","france"
"bey","beirut international airport","beirut","lebanon"
"bfs","belfast international airport","belfast","united kingdom"
"bgi","grantley adams international airport","bridgetown","barbados"
"bgo","flesland airport","bergen","norway"
"bhd","belfast city airport","belfast","united kingdom"
"bhx","birmingham international airport","birmingham","united kingdom"
"bim","bimini island international airport","bimini","bahamas"
"bio","bilbao airport","bilbao","spain"
"biq","bayonne-anglet airport","biarritz","france"
"bjl","banjul international airport","banjul","gambia"
"bjx","de guanajuato international airport","leon","mexico"
"bkk","don muang international airport","bangkok","thailand"
"bko","senou international airport","bamako","mali"
"bll","billund airport","billund","denmark"
"blq","borgo panigale airport","bologna","italy"
"blr","hindustan international airport","bangalore","india"
"bne","brisbane international airport","brisbane","australia"
"bod","merignac airport","bordeaux","france"
"bog","eldorado international airport","bogota","colombia"
"bom","sahar international airport","mumbai","india"
"bon","flamingo airport","bonaire island","netherlands antilles"
"bqn","rafael hernandez airport","aguadilla","puerto rico"
"bre","bremen airport","bremen","germany"
"bri","palese macchie airport","bari","italy"
"brs","bristol airport","bristol","united kingdom"
"bru","brussels international airport","brussels","belgium"
"bsb","kubitschek international airport","brasilia","brazil"
"bsl","basel international airport","basel","switzerland"
"bts","m r stefanik airport","bratislava","slovakia"
"bud","ferihegy airport","budapest","hungary"
"bze","phillip s w goldson airport","belize city","belize"
"bzv","maya-maya airport","brazzaville","congo"
"cai","cairo international airport","cairo","egypt"
"can","baiyun airport","guangzhou","china"
"cbr","canberra airport","canberra","australia"
"ccp","carriel sur international airport","concepcion","chile"
"ccs","simon bolivar international airport","caracas","venezuela"
"cdg","charles de gaulle international airport","paris","france"
"cfe","aulnat airport","clermont-ferrand","france"
"cgb","marechal rondon international airport","cuiaba","brazil"
"cgh","congonhas international airport","sao paulo","brazil"
"cgk","soekarno-hatta international airport","jakarta","indonesia"
"cgn","cologne-bonn airport","cologne-bonn","germany"
"cgr","campo grande international airport","campo grande","brazil"
"chc","christchurch international airport","christchurch","new zealand"
"cia","ciampino airport","rome","italy"
"ciw","canouan island airport","canouan island","saint vincent"
"cjs","gonzalez international airport","ciudad juarez","mexico"
"ckg","jiangbei airport","chongqing","china"
"cky","gbessia","conakry","guinea"
"clo","aragon international airport","cali","colombia"
"cme","ciudad del carmen airport","ciudad del carmen","mexico"
"cmn","mohammed v international airport","casablanca","morocco"
"cns","cairns international airport","cairns","australia"
"coo","cadjehoun airport","cotonou","benin"
"cph","kastrup international airport","copenhagen","denmark"
"cpt","capetown international airport","capetown","south africa"
"crl","charleroi airport","brussels","belgium"
"cta","fontanarossa airport","catania","italy"
"ctg","rafael nunez airport","cartagena","colombia"
"ctm","chetumal international airport","chetumal","mexico"
"cts","new chitose airport","sapporo","japan"
"ctu","shuangliu airport","chengdu","china"
"cul","culiacan international airport","culiacan","mexico"
"cun","cancun international airport","cancun","mexico"
"cur","hato international airport","curacao island","netherlands antilles"
"cuu","general fierro villalobos airport","chihuahua","mexico"
"cwb","afonso pena international airport","curitiba","brazil"
"cwl","cardiff airport","cardiff","united kingdom"
"czm","cozumel international airport","cozumel","mexico"
"dac","zia international airport","dhaka","bangladesh"
"dam","damascus international airport","damascus","syria"
"dar","dar-es-salaam international airport","dar-es-salaam","tanzania"
"del","indira gandhi international airport","delhi","india"
"dgo","durango airport","durango","mexico"
"dkr","dakar &#8211; yoff international airport","dakar","senegal"
"dla","douala airport","douala","cameroon"
"dme","domodedovo airport","moscow","russia"
"dmm","king fahad international airport","dammam","saudi arabia"
"dna","okinawa kadena airport","okinawa island","japan"
"doh","doha international airport","doha","qatar"
"dom","melville hall airport","roseau","dominica"
"dps","bali international airport","den pasar","indonesia"
"drw","darwin international airport","darwin","australia"
"dub","dublin international airport","dublin","ireland"
"dud","dunedin airport","dunedin","new zealand"
"dur","durban international airport","durban","south africa"
"dus","duesseldorf international airport","duesseldorf","germany"
"dxb","dubai international airport","dubai","united arab emirates"
"ebb","entebbe international airport","entebbe","uganda"
"edi","edinburgh airport","edinburgh","united kingdom"
"eis","beef island international airport","beef island","uk virgin islands"
"elh","north eleuthera airport","eleuthera island","bahamas"
"els","east london airport","east london","south africa"
"eze","ministro pistarini international airport","buenos aires","argentina"
"fco","fiumicino airport","rome","italy"
"fks","fukushima airport","fukushima","japan"
"fln","hercillio luz international airport","florianopolis","brazil"
"flr","peretola airport","florence","italy"
"foc","changle airport","fuzhou","china"
"for","pinto martins international airport","fortaleza","brazil"
"fpo","freeport international airport","freeport","bahamas"
"fra","frankfurt international airport","frankfurt","germany"
"frs","tikal international airport","flores","guatemala"
"fuk","fukuoka airport","fukuoka","japan"
"gci","guernsey airport","guernsey","united kingdom"
"gcm","owen roberts international airport","grand cayman","cayman islands"
"gdl","don miguel hidalgo international airport","guadalajara","mexico"
"geo","cheddi jagan international airport","georgetown","guyana"
"ggt","exuma international airport","great exuma island","bahamas"
"gig","rio de janeiro international airport","rio de janeiro","brazil"
"gla","glasgow international airport","glasgow","united kingdom"
"gmp","gimpo airport","seoul","south korea"
"gnb","st geoirs airport","grenoble","france"
"gnd","point salines international airport","saint georges","grenada"
"goa","sestri airport","genoa","italy"
"got","landvetter airport","goteborg","sweden"
"grj","george airport","george","south africa"
"gru","guarulhos international airport","sao paulo","brazil"
"gua","la aurora international airport","guatemala city","guatemala"
"gub","guerrero negro airport","guerrero negro","mexico"
"gum","guam international airport","guam","guam"
"gva","cointrin international airport","geneva","switzerland"
"gye","simon bolivar international airport","guayaquil","ecuador"
"haj","hannover airport","hannover","germany"
"ham","hamburg airport","hamburg","germany"
"han","noibai international airport","hanoi","vietnam"
