"country","center","transplants performed in 2002 and reported to ishlt","transplants performed 1/2003 to 6/2004 and reported to ishlt"
"argentina","fundacion favaloro","x","x"
"australiaa","st vincent","x","x"
"","prince charles hospital","x","x"
"","royal children’s hospital","x","x"
"","alfred hospital","x","x"
"","royal perth hospital","x","x"
"austriab","universitätsklinik für chirurgie wien","x","x"
"","universitätsklinik für chirurgie innsbruck","x","x"
"","universitätsklinik für chirurgie graz","x","x"
"belgiumb","hôpital erasme bruxelles","x","x"
"","universitair ziekenhuis gasthuisberg leuven","x","x"
"","universitair ziekenhuis antwerpen edegem","x","x"
"","onze lieve vrouw ziekenhuis aalst","x","x"
"","universitair ziekenhuis gent","x","x"
"","université catholique de louvain cliniques universitaires st luc bruxelles","x","x"
"","centre hospitalier universitaire liège","x","x"
"canada","royal victoria hospital","x","x"
"","montreal heart institute","x","x"
"","toronto general hospital","x","x"
"","hospital notre-dame","x","x"
"","quebec heart institute-laval hospital","x","x"
"","ottawa heart institute","x",""
"","university of alberta hospitals/walter c. mackenzie health sciences","x","x"
"","st paul’s hospital","x","x"
"","vancouver general hospital","x","x"
"","hospital for sick children","x","x"
"chile","hospital dipreca","x",""
"","clinica las condes","x","x"
"denmarkc","skejby university hospital","x","x"
"","rigshospitalet national university hospital","x","x"
"finlandc","helsinki university central hospital","x","x"
"","children’s hospital university of helsinki","x","x"
"france","hopital cardiolgique (lille)","","x"
"","hopices civils hopital universitaires de strasbourg","x",""
"germanyb","universitätsklinikum des saarlandes homburg-saar","x",""
"","herzzentrum dresden gmbh universitätsklinikum","x","x"
"","deutsches herzzentrum berlin","x","x"
"","universitäts-krankenhaus eppendorf klinik für herz-und gefässchirurgie hamburg","x","x"
"","universitätsklinikum köln","x","x"
"","universitätsklinikum leipzig klinik für abdominal- transplantations-und gefässchirurgie leipzig","x","x"
"","klinikum der universität regensburg","x","x"
"","herz- &amp; diabeteszentrum nordrhein-westfalen bad oeynhausen","x","x"
"","universitätsklinikum freiburg","x","x"
"","universitätsklinikum essen klinik für thorax- und kardiovaskuläre chirurgie","x","x"
"","klinikum der johannes-gutenberg-universität mainz","x","x"
"","heinrich-heine universität düsseldorf","x",""
"","westfälischen wilhelms-universität münster","x","x"
"","klinikum grosshadern der ludwig-maximilians universität münchen","x","x"
"","klinikum der ruprecht-karls-universität chirurgischen universitätsklinik abteilung für herzchirurgie heidelberg","x","x"
"","medizinischen hochschule hannover","x","x"
"","klinikum der georg-august-universität göttingen","x","x"
"","universitätsklinikum der rheinisch-","x","x"
"","westfälischen th aachen","",""
"","klinikum fulda thorax- herz- und gefässchirurgie","x","x"
"","universitätsklinikum der johann wolfgang goethe-universität thorax- herz- und thorakale gefässchirurgie frankfurt am main","x","x"
"","klinikum der justus-liebig universität gieβen","x","x"
"","universitätsklinikum kiel klinik für herz- und gefässchirurgie","x","x"
"","klinikum der friedrich-schiller-universität jena","x","x"
"","universitätsklinikum erlangen","x","x"
"","deutsches herzzentrum münchen","x","x"
"greece","onassis cardiac surgery center","x","x"
"irelandd","mater hospital","x","x"
"israel","sheba medical center","x","x"
"italy","policlinico s. orsola-universita degli studi","x","x"
"","ospedali riuniti","x",""
"","universita pavia","x","x"
"","niguarda ca granda hospital","",""
"japan","tohoku university idac hospital","x",""
"","osaka university hospital","x",""
"","national cardiovascular center","x","x"
"the netherlandsb","universitair medisch centrum utrecht","x","x"
"","erasmus mc universitair medisch centrum rotterdam","x","x"
"","groningen universitair medisch centrum","x","x"
"new zealanda","green lane hospital","x","x"
"norwayc","rikshospitalet-national hospital of norway","x","x"
"sloveniab","university medical center ljubljana","x","x"
"spain","hospital clinic-barcelona","x","x"
"","hospital central de asturias oviedo","x","x"
"swedenc","university hospital of lund","x","x"
"","sahlgrenska university hospital","x","x"
"","university hospital zurich","","x"
"","university clinic for cardio thoracic surgery basel","","x"
"taiwan","china medical college hospital","","x"
"united kingdomd","great ormand street hospital for children","x","x"
"","university of glasgow/glasgow royal infirmary","x","x"
"","northern general hospital","x",""
"","freeman hospital","x","x"
"","harefield hospital","x","x"
"","wythenshawe hospital","x","x"
"","queen elizabeth hospital","x","x"
"","papworth hospital","x","x"
"united statese","university of alabama hospital","x","x"
"","baptist medical center little rock","x","x"
"","arkansas children’s hospital","x","x"
"","university hospital of arkansas","x","x"
"","university medical center university of arizona","x","x"
"","children’s hospital los angeles","x","x"
"","cedars sinai medical center","x","x"
"","loma linda university medical center","x","x"
"","california pacific medical center","x","x"
"","ucsd medical center","x","x"
"","university of california san francisco medical center","x","x"
"","sutter memorial hospital","x","x"
"","sharp memorial hospital","x","x"
"","stanford university medical center","x","x"
"","st vincent medical center","x","x"
"","ucla medical center","x","x"
"","usc university hospital","x","x"
"","children’s hospital denver","x","x"
"","university hospital denver","x","x"
"","hartford hospital","x","x"
"","yale new haven hospital","x","x"
"","children’s national medical center","","x"
"","washington hospital center","x","x"
"","all children’s hospital","x","x"
"","jackson memorial hospital","x","x"
"","st luke’s hospital jacksonville","","x"
"","tampa general hospital","x","x"
"","tallahassee memorial hospital","x","x"
"","shands hospital at university of florida","x","x"
"","children’s healthcare of atlanta","x","x"
"","emory university hospital","x","x"
"","st joseph hospital of atlanta","x","x"
"","st francis medical center honolulu","x","x"
"","university of lowa hospital and clinics","x","x"
"","children’s memorial hospital","x","x"
"","loyola university medical center","x","x"
"","osf st francis medical center","x","x"
"","st. john’s hospital","x",""
"","university of chicago medical center","x","x"
"","university of illinois hospital","x","x"
"","clarian health-methodist/iu/riley","x","x"
"","lutheran hospital of ft wayne","x","x"
"","st vincent hospital and health care center","x","x"
"","via christi regional medical center","x","x"
"","jewish hospital","x","x"
"","kosair children’s hospital","","x"
"","university of kentucky medical center","x","x"
"","ochsner foundation hospital","x","x"
"","tulane university medical center","x","x"
"","willis knighton medical center","x","x"
"","children’s hospital boston","x","x"
"","massachusetts general hospital","x","x"
"","new england medical center","x","x"
"","brigham and women’s hospital","x","x"
"","umass memorial medical center","x",""
"","johns hopkins hospital","x","x"
"","university of maryland medical system","x","x"
"","children’s hospital of michigan","x","x"
"","henry ford hospital","x","x"
"","university of michigan medical center","x","x"
"","abbott northwestern hospital","x","x"
"","st mary’s hospital (mayo clinic)","x","x"
"","fairview university medical center","x","x"
"","barnes-jewish hospital","x","x"
"","cardinal glennon children’s hospital","x","x"
"","st louis children’s hospital","x","x"
"","st luke’s hospital of kansas city","x","x"
"","st louis university hospital","x","x"
"","university of missouri hospital and clinic","x","x"
"","university of mississippi medical center","x","x"
"","north carolina baptist hospital","x","x"
"","carolinas medical center","x","x"
"","duke university medical center","x","x"
"","university of north carolina hospitals","x","x"
"","bryan lgh medical center east","x","x"
"","newark beth israel medical center","x","x"
"","robert wood johnson univ. hosp","x","x"
"","presbyterian hospital albuquerque","x","x"
"","albany medical center hospital","x","x"
"","presbyterian hospital new york city","x","x"
"","strong memorial hospital","x","x"
"","montefiore medical center","x","x"
"","mt sinai medical center","x","x"
"","new york university medical center","x",""
"","westchester county medical center","x","x"
"","cleveland clinic foundation","x","x"
"","children’s hospital dayton","","x"
"","children’s hospital medical center cincinnati","x","x"
"","medical college hospital toledo","x","x"
"","ohio state university hospital","x","x"
"","university of cincinnati medical center","x","x"
"","university hospital of cleveland","x","x"
"","integris baptist medical center","x","x"
"","st francis hospital tulsa","x","x"
"","providence portland medical center","x","x"
"","oregon health sciences university hospital","x","x"
"","allegheny general hospital","x","x"
"","children’s hospital of pittsburgh","x","x"
"","children’s hospital of philadelphia","x","x"
"","penn state milton s. hershey medical center","x","x"
"","hahnemann university hospital tenet","x","x"
"","university of pittsburgh medical center","x","x"
"","temple university hospital","x","x"
"","hospital of the university of pennsylvania","x","x"
"","cardiovascular center of pr","x","x"
"","medical university of south carolina","x","x"
"","baptist memorial hosp memphis","x","x"
"","st thomas hospital","x","x"
"","vanderbilt university medical center","x","x"
"","brooke army medical center","x",""
"","university hospital san antonio","x","x"
"","children’s medical center of dallas","x","x"
"","seton medical center","x","x"
"","columbia hospital at medical city dallas","x","x"
"","st luke’s episcopal hospital","x","x"
"","methodist specialty &amp; transplant hospital","x","x"
"","university of texas medical branch","x","x"
"","methodist hospital houston","x","x"
"","christus santa rosa medical center","x","x"
"","st paul university hospital","x","x"
"","texas children’s hospital dallas","","x"
"","baylor university medical center","x","x"
"","lds hospital","x","x"
"","university of utah medical center","x","x"
"","primary children’s medical center","x","x"
"","inova fairfax hospital","x","x"
"","henrico doctors hospital","x","x"
"","mcv hospitals","x","x"
"","mcguire va medical center","x","x"
"","sentara norfolk general hospital","x","x"
"","university of virginia hsc","x","x"
"","children’s hospital medical center seattle","x","x"
"","sacred heart medical center","x","x"
"","university of washington medical center","x","x"
"","children’s hospital of wisconsin","x","x"
"","froedtert memorial lutheran hospital","x","x"
"","st luke’s medical center","x","x"
"","university of wisconsin hospital and clinics","x","x"
