"username","logged in","last active","active","os","browser"
"guest 1","04.february.2012 at&nbsp;17:46","04.february.2012 at&nbsp;17:46","0&nbsp;minutes","unknown","unknown"
"guest 2","04.february.2012 at&nbsp;17:44","04.february.2012 at&nbsp;17:44","0&nbsp;minutes","unknown","unknown"
"guest 3","04.february.2012 at&nbsp;17:44","04.february.2012 at&nbsp;17:44","0&nbsp;minutes","unknown","unknown"
"guest 4","04.february.2012 at&nbsp;17:44","04.february.2012 at&nbsp;17:44","0&nbsp;minutes","search robot","googlebot"
"guest 5","04.february.2012 at&nbsp;16:55","04.february.2012 at&nbsp;17:44","49&nbsp;minutes","search robot","googlebot"
"guest 6","04.february.2012 at&nbsp;17:41","04.february.2012 at&nbsp;17:41","0&nbsp;minutes","linux","unknown"
"guest 7","04.february.2012 at&nbsp;17:41","04.february.2012 at&nbsp;17:41","0&nbsp;minutes","unknown","unknown"
"guest 8","04.february.2012 at&nbsp;17:41","04.february.2012 at&nbsp;17:41","0&nbsp;minutes","unknown","unknown"
"guest 9","04.february.2012 at&nbsp;17:26","04.february.2012 at&nbsp;17:40","14&nbsp;minutes","unknown","unknown"
"guest 10","04.february.2012 at&nbsp;17:38","04.february.2012 at&nbsp;17:38","0&nbsp;minutes","unknown","unknown"
