"Trade name","Active ingredients","Pharmaceutical company"
"Lemal","Alpha Beta Arteether","Lexus Organics"
"Lemascorb","Aspirin; Vitamin C","Unidentified Pharmaceutical Company"
"Lemazide","Benzthiazide","Unidentified Pharmaceutical Company"
"Lemazol","Inositol; Potassium Orotate; Sorbitol; Vitamin C (Ascorbic Acid)","Petrasch-Pharma"
"Lemazol","Diethylamine Salicylate; Myrtecaine","Vargas Laboratorios"
"Lembrol","Diazepam","Sanofi-Aventis"
"Lembrol","Lormetazepam","Vinas"
"Lemdopa","Carbidopa; Levodopa","Lemery"
"Lemed","Levofloxacin","Aglowmed"
"L-Emental","Preparation for Enteral Nutrition","Megapharm Israel"
