"{|Guitar Stickman ? Gord MacDonald}","King of Creation","&nbsp;"
"{|Guitar Stickman ? Gord MacDonald}","Holy of Holies &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;","Audio"
"{|Guitar Stickman ? Gord MacDonald}","Break Me &nbsp;&nbsp;","Audio"
"{|Guitar Stickman ? Gord MacDonald}","MultiNation Generation","&nbsp;"
"{|Guitar Stickman ? Gord MacDonald}","Life           is the only choice","&nbsp;"
"{|Guitar Stickman ? Gord MacDonald}","Cult CULT-ure","Audio"
"{|Guitar Stickman ? Gord MacDonald}","Legacy of Love &nbsp;","Audio"
"{|Guitar Stickman ? Gord MacDonald}","Love at the Centre &nbsp;","Audio"
"{|Guitar Stickman ? Gord MacDonald}","Even in the Dark","Audio"
"{|Guitar Stickman ? Gord MacDonald}","Freedom From the Past",""
"{|Guitar Stickman ? Gord MacDonald}","Can't Measure Peace of Mind",""
"{|Guitar Stickman ? Gord MacDonald}","Falling Star",""
