"TITLE","DIRECTOR","RELEASE"
"200 Military Cum Shots","","2009"
"Anchors Aweigh #  3","Dirk Yates","2009"
"B.I. Boot Camp","Dirk Yates","2009"
"Barracks Glory Hole #  4 & 5","","2007"
"Barracks Glory Hole #  9","Dirk Yates","2009"
"College Cocks #  3","Dirk Yates","2009"
"Dirk Yates Private Amateur Collection # 245","","2007"
"Dirk Yates Private Amateur Collection # 246: Solo Action","","2007"
"Duty Weekend","","2008"
"Few The Proud The Naked # 14 The","","2007"
"Locked Cocked And Ready To Rock","Dirk Yates","2011"
"San Diego Weekend","","2010"
"Str8 Off The Base #  4","Dirk Yates","2007"
"Str8 Off The Base #  6","","2009"
"Str8 Off The Base #  7","","2010"
"Top Brass","Dirk Yates","2008"
"Top Brass #  6","Dirk Yates","2009"
"Top Brass #  7","Dirk Yates","2009"
"Top Brass #  8","","2009"
"Top Brass #  9","Dirk Yates","2010"
"Top Brass # 10","Dirk Yates","2010"
"Top Brass # 11","","2010"
"Top Brass # 13","","2010"
"Top Brass # 15","","2011"
"Top Brass # 3","Dirk Yates","2008"
"Top Brass # 4","","2008"
"Top Brass # 5","Dirk Yates","2009"
