"COUNTRY","CODE","CURRENCY","NUMERIC"
"BAHAMAS","BSD","Bahamian Dollar","44"
"BAHRAIN","BHD","Bahraini Dinar","48"
"BANGLADESH","BDT","Taka","50"
"BARBADOS","BBD","Barbados Dollar","52"
"BELARUS","BYR","Belarussian Ruble","974"
"BELGIUM","EUR","Euro","978"
"BELIZE","BZD","Belize Dollar","84"
"BENIN","XOF","-","952"
"BERMUDA","BMD","Bermudian Dollar","60"
"BHUTAN","INR","Indian Rupee","356"
"-","BTN","Ngultrum","64"
"BOLIVIA","BOB","Boliviano","68"
"-","BOV","Mvdol","984"
"BOSNIA  &amp; HERZEGOVINA","BAM","Convertible Marks","977"
"BOTSWANA","BWP","Pula","72"
"BOUVET ISLAND","NOK","Norwegian Krone","578"
"BRAZIL","BRL","Brazilian Real","986"
"BRITISH INDIAN OCEAN TERRITORY","USD","US Dollar","840"
"BRUNEI DARUSSALAM","BND","Brunei Dollar","96"
"BULGARIA","BGN","Bulgarian Lev","975"
"BURKINA FASO","XOF","-","952"
"BURUNDI","BIF","Burundi Franc","108"
