"Company","Country","Market Value ($bil)","Sales ($bil)","Industry"
"Li & Fung","Hong Kong","7.2","7.2","Trading companies"
"Larsen & Toubro","India","7.1","3.7","Capital goods"
"Tata Motors","India","7.0","5.2","Capital goods"
"CSL","Australia","6.9","2.1","Drugs & biotechnology"
"Samsung Fire & Marine","South Korea","6.9","7.7","Insurance"
"Philippine Long Distance Telephone","Philippines","6.8","2.4","Telecommunications services"
"Toll Holdings","Australia","6.7","3.6","Transportation"
"Konica Minolta","Japan","6.6","9.1","Household & personal products"
"Chi Mei Optoelectronics","Taiwan","6.2","4.9","Technology hardware & equipment"
"Bajaj Auto","India","6.0","1.7","Consumer durables"
"Bank Central Asia","Indonesia","6.0","1.6","Banking"
"HDFC Bank","India","5.7","1.3","Banking"
"Satyam Computer Services","India","5.7","1.1","Business services & supplies"
"Daewoo Shipbuilding & Marine","South Korea","5.7","4.9","Capital goods"
"IOI Corp","Malaysia","5.6","1.7","Food drink & tobacco"
"China Minsheng Banking","China","5.4","3.0","Banking"
"Sterlite Industries","India","5.2","2.9","Materials"
"LG Corp.","South Korea","5.1","61.2","Conglomerates"
"Mediceo Paltac Holdings","Japan","4.4","16.4","Drugs & biotechnology"
"Lite-On Technology","Taiwan","3.5","6.9","Technology hardware & equipment"
"Lenovo Group","China","3.2","13.3","Technology hardware & equipment"
"GS Engineering & Construction","South Korea","3.2","5.7","Construction"
"TPV Technology","Hong Kong","2.0","5.1","Technology hardware & equipment"
"Noble Group","Hong Kong","1.6","11.7","Transportation"
"Minmetals Development","China","0.7","8.2","Trading companies"
