"Code","Language","Territory","Translation?"
"as-IN","Assamese","India","None"
"bn-IN","India","Bengali","None"
"de-DE","German","Germany","None"
"es-ES","Spanish","Spain","JBSEAM-2944"
"es-MX","Spanish","Mexico","JBSEAM-3667"
"fr-FR","French","France","JBSEAM-3541"
"gu-IN","Gujarati","India","None"
"hi-IN","Hindi","India","None"
"it-IT","Italian","Italy","JBSEAM-3767"
"ja-JP","Japanese","Japan","None"
"kn-IN","Kannada","India","None"
"ko-KR","Hangul","Korea","None"
"ml-IN","Malayalam","India","None"
"mr-IN","Marathi","India","None"
"or-IN","Oriya","India","None"
"pa-IN","Punjabi","India","None"
"pt-BR","Portugese","Brazil","JBSEAM-3401"
"ru-RU","Russian","Russia","JBSEAM-3723"
"si-LK","Sinhala","Sri Lanka","None"
"sl-SL","Slovenian","Slovenia","JBSEAM-2912"
"ta-IN","Tamil","India","None"
"te-IN","Telugu","India","None"
"th-TH","Thai","Thailand","JBSEAM-3216"
"zh-CN","Simplified Chinese","China","JBSEAM-3695"
"zh-TW","Traditional Chinese","Taiwan","None"
