"CITY OF CAMAS LIBRARY BOND ISSUE","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"CITY OF CAMAS","&nbsp;","&nbsp;","&nbsp;"
"LIBRARY BONDS - $7960000","&nbsp;","VOTES","PERCENT"
"BONDS YES","&nbsp;","1890","59.8%"
"BONDS NO","&nbsp;","1270","40.2%"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"COUNTY WIDE BALLOTS CAST","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","Votes","Percent"
"TOTAL NUMBER OF PRECINCTS","&nbsp;","16","&nbsp;"
"NUMBER OF PRECINCTS REPORTED","&nbsp;","16","100.0%"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"Accum. Votes Cast / % T.O.","&nbsp;","3300","48.1%"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"Accum. At Polls Votes","&nbsp;","1313","&nbsp;"
"Accum. Absentee Votes","&nbsp;","1987","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"COUNTY WIDE ELIGIBLE VOTER STATISTICS","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"Total Eligible Voters","&nbsp;","6857","&nbsp;"
