"poradie:","hora:","pohorie:","&uacute;zemie:","v&yacute;&scaron;ka:"
"1.","everest","himal&aacute;j","nep&aacute;l/&#268;&iacute;na","8 850"
"2.","k2 (godwin austen)","kar&aacute;k&oacute;ram","p&aacute;kist&aacute;n/&#268;&iacute;na","8 611"
"3.","kanchenjunga","himal&aacute;j","indie/nep&aacute;l","8 586"
"4.","lhotse i","himal&aacute;j","nep&aacute;l/&#268;&iacute;na","8 516"
"5.","makalu i","himal&aacute;j","nep&aacute;l/&#268;&iacute;na","8 463"
"6.","cho oyu","himal&aacute;j","nep&aacute;l/&#268;&iacute;na","8 201"
"7.","dhaulagiri","himal&aacute;j","nep&aacute;l","8 167"
"8.","manaslu i","himal&aacute;j","nep&aacute;l","8 163"
"9.","nanga parbat","himal&aacute;j","p&aacute;kist&aacute;n","8 125"
"10.","annapurna","himal&aacute;j","nep&aacute;l","8 091"
"11.","gasherbrum i","himal&aacute;j","p&aacute;kist&aacute;n/&#268;&iacute;na","8 068"
"12.","broad peak","himal&aacute;j","p&aacute;kist&aacute;n/&#268;&iacute;na","8 047"
"13.","gasherbrum ii","himal&aacute;j","p&aacute;kist&aacute;n/&#268;&iacute;na","8 035"
"14.","shishma pangma&nbsp;","himal&aacute;j","&#268;&iacute;na","8 013"
"15.","annapurna ii","himal&aacute;j","nep&aacute;l","7 937"
"16.","gyachung kang","himal&aacute;j","nep&aacute;l","7 897"
"17.","disteghil sar","kar&aacute;k&oacute;ram","p&aacute;kist&aacute;n","7 882"
"18.","himalchuli","himal&aacute;j","nep&aacute;l","7 864"
"19.","nuptse","himal&aacute;j","nep&aacute;l","7 841"
"20.","nanda devi","himal&aacute;j","india","7 824"
"21.","masherbrum","kar&aacute;k&oacute;ram","p&aacute;kist&aacute;n","7 821"
"22.","rakaposhi","kar&aacute;k&oacute;ram","p&aacute;kist&aacute;n","7 788"
"23.","kanjut sar","kar&aacute;k&oacute;ram","p&aacute;kist&aacute;n","7 761"
"24.","kamet","himal&aacute;j","indie/&#268;&iacute;na","7 756"
"25.","namcha barwa","himal&aacute;j","&#268;&iacute;na","7 756"
"26.","gurla mandhata","himal&aacute;j","&#268;&iacute;na","7 728"
"27.","ulugh muztagh","kunlun","&#268;&iacute;na","7 723"
"28.","kungur","muztagh ata","china","7 719"
"29.","tirich mir","hinduk&uacute;&scaron;","p&aacute;kist&aacute;n","7 690"
"30.","saser kangri","kar&aacute;k&oacute;ram","indie","7 672"
"31.","makalu ii","himalayas","nep&aacute;l","7 657"
"32.","minya konka&nbsp;","daxue shan","&#268;&iacute;na","7 590"
"33.","kula kangri","himal&aacute;j","bhutan","7 554"
"34.","chang-tzu","himal&aacute;j","&#268;&iacute;na","7 553"
"35.","muztagh ata","muztagh ata","&#268;&iacute;na","7 546"
"36.","skyang kangri","himal&aacute;j","indie","7 544"
"37.","ismail samani peak&nbsp;","pam&iacute;r","t&aacute;d?ikist&aacute;n","7 495"
"38.","jongsong peak","himal&aacute;j","nep&aacute;l","7 459"
"39.","pik pobedy","&#356;an &scaron;an","kyrgyzst&aacute;n","7 439"
"40.","sia kangri","himal&aacute;j","&#268;&iacute;na","7 422"
"41.","haramosh peak","kar&aacute;k&oacute;ram","p&aacute;kist&aacute;n","7 397"
"42.","istoro nal","hinduk&uacute;&scaron;","p&aacute;kist&aacute;n","7 388"
"43.","tent peak","himal&aacute;j","nep&aacute;l","7 365"
"44.","chomo lhari","himal&aacute;j","&#268;&iacute;na/bh&uacute;t&aacute;n","7 327"
"45.","chamlang","himal&aacute;j","&#268;&iacute;na","7 319"
"46.","kabru","himal&aacute;j","&#268;&iacute;na","7 316"
"47.","alung gangri","himal&aacute;j","&#268;&iacute;na","7 315"
"48.","baltoro kangri","himal&aacute;j","&#268;&iacute;na","7 312"
"49.","muztagh ata (k-5)","kunlun","&#268;&iacute;na","7 282"
"50.","mana","himal&aacute;j","indie","7 273"
"51.","baruntse","himal&aacute;j","nep&aacute;l","7 220"
"52.","nepal peak","himal&aacute;j","nep&aacute;l","7 163"
"53.","amne machin","kunlun","&#268;&iacute;na","7 160"
"54.","gauri sankar","himal&aacute;j","nep&aacute;l/&#268;&iacute;na","7 145"
"55.","badrinath","himal&aacute;j","indie","7 138"
"56.","nunkun","himal&aacute;j","p&aacute;kist&aacute;n","7 135"
"57.","lenin peak","pam&iacute;r","t&aacute;d?ikist&aacute;n/kyrgyzst&aacute;n","7 134"
"58.","pyramid","himal&aacute;j","nep&aacute;l","7 132"
"59.","api","himal&aacute;j","nep&aacute;l","7 132"
"60.","pauhunri","himal&aacute;j","&#268;&iacute;na/indie","7 128"
"61.","trisul","himal&aacute;j","indie","7 120"
"62.","korzhenevski peak","pam&iacute;r","t&aacute;d?ikist&aacute;n","7 105"
"63.","kangto","himal&aacute;j","tibet","7 090"
"64.","nyainqentanglha","nyainqentanglha shan","&#268;&iacute;na","7 088"
"65.","trisuli","himal&aacute;j","indie","7 074"
"66.","dunagiri","himal&aacute;j","indie","7 066"
"67.","revolution peak","pam&iacute;r","t&aacute;d?ikist&aacute;n","6 974"
"68.","aconcagua","andy","argentina","6 960"
"69.","ojos del salado","andy","argentina/chile","6 908"
"70.","bonete","andy","argentina/chile","6 872"
"71.","ama dablam","himal&aacute;j","nep&aacute;l","6 856"
"72.","tupungato","andes","argentina/chile","6 800"
"73.","moscow peak","pam&iacute;r","t&aacute;d?ikist&aacute;n","6 785"
"74.","pissis","andy","argentina","6 779"
"75.","mercedario","andy","argentina/chile","6 770"
"76.","huascar&aacute;n","andy","peru","6 768"
"77.","llullaillaco","andy","argentina/chile","6 723"
"78.","el libertador","andy","argentina","6 720"
"79.","cachi","andy","argentina","6 720"
"80.","kailas","himal&aacute;j","&#268;&iacute;na","6 714"
"81.","incahuasi","andy","argentina/chile","6 620"
"82.","yerupaja","andy","peru","6 617"
"83.","kurumda","pam&iacute;r","t&aacute;d?ikist&aacute;n","6 610"
"84.","galan","andy","argentina","6 600"
"85.","el muerto","andy","argentina/chile","6 542"
"86.","sajama","andy","bol&iacute;vie","6 520"
"87.","nacimiento","andy","argentina","6 493"
"88.","illampu","andy","bol&iacute;vie","6 485"
"89.","illimani","andy","bol&iacute;vie","6 462"
"90.","coropuna","andy","peru","6 426"
"91.","laudo","andy","argentina","6 400"
"92.","ancohuma","andy","bol&iacute;vie","6 388"
"93.","cuzco","andy","peru","6 384"
"94.","toro","andy","argentina/chile","6 380"
"95.","tres cruces","andy","argentina/chile","6 356"
"96.","huandoy","andy","peru","6 356"
"97.","parinacota","andy","bol&iacute;vie/chile","6 330"
"98.","tortolas","andy","argentina/chile","6 323"
"99.","chimborazo","andy","ekv&aacute;dor","6 310"
"100.","ampato","andy","peru","6 310"
"101.","el condor","andy","argentina","6 300"
"102.","salcantay","andy","peru","6 271"
"103.","huancarhuas","andy","peru","6 258"
"104.","famatina","andy","argentina","6 250"
"105.","pumasillo","andy","peru","6 246"
"106.","solo","andy","argentina","6 246"
"107.","polleras","andy","argentina","6 235"
"108.","pular","andy","chile","6 225"
"109.","chani","andy","argentina","6 200"
"110.","mckinley (denali)","alja&scaron;sk&eacute;","usa","6 194"
"111.","aucanquilcha","andy","chile","6 186"
"112.","juncal","andy","argentina/chile","6 180"
"113.","negro","andy","argentina","6 152"
"114.","quela","andy","argentina","6 135"
"115.","condoriri","andy","bol&iacute;vie","6 125"
"116.","palermo","andy","argentina","6 120"
"117.","solimana","andy","peru","6 117"
"118.","san juan","andy","argentina/chile","6 111"
"119.","sierra nevada","andy","argentina","6 103"
"120.","antofalla","andy","argentina","6 100"
"121.","marmolejo","andy","argentina/chile","6 100"
