"name","club","catch","bait","venue"
"alan loader","dartford &amp; district aps","43-12-0 bream","maggot","sutton-at-hone"
"colin stone","excelsior ac","60-8-0 carp","corn","mbk leisure"
"dave reel","department for education","77-9-0 carp","bread","tyler’s common"
"dick shilitto","remenham as","49-0-0 carp","corn","bowsaw lake"
"ivan jacob","paddock wood aacs","72-4-0 carp","maggot","club venue"
"joe villalon","rank xerox ac","58-13-0 carp","pellet","milton pools"
"peter blane","the wednesday club","69-8-0 carp","pellet","orchard farm"
"phil roberts","westlands ac","19-3-0 skimmers","maggot","raker lakes"
"r smith","harrow school ac","137-9-0 carp","pellet","harrow school"
"terry barnes","north harrow waltonians","51-14-0 carp","maggot","milton pools"
