"ann&eacute;es","vainqueurs","2&egrave;me places","3&egrave;me places","4&egrave;me places"
"1972","jack brisco/fred curry","NULL","NULL","NULL"
"1973","chief jay strongbow","","",""
"1974","billy robinson","NULL","NULL","NULL"
"1975","mil mascaras","","",""
"1976","wahoo mcdaniel","chief jay strongbow","mr. wrestling ii","ivan putski"
"1977","andre the giant","dusty rhodes","bob backlund","mil mascaras"
"1978","dusty rhodes","andre the giant","rick steamboat","bob backlund"
"1979","dusty rhodes","andre the giant","ivan putski","mr. wrestling ii"
"1980","mr. wrestling ii","dusty rhodes","andre the giant","bruno sammartino"
"1981","tommy rich","bob backlund","andre the giant","dusty rhodes"
"1982","andre the giant","tommy rich","hulk hogan","dusty rhodes"
"1983","jimmy snuka","dusty rhodes","david von erich","junkyard dog"
"1984","kerry von erich","hulk hogan","dusty rhodes","sgt. slaughter"
"1985","hulk hogan","magnum ta","kerry von erich","tito santana"
"1986","roddy piper","hulk hogan","ricky morton","nikita koloff"
"1987","dusty rhodes","hulk hogan","randy savage","nikita koloff"
"1988","randy savage","hulk hogan","sting","lex luger"
"1989","hulk hogan","ric flair","sting","the ultimate warrior"
"1990","hulk hogan","sting","the ultimate warrior","lex luger"
"1991","sting","hulk hogan","sid justice","rick et scott steiner"
"1992","sting","the ultimate warrior","the undertake","ron simmons"
"1993","lex luger","sting","bret hart","dustin rhodes"
"1994","sting","bret hart","the undertaker","hulk hogan"
"1995","shawn michaels","sting","diesel","hulk hogan"
"1996","shawn michaels","randy savage","sid vicious","the undertaker"
"1997","sting","steve austin","ric flair","diamond dallas page"
"1998","steve austin","bill goldberg","the rock","diamond dallas page"
"1999","the rock","steve austin","bill goldberg","mankind"
"2000","the rock","rob van dam","chris jericho","bill goldberg"
"2001","rob van dam","the rock","chris jericho","kurt angle"
"2002","rob van dam","hulk hogan","booker t.","the rock"
"2003","kurt angle","steve austin","rob van dam","rey misterio jr."
"2004","john cena","chris benoit","eddie guerrero","eugene dinsmore"
"2005","john cena","batista","a.j. styles","rey misterio jr."
"2006","samoa joe","john cena","rey misterio jr.","sting"
"2007","john cena","the undertaker","sting","cm punk"
"2008","jeff hardy","shawn michaels","samoa joe","the undertaker"
"2009","","","",""
"2010","NULL","NULL","NULL","NULL"
