"Access                   Location","Phone#","Language"
"USA                      (Any                   State)","1-877-708-8681","English"
"Chile","800-225-288","-"
"China","10811","-"
"Indonesia","001-801-10","-"
"Ivory                      Coast","00-111-11","-"
"Jordan","18-800-000","-"
"Malaysia","1-800-80-0011","-"
"Nigeria","1881","-"
"Peru","01-800-50000","-"
"Philippines","105-11","-"
"Saudi                      Arabia","1-800-10","-"
"South                      Korea","550-4663","-"
"South                      Africa","0-800-99-0123","-"
