"Language","Location","Common&nbsp;name","PIER&nbsp;bibliographic&nbsp;reference","Comments"
"Chinese","?","hei zi bi qi","Zhengyi Wu/Raven Peter H./Deyuan Hong (2011)","&nbsp;"
"English","?","bent spikerush","Herrera Katherine/Lorence David H./Flynn Timothy/Balick Michael J. (2010)&nbsp;(p.&nbsp;42)","&nbsp;"
"English","?","Canada spikesedge","Herrera Katherine/Lorence David H./Flynn Timothy/Balick Michael J. (2010)&nbsp;(p.&nbsp;42)","&nbsp;"
"English","?","spike rush","Vander Velde Nancy (2003)&nbsp;(p.&nbsp;38)","&nbsp;"
"English","?","spikerush","Stone Benjamin C. (1970)&nbsp;(p.&nbsp;171)","&nbsp;"
"French","?","scirpe genouill&#233;","Hafliger E. (1092)&nbsp;(p.&nbsp;33)","&nbsp;"
"I-Kiribati","Kiribati (Republic of)","te maunei","Thaman R. R. (1987)&nbsp;(p.&nbsp;21)","&nbsp;"
"Kwara&#145;ae","Solomon Islands","ngwano","Hancock I. R./Henderson C. P. (1988)&nbsp;(p.&nbsp;71)","&nbsp;"
"Maori (Cook Islands)","Cook Islands","remu","Whistler W. A. (1990)&nbsp;(p.&nbsp;397)","&nbsp;"
"Maori (Cook Islands)","Mangaia Island","rimu","Whistler W. A. (1990)&nbsp;(p.&nbsp;397)","&nbsp;"
"Marshallese","Ebon (Epoon) Atoll","kube in jemin","Vander Velde Nancy/Vander Velde Brian (2007)&nbsp;(p.&nbsp;2)","&nbsp;"
"Marshallese","Kili (K&#245;le) Atoll","kubwe in jenen Iniri&#241;","Vander Velde Nancy/Vander Velde Brian (2006)&nbsp;(p.&nbsp;3)","&nbsp;"
"Marshallese","Marshall Islands","p&atilde;d&atilde;dijmaan","Vander Velde Nancy (2003)&nbsp;(p.&nbsp;38)","&nbsp;"
"Marshallese","Marshall Islands","p&atilde;d&atilde;limaan","Vander Velde Nancy (2003)&nbsp;(p.&nbsp;38)","&nbsp;"
"Marshallese","Mili (Mile) Atoll","kubwe in jemin Inidel","Vander Velde Nancy/Vander Velde Brian (2010)&nbsp;(p.&nbsp;A5)","&nbsp;"
"Palauan","Palau Islands (main island group)","kerdikes","Fosberg F. R./Otobed D./Sachet M.-H./Oliver R. L./Powell D. A./Canfield J. E. (1980)&nbsp;(p.&nbsp;9)","&nbsp;"
"Pohnpeian","Pohnpei Island","mahtamat","Herrera Katherine/Lorence David H./Flynn Timothy/Balick Michael J. (2010)&nbsp;(p.&nbsp;42)","&nbsp;"
"Spanish","?","cebolleta de pantano","U.S. Dept. Agr. Agr. Res. Serv. (2010)","Colombia"
"Spanish","?","junco de espiga elegante","Hafliger E. (1092)&nbsp;(p.&nbsp;33)","&nbsp;"
"Spanish","?","mara","U.S. Dept. Agr. Agr. Res. Serv. (2010)","Colombia"
"Spanish","?","piso","Hafliger E. (1092)&nbsp;(p.&nbsp;33)","&nbsp;"
"Tuvaluan","Tuvalu Islands","mouku loa","Unknown (0)","&nbsp;"
