"Rank","Name","Country","Industry","Sales ($bil)","Profits ($bil)","Assets ($bil)","Market Value ($bil)"
"385","OMV Group","Austria","Oil & gas operations","13.41","0.87","17.55","18.53"
"307","Erste Bank","Austria","Banking","9.09E","0.84","189.13","18.22"
"889","Verbund","Austria","Utilities","4.18","0.32","8.46","14.33"
"788","Raiffeisen Intl Bank","Austria","Banking","3.24","0.29","39.16","11.91"
"845","Telekom Austria","Austria","Telecommunications services","5.50","0.31","9.80","11.09"
"1053","Wiener Stadtische","Austria","Insurance","5.63","0.12","19.10","5.51"
"974","Voestalpine","Austria","Materials","7.49","0.42","6.86","4.61"
"1953","EVN","Austria","Utilities","1.93","0.17","5.70","4.06"
"1124","Uniqa","Austria","Insurance","5.75","0.11","25.52","3.81"
"1882","Oberbank","Austria","Banking","0.65","0.05","15.07","0.86"
