"Language","Region","Keyboards"
"Afrikaans","South Africa","103P (PDF81KB) +103I (PDF112KB)"
"Albanian","Albania","452 (PDF79KB)448 (PDF88KB)"
"Arabic (and French)","Algeria Morocco Tunisia","{462|(PDF150KB)}"
"Arabic (and English)","Bahrain Egypt Jordan Kuwait Lebanon Oman Qatar Saudi Arabia Syrai United Arab Emirates Yemen","470 (PDF144KB)238 (PDF150KB)239 (PDF136KB)253 (PDF144KB)"
"Armenian","Armenia","497 (PDF179KB)499 (PDF179KB)"
"Assamese (Bengali script)","India","{480|(PDF141KB)}"
"Basque","Spain","173 (PDF83KB)071 (PDF81KB)"
"Belarusian","Belarus","{463|(PDF165KB)}"
"Bengali","India","{480|(PDF141KB)}"
"Bosnian","Bosnia and Herzegovina","{234|(PDF93KB)}"
"Bulgarian","Bulgaria","{442|(PDF148KB)}"
"Catalan","Spain","173 (PDF83KB)071 (PDF81KB)"
"Chinese (Traditional)","Hong Kong S. A. R. Taiwan","{467|(PDF220KB)}"
"Cornish","United Kingdom","166 (PDF84KB) +166W (PDF39KB)"
"Croatian","Croatia Bosnia and Herzegovina","{234|(PDF93KB)}"
"Czech","Czech Republic","243 (PDF94KB)489 (PDF150KB)"
"Danish","Denmark","159 (PDF84KB)281 (PDF75KB)"
"Dutch","Belgium","{120|(PDF84KB)}"
"Dutch","Netherlands","143 (PDF88KB)101 (PDF114KB)"
"English","Canada","{445|(PDF84KB)}"
"English","United Kingdom Ireland Hong Kong S. A. R. Singapore","168 (PDF98KB)166 (PDF84KB)313 (PDF86KB)"
"English","United States Australia New Zealand South Africa","{103P|(PDF81KB)}"
"English","Australia Belize Botswana Jamaica New Zealand Philippines South Africa Trinidad and Tobago United States Zimbabwe","103P (PDF81KB) +103I (PDF112KB)"
"Estonian","Estonia","{454|(PDF85KB)}"
"Faeroese","Faeroe Islands","159 (PDF84KB)281 (PDF75KB)"
"Farsi","Iran","{447|(PDF153KB)}"
"Finnish","Finland","153 (PDF83KB)285 (PDF75KB)"
"French","Belgium Luxembourg","{120|(PDF84KB)}"
"French","Canada","445 (PDF84KB)501 (PDF49KB)058 (PDF90KB)"
"French","France Monaco","189 (PDF83KB)251 (PDF115KB)"
