"L.p.","LANGUAGE","COURSE PRICE PER PERSON IN GROUP (64 LESSONHOURS)","COURSE PRICE FOR INDIVIDUAL LESSONS (ONE FULLHOUR)"
"1.","ENGLISH","1000- (groups of 3 to 6 students)","65-85-"
"2.","ENGLISH FOR KIDS","800- (groups of 3 to 6 kids)","50-"
"3.","MEDICAL ENGLISH","1600- (groups of 3 to 6 students)","100-"
"4.","BUSINESS ENGLISH","1600- (groups of 3 to 6 students)","80-"
"5.","PROFESSIONAL DENTAL ENGLISH","2000- (groups of 3 to 6 dentists)","120-"
"6.","GERMAN","1500- (groups of 3 to 6 students)","80-"
"7.","FRENCH","1500- (groups of 3 to 6 students)","80-"
"8.","ITALIAN","1600- (groups of 3 to 6 students)","80-"
"9.","SPANISH","1600- (groups of 3 to 6 students)","80-"
"10.","PORTUGUESE","1600- (groups of 3 to 6 students)","80-"
"11.","RUSSIAN","1600- (groups of 3 to 6 students)","80-"
"12.","JAPANESE","1800- (groups of 3 to 6 students)","80-"
"13.","CHINESE","1800- (groups of 3 to 6 students)","80-"
"14.","ARABIC","1600- (groups of 3 to 6 students)","80-"
"15.","CROATIAN","1600- (groups of 3 to 6 students)","75-"
"16.","GREEK","1600- (groups of 3 to 6 students)","80-"
"17.","NORWEGIAN","1800- (groups of 3 to 6 students)","80-"
"18.","SWEDISH","1800- (groups of 3 to 6 students)","80-"
"19.","DANISH","1800- (groups of 3 to 6 students)","80-"
"20.","FINNISH","1800- (groups of 3 to 6 students)","80-"
"21.","SWAHILI","2000- (groups of 3 to 6 students)","100-"
"22.","HAUSA","2000- (groups of 3 to 6 students)","100-"
"23.","DUTCH/FLEMISH","1600- (groups of 3 to 6 students)","80-"
"24.","HEBREW","1800- (groups of 3 to 6 students)","80-"
"25.","KOREAN","1800- (groups of 3 to 6 students)","100-"
"26.","TURKISH","1800- (groups of 3 to 6 students)","80-"
"27.","TWI","1600- (groups of 3 to 6 students)","100-"
"28.","GA","1600- (groups of 3 to 6 students)","100-"
"29.","LATIN","1500- (groups of 3 to 6 students)","70-"
"30.","POLISH","1440- (groups of 3 to 6 students)","60-75-"
"31.","CZECH","1600- (groups of 3 to 6 students)","80-"
"32.","IELTS","1500- (groups of 3 to 6 students)","65-"
"33.","GRE","2400- (groups of 3 to 6 students)","75-"
"34.","GMAT","3840- (groups of 3 to 6 students)","75-"
"35.","TOEFL","1500- (groups of 3 to 6 students)","65-"
"36.","Language for deaf and dumb","1200-(groups of 3 to 6 students)","80-"
"37.","VIETNAMESE","1700-(groups of 3 to 6 students)","100-"
"38.","YORUBA","1700-(groups of 3 to 6 students)","100-"
"39.","IGBO","1700-(groups of 3 to 6 students)","100-"
"40.","TAGALOG","2000-(groups of 3 to 6 students)","100-"
"41.","URDU","2000-(groups of 3 to 6 students)","100-"
"42.","HINDI","2000-(groups of 3 to 6 students)","100-"
"43.","LITHUANIAN","1800-(groups of 3 to 6 students)","100-"
"44.","LAOS","2000-(groups of 3 to 6 students)","100-"
"45.","ALBANIAN","1700-(groups of 3 to 6 students)","100-"
"46.","BOSNIAN","1700-(groups of 3 to 6 students)","100-"
"47.","BULGARIAN","1700-(groups of 3 to 6 students)","100-"
"48.","HUNGARIAN","1700-(groups of 3 to 6 students)","100-"
"49.","RUMANIAN","1700-(groups of 3 to 6 students)","100-"
"50.","PERSIAN","1800-(groups of 3 to 6 students)","100-"
"51.","UKRANIAN","1700-(groups of 3 to 6 students)","100-"
"52.","SLOVENIAN","1700-(groups of 3 to 6 students)","100-"
"53.","SLOVAK","1700-(groups of 3 to 6 students)","100-"
"54.","MACEDONIAN","1700-(groups of 3 to 6 students)","100-"
