"Date Reviewed: 02/11/2012","Date Reviewed: 02/11/2012","Date Reviewed: 02/11/2012"
"l-vasquez from unknown    Member Since: 02/02/2012          View Member's:      Reviews","Great experience! I have never shop this easy.","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 01/25/2012","Date Reviewed: 01/25/2012","Date Reviewed: 01/25/2012"
"terry from unknown    Member Since: 01/09/2012          View Member's:      Reviews","First time buyer and everything could not have been easier","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 01/24/2012","Date Reviewed: 01/24/2012","Date Reviewed: 01/24/2012"
"itzik2 from KS    Member Since: 11/24/2003          View Member's:      Reviews","Very nicely organized","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 01/20/2012","Date Reviewed: 01/20/2012","Date Reviewed: 01/20/2012"
"TheTexasKid from TX    Member Since: 06/15/2006          View Member's:      Reviews","No order confirmation. Return policy is expensive: #8.95 + 15% of item value. The item was new but OEM and pulled from a tower computer. Essentially this was a used item.I returned the purchase.","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 01/14/2012","Date Reviewed: 01/14/2012","Date Reviewed: 01/14/2012"
"wwrightus from unknown    Member Since: 12/29/2011          View Member's:      Reviews","Satisfied thus far.","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 01/07/2012","Date Reviewed: 01/07/2012","Date Reviewed: 01/07/2012"
"ladiebugsrock777 from unknown    Member Since: 12/22/2011          View Member's:      Reviews","i would have liked to see the estimated date of arrival. good prices!","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 01/05/2012","Date Reviewed: 01/05/2012","Date Reviewed: 01/05/2012"
"james.martin from unknown    Member Since: 11/29/2011          View Member's:      Reviews","Thanks this is a great buy.","Overall Rating"
"&nbsp;","&nbsp;","&nbsp;"
"Date Reviewed: 12/30/2011","Date Reviewed: 12/30/2011","Date Reviewed: 12/30/2011"
