"Country","University","Language"
"Australia","La Trobe University","English"
"Austria","Karl                   Franzens Universitat Graz","English                   and German"
"Austria","Vienna University of Economics and Business Administration","English and German"
"Belgium","University                   of Antwerp","English                   and Dutch"
"Czech                   Republic","Masaryk                   University","English"
"Denmark","Aarhus                   University","English"
"England","Lancaster                   University","English"
"England","Missouri                   London Program","English"
"England","University of East Anglia","English"
"Finland","University                   of Helsinki","English"
"Finland","University of Oulu","English"
"Germany","University of Leipzig","English and German"
"Ghana","University                   of Ghana Legon","English"
"Greece","Aristotle University of Thessaloniki","English"
"Iceland","University of Iceland","English"
"Ireland","University                   College - Cork","English"
"Ireland","National                   University of Ireland - Galway","English"
"Korea","Korea                   University","English                   and Korean"
"Lithuania","Vilnius                   University","English"
"Netherlands","INHOLLAND                   University","English"
"Netherlands","University                   of Utrecht","English"
"Portugal","University of Coimbra","English"
"Slovakia","Comenius University in Bratislava","English"
"South                   Africa","University                   of the Western Cape","English"
