"landmark a_z","city","hotels in the region","&nbsp;"
"a b c garage","schiedam","a-b-c-garage"
"a z m","maastricht","a-z-m"
"abe lenstra stadium","heerenveen","abe-lenstra-stadium"
"aboriginal art museum","utrecht","aboriginal-art-museum"
"achterdoelen","ede","achterdoelen"
"aelderholt golfclub","aalden","aelderholt-golf"
"ahoy rotterdam","rotterdam","ahoy-rotterdam"
"airforce museum texel 1940-1945","de cocksdorp","airforce-museum-texel-1940-1945"
"ajax museum","amsterdam","ajax-museum"
"albatross golf","prinsenbeek","albatross-golf"
"alexandrium ii","rotterdam","alexandrium-ii"
"alexandrium iii","rotterdam","alexandrium-iii"
"allard pierson museum","amsterdam","allard-pierson-museum"
"almeerderhout golfclub","almere","almeerderhout-golf"
"almkreek golfpark","almkerk","almkreek-golf"
"ameland golfvereniging","hollum-ameland","ameland-golf"
"amelisweerd golfclub","utrecht","amelisweerd-golf"
"american cemetery margraten","margraten","american-cemetery-margraten"
"amsterdam arena","amsterdam zuidoost","amsterdam-arena"
"amsterdam old course","amsterdam","amsterdam-old-course-golf"
"amsterdamse golf club","amsterdam","amsterdamse-golf-club"
"amsterdamse poort","amsterdam","amsterdamse-poort"
"anatomic museum nijmegen","nijmegen","anatomic-museum-nijmegen"
"anderstein golfclub","maarsbergen","anderstein-golf"
"anne frank house","amsterdam","anne-frank-house"
"apenheul","apeldoorn","apenheul"
"archeon","alphen aan den rijn","archeon"
"arena","den bosch","arena1"
"argonaut","amersfoort","argonaut"
"arke stadion","&nbsp;","arke-stadion"
"armymuseum","delft","armymuseum"
"art gallery action art ijzerman","lelystad","art-gallery-action-art-ijzerman"
"art gallery art deco","renesse","art-gallery-art-deco"
"art gallery beddeweeg","zierikzee","art-gallery-beddeweeg"
"art gallery bos fine art","lellystad","art-gallery-bos-fine-art"
"art gallery de kaai","goes","art-gallery-de-kaai"
"art gallery de voorst","kraggenburg","art-gallery-de-voorst"
"art gallery elf","goes","art-gallery-elf"
"art gallery kunsthuis","almere","art-gallery-kunsthuis"
"art gallery 't haentje te paart","middelburg","art-gallery--t-haentje-te-paart"
"art gallery van den berge","goes","art-gallery-van-den-berge"
"art museum rotterdam","rotterdam","art-museum-rotterdam"
"art on the spot","den bosch","art-on-the-spot"
"artis zoo","amsterdam","artis-zoo"
"attractiepark slagharen","slagharen","attractiepark-slagharen"
"autotron","rosmalen","autotron"
"aviodrome","lelystad","aviodrome"
"avonturenpark hellendoorn","hellendoorn","avonturenpark-hellendoorn"
"backerbosch golf course","cadier en keer","golf-course-backerbosch"
"bassin","maastricht","bassin"
"batouwe golfclub","zoelen","de-batouwe-golf"
"beemster golf vereniging","middenbeemster","beemster-golf-vereniging"
"beeradvertisingmuseum","breda","beeradvertisingmuseum"
"beestenmarkt","amersfoort","beestenmarkt"
"begijnhof","amsterdam","begijnhof"
"best golf","best","best-golf"
"beurs - world trade centre rotterdam","rotterdam","beurs---world-trade-centre-rotterdam"
"beurs van berlage","amsterdam","beurs-van-berlage"
"beursplein","rotterdam","beursplein"
"biesboschcenter dordrecht","dordrecht","biesboschcenter-dordrecht"
"bijenkorf","eindhoven","bijenkorf"
"bonbonniere","maastricht","bonbonniere"
"bonnefantenmuseum","maastricht","bonnefantenmuseum"
"boogaard p2/p3/p4/p5","rijswijk","boogaard-p2-p3-p4-p5"
"boogaard p7","rijswijk","boogaard-p7"
"boogaardplein p1","rijswijk","boogaardplein-p1"
"booking.com headquarters","amsterdam","bookings"
"boom chicago","amsterdam","boom-chicago"
"boschstraat oost ii","maastricht","boschstraat-oost-ii"
"brabanthallen exhibition centre","s-hertogenbosch","brabanthallen-exhibition-centre"
"breuninkhof golf","bussloo","breuninkhof-golf"
"broekpolder golfclub","vlaardingen","broekpolder-golf"
"broerenstraat","arnhem","cityparking"
"brugse vaart golfbaan","oostburg","brugse-vaart-golf"
"brunssummerheide gc","brunssum","brunssummerheide-golf"
"burgers' zoo","arnhem","burgers--zoo"
"burggolf purmerend","pumerend","purmer-golf"
"byzantium","amsterdam","byzantium"
"capelle aan den ijssel golf","capelle a/d ijssel","capelle-aan-den-ijssel-golf"
"cartoonmuseum groningen","groningen","cartoonmuseum-groningen"
"central museum","utrecht","central-museum"
"centrum beeldende kunst","emmen","centrum-beeldende-kunst-emmen"
"centrum beeldende kunst","groningen","centrum-beeldende-kunst"
"centrum voor natuur en landschap","terschelling","centrum-voor-natuur-en-landschap"
"centrumgarage","hoofddorp","centrumgarage"
"ceramique noord","maastricht","ceramique-noord"
"chabot museum","rotterdam","chabot-museum"
"chassé theater","breda","chasse-theater"
"childrenbooks museum","den haag","childrenbooks-museum"
"circuit park zandvoort","zandvoort","circuitparkzandvoort"
"circus zandvoort","zandvoort","circus-zandvoort"
"circustheater","scheveningen","circustheater"
"circustheatre","den haag","circustheatre"
"city museum zutphen","zutphen","city-museum-zutphen"
"city parking","den haag","city-parking"
"city zuid","groningen","city-zuid"
"citygallery heerlen","heerlen","citygallery-heerlen"
"citymuseum doetinchem","doetinchem","citymuseum-doetinchem"
"cobra museum","amstelveen","cobra-museum"
"compagnie golfclub","veendam","compagnie-golf"
"corio center","heerlen","corio-center"
"cristalmuseum","borculo","cristalmuseum"
"cromstrijen golfclub","numansdorp","cromstrijen-golf"
"crossmoor golf","weert","crossmoor-golf"
"culinair museum","amersfoort","culinair-museum"
"daf museum","eindhoven","daf-museum"
"dam square","&nbsp;","dam-square"
"de balie","amsterdam","de-balie"
"de brink","hengelo","de-brink"
"de colonel","maastricht","de-colonel"
"de  efteling","kaatsheuvel","efteling"
"de goudse schouwburg","gouda","de-goudse-schouwburg"
"de griend","maastricht","de-griend"
"de hallen","haarlem","de-hallen"
"de heelsumse golfclub","renkum","de-heelsumse-golfclub"
"de klomp","heerlen","de-klomp"
"de koepel golfclub","wierden","de-koepel-golf"
"de meervaart","amsterdam","de-meervaart"
"de oranjerie","roermond","de-oranjerie"
"de stok golfbaan","roosendaal","de-stok-golf"
"de zaanse schans","zaandam","de-zaanse-schans"
"delfland golfbaan","schipluiden","golfbaan-delfland"
"derlon","maastricht","derlon"
"deventer schouwburg","deventer","deventer-schouwburg"
"dierenpark amersfoort","amersfoort","dierenpark-amersfoort"
"diergaarde blijdorp","rotterdam","diergaarde-blijdorp"
"do and activitycenter ecoscope","renesse","do-and-activitycenter-ecoscope"
"dolfinarium harderwijk","harderwijk","dolfinarium-harderwijk"
"dolls and toys museum tilburg","tilburg","dolls-and-toys-museum-tilburg"
"dom tower","utrecht","dom-tower"
"domburgsche golfclub","domburg","domburgsche-golf"
"dommel golfclub","st michielsgestel","de-dommel-golf"
"doorhout mees golfbaan","biddinghuizen","doorhout-mees-golf"
"dorpswaard golfclub","kerkdriel","dorpswaard-golf"
"drents museum","assen","drents-museum"
"drentsche golf","zijerveen","drentsche-golf"
"driene golf","hengelo","driene-golf"
"dronten golf residentie","dronten","golf-residentie-dronten"
"dsb stadion","alkmaar","dsb-stadion"
"duinzicht golf","'s-gravenhage","duinzicht-golf"
"dutch cheesemuseum","alkmaar","dutch-cheesemuseum"
"dutch military coastdefensemuseum","hoek van holland","dutch-military-coastdefensemuseum"
"dutch museum of photography","rotterdam","dutch-museum-of-photography"
"dutch open air museum","arnhem","dutch-open-air-museum"
"dutch steammachine","medemblik","dutch-steammachine"
"dutch textile musem","tilburg","dutch-textile-musem"
"dutch winemuseum arnhem","arnhem","dutch-winemuseum-arnhem"
