"country","capital","population"
"saint helena","jamestown","7266"
"saint kitts and nevis","basseterre","38756"
"saint lucia","castries","158178"
"saint pierre and miquelon","saint-pierre","6928"
"saint vincent and the grenadines","kingstown","115942"
"samoa","apia","179058"
"san marino","san marino","27336"
"sao tome and principe","sao tome","165034"
"saudi arabia","riyadh","22757092"
"senegal","dakar","10284929"
"seychelles","victoria","79715"
"sierra leone","freetown","5426618"
"singapore","singapore","4300419"
"slovakia","bratislava","5414937"
"slovenia","ljubljana","1930132"
"solomon islands","honiara","480442"
"somalia","mogadishu","7488773"
"south africa","pretoria","43586096"
"south georgia and the south sandwich islands","NULL","0"
"spain","madrid","40037996"
"sri lanka","colombo","19408636"
"sudan","khartoum","36080372"
"suriname","paramaribo","433998"
"svalbard","longyearbyen","2332"
"swaziland","mbabane","1104343"
"sweden","stockholm","8875053"
"switzerland","bern","7283274"
"syria","damascus","16728808"
