"province","ville","h&ocirc;pital","participation","option*"
"colombie-britannique","vancouver","vancouver general hospital","oui","3"
"&nbsp;","vancouver","richmond      general hospital","oui","3"
"&nbsp;","vancouver","lion&rsquo;s    gate","oui","3"
"&nbsp;","vancouver","powell river","oui","3"
"&nbsp;","vancouver","st.    mary&rsquo;s hospital","oui","3"
"&nbsp;","vancouver","squamish hospital","&nbsp;","3"
"&nbsp;","vancouver","victoria    general","&nbsp;","3"
"&nbsp;","vancouver","royal    jubilee","&nbsp;","&nbsp;"
"&nbsp;","vancouver","children&rsquo;s    and women&rsquo;s health center","&nbsp;","&nbsp;"
"alberta&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","calgary","peter lougheed","&nbsp;","&nbsp;"
"&nbsp;","calgary","rockyview general","&nbsp;","&nbsp;"
"&nbsp;","calgary","foothills hospital","&nbsp;","&nbsp;"
"&nbsp;","calgary","alberta children&rsquo;s hospital","oui","p&eacute;d&nbsp;ven&dagger;"
"&nbsp;","calgary","rockyview hospital","&nbsp;","&nbsp;"
"&nbsp;","edmonton","university of alberta hospital","oui","3"
"&nbsp;","edmonton","stollery children&rsquo;s hospital","oui","p&eacute;d&nbsp;ven&dagger;"
"saskatchewan","saskatoon","royal university     hospital","oui","3"
"manitoba","winnipeg","&nbsp;","oui","3"
"&nbsp;","winnipeg","universit&eacute; du manitoba maladies infectieuses p&eacute;diatriques","oui","p&eacute;d&nbsp;ven&dagger;"
"ontario","london","st. joseph&rsquo;s health care","&nbsp;","&nbsp;"
"&nbsp;","london","children&rsquo;s hospital of western      ontario","&nbsp;","&nbsp;"
"&nbsp;","london","victoria hospital","&nbsp;","&nbsp;"
"&nbsp;","london","university hospital","&nbsp;","&nbsp;"
"&nbsp;","toronto","toronto western     hospital","oui","3"
"&nbsp;","toronto","toronto general hospital","&nbsp;","&nbsp;"
"&nbsp;","toronto","princess margaret     hospital","&nbsp;","&nbsp;"
"&nbsp;","toronto","mount sinai hospital","oui","3"
"&nbsp;","toronto","sunnybrook health science centre","oui","1"
"&nbsp;","toronto","the hospital for sick children","oui","p&eacute;d&nbsp;ven&dagger;"
"&nbsp;","kingston","kingston general hospital","&nbsp;","&nbsp;"
"&nbsp;","hamilton","hamilton health sciences centre","oui","3"
"&nbsp;","hamilton","mcmaster site","non","&nbsp;"
"&nbsp;","hamilton","chedoke","non","&nbsp;"
"&nbsp;","hamilton","henderson &amp; general sites","non","&nbsp;"
"&nbsp;","hamilton","st. joseph&rsquo;s healthcare","oui","1"
"&nbsp;","ottawa","l&rsquo;h&ocirc;pital d&rsquo;ottawa","oui","(sept)"
"&nbsp;","ottawa","campus civic","oui","&nbsp;"
"&nbsp;","ottawa","institut g&eacute;n&eacute;ral et de cardiologie","oui","&nbsp;"
"&nbsp;","ottawa","centre hospitalier pour enfants de l'est de l'ontario","oui","p&eacute;d&nbsp;ven&dagger;"
"qu&eacute;bec","montr&eacute;al","h&ocirc;pital g&eacute;n&eacute;ral juif &ndash; smbd","oui","3"
"&nbsp;","montr&eacute;al","h&ocirc;pital de montr&eacute;al pour enfants","oui","p&eacute;d&nbsp;ven&dagger;"
"&nbsp;","montr&eacute;al","h&ocirc;pital maisonneuve-rosemont","&nbsp;","&nbsp;"
"&nbsp;","montr&eacute;al","h&ocirc;pital g&eacute;n&eacute;ral de montr&eacute;al","oui","3"
"&nbsp;","montr&eacute;al","h&ocirc;pital royal victoria","oui","3"
"&nbsp;","montr&eacute;al","institut neurologique de montr&eacute;al","oui","3"
"&nbsp;","montr&eacute;al","institut thoracique de montr&eacute;al","oui","3"
"&nbsp;","sherbrooke","chus h&ocirc;pital  fleurimont","non","&nbsp;"
"&nbsp;","qu&eacute;bec city","h&ocirc;tel-dieu de qu&eacute;bec du chuq","non","&nbsp;"
"nouveau-brunswick","moncton","the moncton hospital","oui","3"
"nouvelle-&eacute;cosse","halifax","qeii health sciences centre","oui","3"
"&nbsp;","halifax","iwk health centre","oui","p&eacute;d&nbsp;ven&dagger;"
"terre-neuve-et-labrador","st john&rsquo;s","health care corp. of st. john&rsquo;s general    &amp; miller sites","&nbsp;","&nbsp;"
"&nbsp;","st john&rsquo;s","janeway site","&nbsp;","&nbsp;"
"&nbsp;","st john&rsquo;s","st. clare site","&nbsp;","&nbsp;"
