"Country","University","Language"
"Austria","Karl                   Franzens Universitat Graz","German"
"Bosnia","University of Tuzla","Bosnian"
"France","Universit&eacute; de Sciences                  et Technologies de Lille","French"
"France","Universit&eacute; de Strasbourg","French"
"Germany","University                   of Bonn","German"
"Germany","Ruhr                   University Bochum","German"
"Germany","University                   of Stuttgart","German"
"Portugal","University of Coimbra","Portuguese"
"Romania","Alexandru Ioan Cuza University","Romanian"
"Spain","Universidad                   Autonoma de Madrid","Spanish"
"Spain","Universidad                   Complutense de Madrid","Spanish"
"Switzerland","University                   of Basel","German"
