"Country","Currency","","","",""
"","","","","",""
"Austria","EUR","Greece","EUR","Portugal","EUR"
"Belgium","EUR","Hungary","HUF","Romania","RON"
"Bulgaria","BGN","Ireland","EUR","Slovakia","SKK"
"Cyprus","EUR","Italy","EUR","Slovenia","EUR"
"Czech Republic","CZK","Latvia","LVL","Spain","EUR"
"Denmark","DKK","Lithuania","LTL","Sweden","SEK"
"Estonia","EEK","Luxembourg","EUR","Norway","NOK"
"Finland","EUR","Malta","EUR","United Kingdom","GBP"
"France","EUR","Netherlands","EUR","Iceland","ISK"
"Germany","EUR","Poland","PLN","Liechtenstein","CHF"
