"Company","Country","Market Value ($bil)","Sales ($bil)","Industry"
"LG Corp","South Korea","9.6","70.9","Conglomerate"
"Hon Hai Precision Industry","Taiwan","42.1","40.5","Technology Hardware & Equipment"
"BHP Billiton","Australia","156.5","39.5","Materials"
"China Mobile","China","216.5","37.1","Telecommunications Services"
"Woolworths","Australia","26.9","33.3","Food Markets"
"Reliance Industries","India","62.1","23.3","Oil & Gas Operations"
"Formosa Petrochemical","Taiwan","25.1","16.3","Oil & Gas Operations"
"Lenovo Group","China","5.1","14.5","Technology Hardware & Equipment"
"Noble Group","Hong Kong","2.8","13.7","Conglomerate"
"Yamada Denki","Japan","10.2","12.3","Retailing"
"Compal Electronics","Taiwan","4.0","11.7","Technology Hardware & Equipment"
"Acer","Taiwan","4.6","11.3","Technology Hardware & Equipment"
"CNOOC","China","47.7","11.2","Oil & Gas Operations"
"Minmetals Development","China","3.6","9.8","Trading Companies"
"Icici Bank","India","22.9","9.8","Banking"
"Taiwan Semiconductor Manufacturing","Taiwan","48.4","9.7","Semiconductors"
"Toyota Boshoku","Japan","5.6","9.2","Consumer Durables"
"Li & Fung","Hong Kong","11.4","8.7","Trading Companies"
"China Shenhua Energy","China","66.0","8.2","Materials"
"Nintendo","Japan","63.0","8.2","Technology Hardware & Equipment"
"Leighton Holdings","Australia","9.3","7.9","Construction"
"Cathay Pacific Airways","Hong Kong","10.4","7.8","Transportation"
"Neptune Orient Lines","Singapore","4.5","7.5","Transportation"
"Wistron","Taiwan","2.4","6.8","Technology Hardware & Equipment"
"Daewoo Shipbuilding & Marine","South Korea","11.2","6.2","Capital Goods"
