"S.No.","Company","Ticker in Domestic Exchange","Industry"
"1","Cargotec","CGCBV","industrial machinery"
"2","Elisa","ELI1V","integrated telecommunication services"
"3","Fortum","FUM1V","electric utilities"
"4","Kesko","KESBV","food retail"
"5","KONE","KNEBV","industrial machinery"
"6","Konecranes","KCR1V","industrial machinery"
"7","Metso","MEO1V","industrial machinery"
"8","Neste Oil","NES1V","oil and gas refining and marketing"
"9","Nokia","NOK1V","communications equipment"
"10","Nokian Tyres","NRE1V","tyres and rubber"
"11","Nordea AB","NDA1V","diversified banks"
"12","Orion Corporation","ORNBV","pharmaceuticals"
"13","Outokumpu","OUT1V","steel"
"14","Outotec","OTE1V","construction and engineering"
"15","Pohjola Bank","POH1S","other diversified financial services"
"16","Rautaruukki","RTRKS","steel"
"17","Sampo","SAMAS","multi-line insurance"
"18","Sanoma","SAA1V","publishing"
"19","Stora Enso","STERV","paper products"
"20","Talvivaara Mining Company","TLV1V","diversified metals and mining"
"21","TeliaSonera AB","TLS1V","integrated telecommunication services"
"22","Tieto","TIE1V","IT consulting & other services"
"23","UPM","UPM1V","paper products"
"24","W?rtsil","WRTBV","industrial machinery"
"25","YIT","YTY1V","construction and engineering"
