"Rank","Company","Industry"
"10","Actuant","Capital Goods"
"89","Acuity Brands","Capital Goods"
"34","Advance Auto Parts","Retail"
"2","Aeropostale","Retail"
"23","Affiliated Managers Group","Financial"
"26","Amerigroup","Healthcare"
"19","Anixter International","Wholesale Distributors"
"95","AO Smith","Capital Goods"
"74","Applied Industrial Technologies","Capital Goods"
"84","AptarGroup","Materials"
"47","Astec Industries","Capital Goods"
"62","Baldor Electric","Capital Goods"
"54","Barnes Group","Wholesale Distributors"
"53","Belden","Technology"
"61","Brady","Capital Goods"
"31","Bright Horizons Family Solutions","Business Services"
"80","Brinker International","Retail"
"16","Brown & Brown","Financial"
"82","Cabela's","Retail"
"73","Carlisle Cos","Capital Goods"
"92","Casey's General Stores","Retail"
"94","Charles River Labs","Healthcare"
"39","Church & Dwight","Household Products"
"21","CommScope","Capital Goods"
"60","Copart","Business Services"
