"1","lincoln park mi","4interested"
"2","dubai united arab emirates","2interested"
"3","ashburn va","1interested"
"4","east greenbush ny","1interested"
"5","east providence ri","1interested"
"6","falls church va","1interested"
"7","farmington mi","1interested"
"8","jacksonville nc","1interested"
"9","london united kingdom","1interested"
"10","los angeles ca","1interested"
"11","manchester nh","1interested"
"12","mesa az","1interested"
"13","palo alto ca","1interested"
"14","pembroke pines fl","1interested"
"15","providence ri","1interested"
"16","rio rancho nm","1interested"
"17","rochester ny","1interested"
"18","santee ca","1interested"
"19","wesley chapel fl","1interested"
