"5&nbsp;x&nbsp;","rose chalcedony diamond cuff by raymond hak"
"7&nbsp;x&nbsp;","incredible sapphire & diamond bracelet in 18k gold"
"4&nbsp;x&nbsp;","italian 18k gold white & enhanced black diamond bracelet"
"2&nbsp;x&nbsp;","spectacular diamond & sapphire clasp for double pearl strands"
"1&nbsp;x&nbsp;","diamond cuff bracelet from leslie greene"
"2&nbsp;x&nbsp;","adorable diamond earrings"
"2&nbsp;x&nbsp;","18k gold cognac diamond earrings"
"1&nbsp;x&nbsp;","chic sterling silver earrings with diamond accents"
"1&nbsp;x&nbsp;","soho's foliage diamond cashmere pin"
"1&nbsp;x&nbsp;","dainty diamond neckklace from nanis"
"1&nbsp;x&nbsp;","18k gold & platinum baguette mounting"
"8&nbsp;x&nbsp;","italian 18k gold yellow sapphire ring"
"7&nbsp;x&nbsp;","magnificent aquamarine and diamond ring"
"1&nbsp;x&nbsp;","beautiful sapphire and pearl earrings from eli jewels"
"3&nbsp;x&nbsp;","18k gold iolite euro-wire earrings"
"1&nbsp;x&nbsp;","delicious smoky topaz bonbon necklace from nanis"
"2&nbsp;x&nbsp;","chalcedony and diamond pendant from raymond hak"
"1&nbsp;x&nbsp;","colorful dangling earrings"
"1&nbsp;x&nbsp;","raymond hak's rose chalcedony and diamond pendant"
"1&nbsp;x&nbsp;","sterling silver earrings with garnet"
"1&nbsp;x&nbsp;","rose chalcedony diamond earrings from raymond hak"
"1&nbsp;x&nbsp;","mother of pearl black onyx & diamond earrings"
