"Strong's Number","Strong's Name","Hebrew Text and Scripture"
"6741","Tsillah","ZillahGen 4:19 Gen 4:22 Gen 4:23"
"6742","tsluwl","{cakeJud 7:13|The Following Have Multiple Hebrew Words Associated To A Single English Word Jud 7:13}"
"6743","tsalach","{cameJud 14:19 1 Sam 10:10 1 Sam 11:6 1 Sam 16:13 1 Sam 18:10|come1 Sam 10:6|effected2 Chr 7:11|goodJer 13:10|meetEze 15:4|mightilyJud 14:6 Jud 15:14|outAmos 5:6|over2 Sam 19:17|profitableJer 13:7|prosperGen 24:40 Gen 24:42 Gen 39:3 Gen 39:23 Num 14:41 Deu 28:29 1 Ki 22:12 1 Ki 22:15 1 Chr 22:11 1 Chr 22:13 2 Chr 13:12 2 Chr 18:11 2 Chr 18:14 2 Chr 20:20 2 Chr 24:20 2 Chr 26:5 Neh 1:11 Neh 2:20 Psa 1:3 Prov 28:13 Isa 53:10 Isa 54:17 Isa 55:11 Jer 2:37 Jer 5:28 Jer 12:1 Jer 22:30 Jer 22:30 Jer 32:5 Eze 16:13 Eze 17:9 Eze 17:10 Eze 17:15 Dan 8:24 Dan 8:25 Dan 11:27 Dan 11:36|prosperedGen 24:56 1 Chr 29:23 2 Chr 14:7 2 Chr 31:21 2 Chr 32:30 Dan 8:12|prosperethPsa 37:7|prosperityPsa 118:25|prosperousGen 24:21 Gen 39:2 Jos 1:8 Jud 18:5 Isa 48:15|prosperouslyPsa 45:4}"
"6744","tslach","{promotedDan 3:30|prosperedEzr 6:14 Dan 6:28|prosperethEzr 5:8}"
"6745","tselachah","pans2 Chr 35:13"
"6746","tslochiyth","cruse2 Ki 2:20"
"6747","tsallachath","{bosomProv 19:24 Prov 26:15|dish2 Ki 21:13}"
"6748","tsaliy","roastExo 12:8 Exo 12:9 Isa 44:16"
"6749","tsalal","sankExo 15:10"
"6750","tsalal","{quiveredHab 3:16|tingle1 Sam 3:11 2 Ki 21:12 Jer 19:3}"
