"Help","Property","Value"
"Package Size/Form FactorClose Info","Package Size","20mm"
"This is the maximum continuous sinusoidal voltage which may be applied to the MOV.  This voltage may be applied at any temperature up to the maximum operating temperature of 85?C.Close Info","VMAX AC (V)","140"
"This is the maximum continuous DC voltage which may be applied to the device.Close Info","Max Rated DC Voltage","180"
"This is the maximum rated transient energy which may be dissipated for a single current pulse at a specified impulse and duration (2?s) with the rated VRMS applied without causing device failure.Close Info","Surge Energy (WTM) (J)","110"
"This is the maximum peak current which may be applied for an 8x20?s impulse with rated line voltage also applied without causing greater than 10% shift in nominal voltage.Close Info","Peak Pulse Current (ITM) 1xAmps (A)","10000"
"This is the maximum peak current which may be applied for an 8x20?s impulse with rated line voltage also applied without causing greater than 10% shift in nominal voltage.Close Info","Peak Pulse Current (ITM) 2xAmps (A)","6500"
"This is the voltage at which the device changes from the off state to the on state and enters its conduction mode of operation.  This voltage is characterized at the ImA point and has specified minimum and maximum voltage ratings.Close Info","Nominal DC Voltage (VNDC) (V)","220"
"This is the minimum voltage at which the device changes from the off state to the on state and enters its conduction mode of operation.  This voltage is characterized at the 1mA point and has specified minimum and maximum voltage ratings.Close Info","VNDC MIN (V)","200"
"This is the peak voltage appearing across the MOV when measured at conditions of specified pulse current amplitude and specified waveform (8x20?s).Close Info","Max Clamp Voltage (Vc)  (V)","360"
"This is the maximum voltage at which the device changes from the off state to the on state and enters its conduction mode of operation.  This voltage is characterized at the 1mA point and has specified minimum and maximum voltage ratings.Close Info","VNDC MAX (V)","240"
