"NULL","Nom GDP","PPP","Currency"
"Country","US$ bn","$ per capita","NULL"
"Armenia","9.4","5100","Dram"
"Azerbaijan","54.4","10062","Manat"
"Belarus","54.7","13873","Ruble"
"Georgia","11.7","5074","Lari"
"Kazakhstan","148","12014","Tenge"
"Kyrgyz Republic","4.6","2200","Som"
"Moldova","5.8","3092","Leu"
"Russia","1480.0","15611","Ruble"
"Tajikistan","5.6","1923","Somoni"
"Turkmenistan","20.0","6804","Manat"
"Ukraine","137.9","6697","Hryvnia"
"Uzbekistan","39.0","3048","Soum"
"Source: International Monetary Fund 2010 estimates","Source: International Monetary Fund 2010 estimates","Source: International Monetary Fund 2010 estimates","Source: International Monetary Fund 2010 estimates"
