"{|podicipediformes}","{|hab1}","{|hab2}","{|sp}","{|su}","{|fa}","{|wi}"
"{|pied-billed grebe}","{|ma}","{|la}","{|c}","{|o}","{|c}","{|r}"
"{|horned grebe}","{|la}","","","","{|u}","{|u}"
"{|pelecaniformes}","{|hab1}","{|hab2}","{|sp}","{|su}","{|fa}","{|wi}"
"{|american white pelican}","{|ma}","{|la}","","","{|u}",""
"{|double-crested cormorant}","{|la}","{|ma}","{|c}","","{|c}",""
"{|ciconiiformes}","{|hab1}","{|hab2}","{|sp}","{|su}","{|fa}","{|wi}"
"{|american bittern}","{|ma}","{|la}","{|r}","{|r}","",""
"{|least bittern}","{|ma}","{|sw}","{|c}","{|c}","",""
"{|great blue heron}","{|ma}","{|la}","{|c}","{|c}","{|c}","{|o}"
"{|great egret}","{|la}","{|ma}","{|c}","{|c}","{|c}","{|r}"
"{|snowy egret}","{|la}","{|ma}","{|r}","","{|r}",""
"{|little blue heron}","{|la}","{|ma}","{|c}","{|c}","{|c}",""
"{|cattle egret}","{|ma}","{|la}","{|u}","","{|u}",""
"{|green-backed heron}","{|ma}","{|la}","{|c}","{|c}","{|c}",""
"{|black-crowned night-heron}","{|sw}","{|ma}","{|u}","{|u}","{|u}",""
"{|yellow-crowned night-heron}","{|ma}","{|sw}","{|c}","{|c}","{|c}",""
"{|anseriformes}","{|hab1}","{|hab2}","{|sp}","{|su}","{|fa}","{|wi}"
"{|tundra swan}","{|la}","","","","{|r}",""
"{|greater white-fronted goose}","{|la}","{|ma}","{|u}","","{|u}",""
"{|snow goose}","{|la}","{|ma}","{|a}","","{|a}","{|a}"
"{|canada goose}","{|la}","{|ma}","{|c}","","{|a}","{|a}"
"{|wood duck}","{|st}","{|sw}","{|a}","{|a}","{|a}","{|o}"
"{|green-winged teal}","{|la}","{|ma}","{|c}","","{|c}","{|o}"
"{|american black duck}","{|la}","{|ma}","{|u}","","{|u}","{|r}"
"{|mallard}","{|ma}","{|la}","{|a}","{|a}","{|a}","{|a}"
"{|northern pintail}","{|la}","{|ma}","{|c}","","{|c}","{|u}"
"{|northern shoveler}","{|la}","{|ma}","{|c}","","{|c}",""
"{|gadwall}","{|la}","{|ma}","{|c}","","{|c}","{|r}"
"{|american widgeon}","{|ma}","{|la}","{|c}","{|c}","{|c}","{|u}"
"{|canvasback}","{|la}","{|st}","{|c}","","{|o}","{|c}"
"{|redhead}","{|la}","{|st}","{|c}","","{|c}","{|o}"
"{|ring-necked duck}","{|la}","","{|c}","","{|c}","{|u}"
"{|greater scaup}","{|la}","{|st}","{|r}","","{|r}",""
"{|lesser scaup}","{|la}","{|st}","{|c}","","{|c}","{|r}"
"{|common goldeneye}","{|la}","{|st}","{|c}","","{|o}","{|c}"
"{|bufflehead}","{|la}","{|st}","{|c}","","{|c}","{|u}"
"{|hooded merganser}","{|la}","{|sw}","{|o}","","{|o}","{|o}"
"{|common merganser}","{|la}","{|st}","{|c}","","","{|c}"
"{|red-breasted merganser}","{|la}","","{|r}","","{|r}","{|r}"
"{|ruddy duck}","{|la}","","{|c}","","{|c}","{|u}"
"{|falconiformes}","{|hab1}","{|hab2}","{|sp}","{|su}","{|fa}","{|wi}"
"{|turkey vulture}","{|uh}","{|bl}","{|c}","{|c}","{|c}",""
"{|osprey}","{|la}","{|st}","{|c}","","{|c}",""
"{|bald eagle}","{|la}","{|st}","{|c}","","{|c}","{|c}"
"{|northern harrier}","{|ng}","{|cr}","{|u}","","{|u}",""
"{|sharp-shinned hawk}","{|uh}","{|ed}","{|o}","","{|u}","{|u}"
"{|cooper's hawk}","{|uh}","{|bh}","{|u}","{|u}","{|u}","{|u}"
"{|northern goshawk}","{|uh}","{|bh}","","","{|o}","{|o}"
"{|red-shouldered hawk}","{|bh}","","{|u}","","{|u}",""
"{|broad-winged hawk}","{|uh}","","{|c}","{|c}","{|c}",""
"{|red-tailed hawk}","{|uh}","{|ed}","{|c}","{|c}","{|c}","{|c}"
"{|rough-legged hawk}","{|cr}","","","","{|u}","{|u}"
"{|golden eagle}","{|la}","","{|r}","","{|r}","{|r}"
"{|american kestrel}","{|ed}","","{|c}","{|c}","{|c}","{|c}"
"{|merlin}","{|ed}","{|ng}","","","{|r}",""
"{|peregrine falcon}","{|la}","{|ma}","{|r}","","","{|r}"
"{|prairie falcon}","{|ng}","{|cr}","","","","{|r}"
"{|galliformes}","{|hab1}","{|hab2}","{|sp}","{|su}","{|fa}","{|wi}"
"{|wild turkey}","{|uh}","{|bh}","{|c}","{|c}","{|c}","{|c}"
"{|northern bobwhite}","{|ed}","{|cr}","{|c}","{|c}","{|c}","{|c}"
"{|gruiformes}","{|hab1}","{|hab2}","{|sp}","{|su}","{|fa}","{|wi}"
"{|king rail}","{|ma}","","{|r}","{|r}","{|r}",""
"{|sora}","{|ma}","{|la}","{|c}","{|c}","{|u}",""
"{|common moorhen}","{|ma}","","{|r}","{|r}","{|r}",""
"{|american coot}","{|ma}","{|la}","{|a}","{|o}","{|c}","{|r}"
"{|charadriiformes}","{|hab1}","{|hab2}","{|sp}","{|su}","{|fa}","{|wi}"
"{|black-bellied plover}","{|bg}","{|ma}","{|r}","","{|r}",""
"{|lesser golden plover}","{|bg}","{|la}","{|r}","","{|r}",""
"{|semipalmated plover}","{|la}","{|ma}","{|c}","","{|c}",""
"{|killdeer}","{|bg}","{|la}","{|c}","{|c}","{|c}","{|o}"
"{|greater yellowlegs}","{|ma}","{|la}","{|c}","","{|c}",""
"{|lesser yellowlegs}","{|ma}","{|la}","{|c}","","{|c}",""
"{|solitary sandpiper}","{|ma}","{|la}","{|u}","{|u}","{|u}",""
"{|willet}","{|la}","{|ma}","{|r}","","{|r}",""
"{|spotted sandpiper}","{|st}","{|la}","{|u}","{|u}","{|c}",""
"{|semipalmated sandpiper}","{|ma}","{|la}","{|c}","","{|c}",""
"{|western sandpiper}","{|ma}","{|la}","{|r}","","{|r}",""
"{|least sandpiper}","{|ma}","{|la}","{|c}","","{|c}",""
"{|white-rumped sandpiper}","{|ma}","{|la}","{|r}","","{|r}",""
"{|baird's sandpiper}","{|ma}","{|la}","{|r}","","{|r}",""
"{|pectoral sandpiper}","{|ma}","{|la}","{|c}","","{|c}",""
"{|dunlin}","{|ma}","{|la}","{|r}","","{|r}",""
"{|stilt sandpiper}","{|ma}","{|la}","{|o}","","{|o}",""
"{|buff-breasted sandpiper}","{|ma}","{|la}","","","{|r}",""
"{|short-billed dowitcher}","{|ma}","{|la}","{|o}","","{|o}",""
"{|common snipe}","{|ma}","","{|c}","","{|c}","{|r}"
"{|american woodcock}","{|ed}","{|bh}","{|c}","{|c}","",""
"{|wilson's phalarope}","{|la}","{|ma}","{|r}","","{|r}",""
"{|red-necked phalarope}","{|la}","{|ma}","","","{|r}",""
"{|franklin's gull}","{|la}","{|cr}","{|u}","","{|u}",""
"{|bonaparte's gull}","{|la}","{|st}","{|u}","","{|u}",""
"{|ring-billed gull}","{|la}","{|st}","{|a}","{|o}","{|a}","{|a}"
"{|herring gull}","{|la}","{|st}","{|c}","","{|c}","{|a}"
"{|caspian tern}","{|la}","{|st}","{|c}","","{|c}",""
"{|common tern}","{|la}","{|st}","{|u}","","{|u}",""
"{|forster's tern}","{|la}","{|ma}","{|u}","","{|u}",""
"{|black tern}","{|la}","{|ma}","{|c}","","{|c}",""
"{|columbiformes}","{|hab1}","{|hab2}","{|sp}","{|su}","{|fa}","{|wi}"
"{|rock dove}","{|ur}","{|cr}","{|c}","{|c}","{|c}","{|c}"
"{|mourning dove}","{|ed}","{|ts}","{|a}","{|a}","{|a}","{|c}"
"{|cuculiformes}","{|hab1}","{|hab2}","{|sp}","{|su}","{|fa}","{|wi}"
"{|black-billed cuckoo}","{|uh}","{|ts}","{|u}","","{|u}",""
"{|yellow-billed cuckoo}","{|uh}","{|ed}","{|c}","{|c}","{|c}",""
"{|strigiformes}","{|hab1}","{|hab2}","{|sp}","{|su}","{|fa}","{|wi}"
"{|eastern screech owl}","{|uh}","{|bh}","{|c}","{|c}","{|c}","{|c}"
"{|great horned owls}","{|uh}","{|bh}","{|c}","{|c}","{|c}","{|c}"
"{|barred owl}","{|bh}","{|uh}","{|c}","{|c}","{|c}","{|c}"
"{|long-eared owl}","{|co}","{|ed}","","","","{|r}"
"{|short-eared owl}","{|ng}","","","","","{|r}"
"{|northern saw-whet owl}","{|ts}","{|ed}","","","","{|r}"
"{|caprimulgiformes}","{|hab1}","{|hab2}","{|sp}","{|su}","{|fa}","{|wi}"
"{|common nighthawk}","{|ur}","{|bg}","{|o}","{|o}","",""
"{|whip-poor-will}","{|uh}","{|bh}","{|c}","{|c}","",""
"{|apodiformes}","{|hab1}","{|hab2}","{|sp}","{|su}","{|fa}","{|wi}"
"{|chimney swift}","{|ur}","","{|c}","{|c}","{|c}",""
"{|ruby-throated hummingbird}","{|ed}","{|uh}","{|c}","{|c}","{|c}",""
"{|coraciiformes}","{|hab1}","{|hab2}","{|sp}","{|su}","{|fa}","{|wi}"
"{|belted kingfisher}","{|st}","{|la}","{|c}","{|c}","{|c}","{|c}"
"{|piciformes}","{|hab1}","{|hab2}","{|sp}","{|su}","{|fa}","{|wi}"
"{|red-headed woodpecker}","{|ed}","{|uh}","{|c}","{|c}","{|c}","{|c}"
"{|red-bellied woodpecker}","{|uh}","{|bh}","{|c}","{|c}","{|c}","{|c}"
"{|yellow-bellied sapsucker}","{|uh}","{|bh}","{|u}","{|u}","{|u}","{|u}"
"{|downy woodpecker}","{|uh}","{|bh}","{|a}","{|a}","{|a}","{|a}"
"{|hairy woodpecker}","{|uh}","{|bh}","{|c}","{|c}","{|c}","{|c}"
"{|northern flicker}","{|ed}","{|uh}","{|a}","{|c}","{|c}","{|c}"
"{|pileated woodpecker}","{|bh}","{|uh}","{|c}","{|c}","{|c}","{|c}"
