"Country","University","Language"
"Bosnia &amp; Herz.","University of Sarajevo","Bosnian"
"Bosnia &amp; Herz.","University of Tuzla","Bosnian"
"France","Universit&eacute; Catholique de l'Ouest","French"
"France","Universit&eacute; de Sciences et Technologies de Lille","French"
"Germany","University                   of Stuttgart","German"
"Mexico","Universidad Iberoamericana","Spanish"
"Mexico","Centro                   de Investigaci&oacute;n y Docencia Econ&oacute;micas (CIDE)","Spanish"
"Romania","Alexandru Ioan Cuza University","Romanian (MBA in English)"
"Spain","Universidad                   Autonoma de Madrid","Spanish"
"Spain","Universidad                   Complutense de Madrid","Spanish"
"Switzerland","University                   of Basel","German"
