"file","size","date/time","artist","title","year","album","comment","length","bi..","c..","s.."
"low_back_home_again.mp3","5.1","02.02.05 02:28:49","low mp3","back home again mp3","NULL","badman winter 2001-2002 sample mp3","NULL","0:05:21","128","s","44"
"clyde stubblefield - way back home.m","8.3","02.05.16 15:06:28","NULL","NULL","NULL","NULL","NULL","0:08:41","128","s","44"
"robert frith - the way back home.mp3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"10 - listen to me.mp3","3.3","03.11.24 01:14:01","cleaver smith & swenson mp3","listen to me mp3","NULL","back home again mp3","NULL","NULL","NULL","NULL","NULL"
"14 - the water is wide.mp3","4.5","03.11.24 01:23:06","cleaver smith & swenson mp3","the water is wide mp3","NULL","back home again mp3","NULL","NULL","NULL","NULL","NULL"
"08 - queen of my heart.mp3","2.4","03.11.24 01:09:54","cleaver smith & swenson mp3","queen of my heart mp3","NULL","back home again mp3","NULL","NULL","NULL","NULL","NULL"
"don_whaley_sing_me_back_home.mp3","3.9","02.03.05 16:57:36","artist mp3","track 07 mp3","NULL","title mp3","NULL","0:04:09","128","s","44"
"go_back_home_-_catch_me_when_i_fall.","3.0","NULL","go back home mp3","catch me when i fall mp3","NULL","NULL","NULL","0:03:12","128","s","44"
"a_way_back_home.mp3","4.6","00.04.02 21:02:35","voodoo sex stuff mp3","a way back home mp3","1999","NULL","www.voodoosexstuff.c","0:04:50","128","s","44"
"roger_mauerhofer-on_my_way_back_home","3.8","02.03.21 19:51:21","roger mauerhofer mp3","on my way back home mp3","NULL","demos mp3","NULL","0:04:00","128","s","44"
"event_project_-_come_back_home.mp3","0.7","NULL","event project mp3","come back home mp3","NULL","NULL","NULL","0:00:47","128","s","44"
"kingofyourworld.mp3","2.1","01.02.18 05:27:51","jeff taylor mp3","king of your world mp3","1999","back home someday mp3","http://musicians.rif","0:02:16","128","s","44"
"only one way back home.mp3","8.4","03.11.25 22:49:37","dr.slide (www.dr-slide.com) mp3","only one way back home mp3","2003","lucky lips mp3","NULL","NULL","NULL","NULL","NULL"
"road to the back home.mp3","1.7","03.03.03 01:12:38","NULL","NULL","NULL","NULL","NULL","0:01:49","128","s","44"
"heart of stone.mp3","4.5","02.05.23 10:07:42","big fat mama mp3","heart of stone mp3","NULL","goin' back home mp3","time=04:45","0:04:44","128","s","44"
"03 - now our love is here to stay.mp","2.3","03.11.24 00:59:57","cleaver smith & swenson mp3","now our love is here to stay mp3","NULL","back home again mp3","NULL","NULL","NULL","NULL","NULL"
"walking my baby back home.mp3","2.6","02.06.20 17:13:10","walking my baby back home mp3","walking my baby back home mp3","2002","big ideas mp3","NULL","0:03:11","112","s","44"
"born with the boogie.mp3","3.7","02.05.23 10:16:10","big fat mama mp3","born with the boogie mp3","NULL","goin' back home mp3","time=03:56","0:03:55","128","s","44"
"back_home_usa.mp3","1.4","01.10.03 18:18:55","buddy ebsen mp3","back_home_usa mp3","NULL","buddy's originals mp3","NULL","0:01:28","128","s","44"
"backhome.mp3","1.5","03.04.23 23:33:07","purdue marching band with jim na mp3","back home again in indiana mp3","NULL","NULL","NULL","0:01:39","128","s","44"
"way back home.mp3","0.5","03.03.02 21:09:09","NULL","NULL","NULL","NULL","NULL","0:01:13","64","s","22"
"whitline.mp3","4.3","03.03.25 20:45:10","mr jones mp3","white line of the highway mp3","1999","back home again mp3","NULL","0:04:29","128","s","44"
"indiana_part.mp3","1.0","02.04.01 18:14:49","dixie royales mp3","back home again in indiana mp3","NULL","royales dixieland mp3","NULL","0:00:52","160","s","44"
"02 - waiting for jesus (to send her","2.7","03.11.24 00:58:35","cleaver smith & swenson mp3","waiting for jesus (to send her mp3","NULL","back home again mp3","NULL","NULL","NULL","NULL","NULL"
"dion knibb and the agitators - welco","1.1","03.01.30 17:11:54","dion knibb and the agitators (fe mp3","welcome you back home mp3","NULL","driving me mad! mp3","a60a300d","0:03:03","48","m","32"
"songfoll.mp3","2.9","03.03.25 20:03:40","mr jones mp3","song for oll mp3","1999","back home again mp3","NULL","0:03:01","128","s","44"
"back_home_without_the_stuff_i_needed","4.1","02.03.30 14:57:01","NULL","NULL","NULL","NULL","NULL","0:04:17","128","s","44"
"back_home_at_biscome_city_tl_mix_128","6.5","02.08.08 20:54:05","NULL","NULL","NULL","NULL","NULL","0:06:47","128","s","44"
"marcos_lopez_back_home.mp3","0.9","01.06.11 14:04:40","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"back_home_at_biscome_city_tl_mix_32.","1.6","02.08.08 20:56:34","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"06 - blackberry winter.mp3","2.9","03.11.24 01:07:20","cleaver smith & swenson mp3","blackberry winter mp3","NULL","back home again mp3","NULL","NULL","NULL","NULL","NULL"
"back_home_at_biscome_city_ba_mix_32.","1.5","02.08.08 20:44:04","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"whenigetbackhome.mp3","3.5","01.12.16 10:23:43","julian shaw mp3","when i get back home mp3","NULL","four track death wish mp3","excellent","0:03:44","NULL","NULL","NULL"
"back homemp3.mp3","1.6","02.08.06 20:35:39","NULL","back home mp3","NULL","NULL","NULL","0:03:56","56","s","22"
"09 - honestly.mp3","3.6","03.11.24 01:12:02","cleaver smith & swenson mp3","honestly mp3","NULL","back home again mp3","NULL","NULL","NULL","NULL","NULL"
