"Country","Currency","Chexx Inc. Services Available","Chexx Inc. Services Available"
"Australia (AU)","Dollar / AUD","Checks","E-Payments"
"Austria (AT)","Euro / EUR","Checks","E-Payments"
"Belgium (BE)","Euro / EUR","Checks","E-Payments"
"Brazil (BR)","Real / BRL","Checks","E-Payments"
"Canada (CA)","Dollar / CAD","Checks","E-Payments"
"Czech Republic (CZ)","Koruna / CZK","Checks","E-Payments*"
"Denmark (DK)","Krone / DKK","Checks","E-Payments*"
"Estonia (EE)","Kroon / EEK","Checks","E-Payments*"
"Finland (FI)","Euro / EUR","Checks","E-Payments"
"France (FR)","Euro / EUR","Checks","E-Payments"
"Germany (DE)","Euro / EUR","Checks","E-Payments"
"Great Britain (GB)","Pound Sterling / GBP","Checks","E-Payments"
"Greece (GR)","Euro / EUR","Checks","E-Payments"
"Hong Kong (HK)","Dollar / HKD","Checks","E-Payments"
"Hungary (HU)","Forint / HUF","Checks","E-Payments*"
"Iceland (IS)","Krona / ISK","Checks","E-Payments*"
"India (IN)","Rupee / INR","Checks","E-Payments"
"Ireland (IE)","Euro / EUR","Checks","E-Payments"
"Italy (IT)","Euro / EUR","Checks","E-Payments"
"Luxembourg (LU)","Euro / EUR","Checks","E-Payments"
"Malaysia (MY)","Ringgit / MYR","Checks","E-Payments"
"Mexico (MX)","Peso / MXN","Checks","E-Payments"
"Netherlands (NL)","Euro / EUR","Checks","E-Payments"
"New Zealand (NZ)","Dollar / NZD","Checks","E-Payments"
"Norway (NO)","Kroner / NOK","Checks","E-Payments*"
"Poland (PL)","Zloty / PLN","Checks","E-Payments"
"Portugal (PT)","Euro / EUR","Checks","E-Payments"
"Singapore (SG)","Dollar / SGD","Checks","E-Payments"
"Slovenia (SI)","Euro / EUR","Checks","E-Payments"
"Slovak Republic (SK)","Euro / EUR","Checks","E-Payments"
"South Africa (ZA)","Rand / ZAR","Checks","E-Payments"
"Spain (ES)","Euro / EUR","Checks","E-Payments"
"Sweden (SE)","Krone / SEK","Checks","E-Payments"
"Switzerland (CH)","Franc / CHF","Checks","E-Payments*"
"Thailand (TH)","Bhat / THB","Checks","E-Payments"
"U.S.A. (US)","Dollar / USD","Checks","E-Payments"
