"institution","location","degrees"
"adams state college (geology)","alamosa","ba bs"
"adrian college (geology)","adrian","ba bs"
"albion college (geology)","albion","ba"
"alfred university (geology)","alfred","ba"
"allegheny college (geology)","meadville","ba bs"
"amherst college (geology)","amherst","ba"
"appalachian state university (geology)","boone","ba bs"
"appalachian state university (geography)","boone","certificate ba bs ma"
"aquinas college (geography)","grand rapids","ba bs"
"arizona state university (geology)","tempe","ba bs ms phd"
"arizona state university (geography)","tempe","certificate ba bs ms phd"
"arkansas state university - jonesboro (geography)","jonesboro","ba"
"arkansas tech university (geology)","russellville","bs"
"ashland university (geology)","ashland","bs"
"auburn university (geology)","auburn","ba bs ms"
"auburn university - montgomery (geography)","montgomery","certificate"
"augustana college (geology)","rock island","ba"
"augustana college (geography)","rock island","ba"
"austin peay state university (geology)","clarksville","bs"
"ball state university (geology)","muncie","ba bs ms phd"
"ball state university (geography)","muncie","ba bs ms"
"bates college (geology)","lewiston","ba bs"
"baylor university (geology)","waco","ba bs ms phd"
"beloit college (geology)","beloit","ba bs"
"bemidji state university (geography)","bemidji","ba bs"
"binghamton university - suny (geology)","binghamton","ba bs ms phd"
"binghamton university - suny (geography)","binghamton","ba ma"
"bismarck state college (geography)","bismarck","certificate"
"bloomsburg university of pennsylvania (geology)","bloomsburg","ba bs"
"boise state university (geology)","boise","certificate ba bs ms phd"
"boston college (geology)","chestnut hill","bs ms"
"boston university (geology)","boston","ba ma phd"
"boston university (geography)","boston","ba ma phd"
"bowdoin college (geology)","brunswick","ba"
"bowling green state university (geology)","bowling green","certificate ba bs ms"
"bowling green state university (geography)","bowling green","ba"
"bridgewater state university (geology)","bridgewater","ba bs"
"bridgewater state university (geography)","bridgewater","ba bs"
"brigham young university (geology)","provo","bs ms"
"brigham young university (geography)","provo","bs"
"brigham young university - idaho (geology)","rexburg","bs"
"brooklyn college - cuny (geology)","brooklyn","ba bs ma phd"
"brown university (geology)","providence","ba bs phd"
"brown university (oceanography)","providence","ms phd"
"bryn mawr college (geology)","bryn mawr","ba"
"bucknell university (geology)","lewisburg","ba bs"
"bucknell university (geography)","lewisburg","ba"
"buffalo state college - suny (geology)","buffalo","ba"
"buffalo state college - suny (geography)","buffalo","ba"
"california institute of technology (geology)","pasadena","bs ms phd"
"california lutheran university (geology)","thousand oaks","ba bs"
"california polytechnic state university (geology)","san luis obispo","bs"
"california polytechnic state university (geography)","san luis obispo","bs"
"california state polytechnic university (geology)","pomona","bs"
"california state polytechnic university (geography)","pomona","bs"
"california state university - bakersfield (geology)","bakersfield","certificate bs ms"
"california state university - chico (geology)","chico","bs ms"
"california state university - chico (geography)","chico","certificate ba ma"
"california state university - dominguez hills (geology)","carson","ba bs"
"california state university - east bay (geology)","hayward","ba bs ms"
"california state university - east bay (geography)","hayward","certificate ba bs ma"
"california state university - east bay (oceanography)","hayward","ms"
"california state university - fresno (geology)","fresno","bs ms"
"california state university - fresno (geography)","fresno","ba"
"california state university - fresno (oceanography)","fresno","ms"
"california state university - fullerton (geology)","fullerton","bs ms"
"california state university - fullerton (geography)","fullerton","ba ma"
"california state university - long beach (geology)","long beach","bs ms"
"california state university - long beach (geography)","long beach","certificate ba ma"
"california state university - los angeles (geology)","los angeles","bs ms"
"california state university - los angeles (geography)","los angeles","certificate ba ma"
"california state university - monterey bay (oceanography)","seaside","ms"
"california state university - northridge (geology)","northridge","bs ms"
"california state university - northridge (geography)","northridge","certificate ba ma"
"california state university - sacramento (geology)","sacramento","ba bs ms"
"california state university - sacramento (geography)","sacramento","certificate ba"
"california state university - sacramento (oceanography)","sacramento","ms"
"california state university - san bernardino (geology)","san bernardino","ba bs"
"california state university - san bernardino (geography)","san bernardino","certificate ba"
"california state university - stanislaus (geology)","turlock","bs"
"california state university - stanislaus (geography)","turlock","certificate ba online"
"california state university - stanislaus (oceanography)","turlock","ms"
"california university of pennsylvania (geology)","california","ba bs"
"calvin college (geology)","grand rapids","ba"
"carleton college (geology)","northfield","ba"
"carroll college (geography)","helena","certificate"
"carthage college (geography)","kenosha","ba"
"case western reserve university (geology)","cleveland","ba bs ms phd"
"castleton state college (geology)","castleton","bs"
"centenary college of louisiana (geology)","shreveport","ba bs"
"central connecticut state university (geography)","new britain","ba bs ms"
"central michigan university (geology)","mount pleasant","ba bs ms"
"central michigan university (geography)","mount pleasant","ba bs ms"
"central washington university (geology)","ellensburg","ba bs ms"
"central washington university (geography)","ellensburg","certificate ba ms"
"chadron state college (geology)","chadron","certificate bs"
"chicago state university (geography)","chicago","certificate ba ma"
"city college - cuny (geology)","new york","ba bs ma"
"clark university (geography)","worcester","ba ma phd"
"clemson university (geology)","anderson","ba bs ms phd"
"cleveland state university (geology)","cleveland","ba bs"
"colby college (geology)","waterville","ba"
"colgate university (geology)","hamilton","ba"
"colgate university (geography)","hamilton","ba"
"college at brockport - suny (geology)","brockport","ba bs"
"college of charleston (geology)","charleston","ba bs"
"college of saint rose (geology)","albany","bs"
"college of william & mary (geology)","williamsburg","bs"
"college of william & mary (oceanography)","williamsburg","ms phd"
"college of wooster (geology)","wooster","ba"
"colorado college (geology)","colorado springs","ba"
"colorado school of mines (geology)","golden","bs ms phd"
"colorado state university (geology)","fort collins","bs ms phd"
"columbia university (geology)","new york","ba bs ms phd"
"columbus state university (geology)","columbus","bs"
"concord university (geology)","athens","bs"
"cornell college (geology)","mount vernon","ba"
"cornell university (geology)","ithaca","ba ms phd"
"dartmouth college (geology)","hanover","ba ms phd"
"dartmouth college (geography)","hanover","ba"
"delta state university (geography)","cleveland","certificate"
"denison university (geology)","granville","ba bs"
"department of geography (geography)","syracuse","ba ma phd"
"department of geosciences (geology)","wichita falls","ba bs"
"depaul university (geography)","chicago","certificate ba"
"depauw university (geology)","greencastle","ba"
"duke university (geology)","durham","ba bs ms phd"
"earlham college (geology)","NULL","ba"
"east carolina university (geology)","greenville","bs ms"
"east carolina university (geography)","greenville","certificate ba bs ma"
"east central university (geography)","ada","bs"
"east stroudsburg university of pennsylvania (geography)","east stroudsburg","ba"
"east tennessee state university (geology)","johnson city","bs"
"eastern illinois university (geology)","charleston","bs"
"eastern kentucky university (geology)","richmond","ba bs"
"eastern michigan university (geology)","ypsilanti","ba bs ms"
"eastern new mexico university (geology)","portales","ba bs"
"eastern washington university (geology)","cheney","ba bs"
"eastern washington university (geography)","cheney","certificate ba"
"eckerd college (geology)","st. petersburg","ba bs"
"edinboro university of pennsylvania (geology)","edinboro","ba bs"
"elmhurst college (geography)","elmhurst","bs online"
"emory & henry college (geography)","emory","ba"
"emporia state university (geology)","emporia","certificate ba bs ma online"
"fayetteville state university (geography)","fayetteville","ba"
"ferris state university (geography)","big rapids","certificate"
"fitchburg state university (geology)","fitchburg","bs"
"florida atlantic university (geology)","boca raton","ba bs ma ms phd"
"florida atlantic university (oceanography)","fort pierce","bs ms phd"
"florida institute of technology (oceanography)","melbourne","bs ms phd"
"florida international university (geology)","miami","bs ms phd"
"florida international university (geography)","miami","ba"
"florida state university (geology)","tallahassee","bs ms phd"
"florida state university (geography)","tallahassee","ba bs ma ms phd online"
"florida state university (oceanography)","tallahassee","ms phd"
"fort hays state university (geology)","hays","certificate bs ms"
"fort lewis college (geology)","durango","bs"
"fort lewis college (geography)","durango","certificate"
"framingham state university (geography)","framingham","ba"
"franklin & marshall college (geology)","lancaster","ba"
"frostburg state university (geography)","frostburg","bs"
"gainesville state college (geography)","gainsville","certificate"
