"Jenks Trojan 2006 8th Grade GRAY Football Schedule","Jenks Trojan 2006 8th Grade GRAY Football Schedule","Jenks Trojan 2006 8th Grade GRAY Football Schedule","Jenks Trojan 2006 8th Grade GRAY Football Schedule","Jenks Trojan 2006 8th Grade GRAY Football Schedule"
"All Games Played on Mondays","All Games Played on Mondays","All Games Played on Mondays","All Games Played on Mondays","All Games Played on Mondays"
"Date","Opponent","Time","Location","Score"
"08-28","Union Silver","6:30 pm","Away","(Won) 7-0"
"09-04","Stillwater White","4:30 pm","Home","(TBA) 0-0"
"09-11","Broken Arrow Gray","7:30 pm","Away Tiger","(Won) 12-0"
"09-18","Muskogee Black","6:00 pm","Home","(Won) 26-7"
"09-25","Broken Arrow White","6:00 pm","Away Kirkland","(Lost) 6-14"
"10-02","Stillwater White","4:45 pm","Home","(Cancel) 0-0"
"10-09","Muskogee White","7:00 pm","Home","(Won) 22-0"
"10-16","Owasso White","6:00 pm","Away","(Lost) 0-14"
"10-23","Union Silver","6:00 pm","Home","(Lost) 8-38"
